,all_data,gpt,counts,script,gpt_script
0,97,"""97"" : 2; [9, 7]",2,2,2
1,100,"""100"" : 3; [1, 0, 0]",3,3,3
2,75,"""75"" : 2; [7, 5]",2,2,2
3,63,"""63"" : 2; [6, 3]",2,2,2
4,19,"""19"" : 2; [1, 9]",2,2,2
5,93,"""93"" : 2; [9, 3]",2,2,2
6,22,"""22"" : 2; [2, 2]",2,2,2
7,30,"""30"" : 2; [3, 0]",2,2,2
8,21,"""21"" : 2; [2, 1]",2,2,2
9,53,"""53"" : 2; [5, 3]",2,2,2
10,62,"""62"" : 2; [6, 2]",2,2,2
11,53,"""53"" : 2; [5, 3]",2,2,2
12,48,"""48"" : 2; [4, 8]",2,2,2
13,22,"""22"" : 2; [2, 2]",2,2,2
14,45,"""45"" : 2; [4, 5]",2,2,2
15,46,"""46"" : 2; [4, 6]",2,2,2
16,98,"""98"" : 2; [9, 8]",2,2,2
17,29,"""29"" : 2; [2, 9]",2,2,2
18,15,"""15"" : 2; [1, 5]",2,2,2
19,59,"""59"" : 2; [5, 9]",2,2,2
20,75,"""75"" : 2; [7, 5]",2,2,2
21,69,"""69"" : 2; [6, 9]",2,2,2
22,84,"""84"" : 2; [8, 4]",2,2,2
23,90,"""90"" : 2; [9, 0]",2,2,2
24,21,"""21"" : 2; [2, 1]",2,2,2
25,35,"""35"" : 2; [3, 5]",2,2,2
26,90,"""90"" : 2; [9, 0]",2,2,2
27,25,"""25"" : 2; [2, 5]",2,2,2
28,47,"""47"" : 2; [4, 7]",2,2,2
29,55,"""55"" : 2; [5, 5]",2,2,2
30,844,"""844"" : 3; [8, 4, 4]",3,3,3
31,512,"""512"" : 3; [5, 1, 2]",3,3,3
32,270,"""270"" : 3; [2, 7, 0]",3,3,3
33,729,"""729"" : 3; [7, 2, 9]",3,3,3
34,307,"""307"" : 3; [3, 0, 7]",3,3,3
35,263,"""263"" : 3; [2, 6, 3]",3,3,3
36,113,"""113"" : 3; [1, 1, 3]",3,3,3
37,138,"""138"" : 3; [1, 3, 8]",3,3,3
38,303,"""303"" : 3; [3, 0, 3]",3,3,3
39,276,"""276"" : 3; [2, 7, 6]",3,3,3
40,557,"""557"" : 3; [5, 5, 7]",3,3,3
41,900,"""900"" : 3; [9, 0, 0]",3,3,3
42,973,"""973"" : 3; [9, 7, 3]",3,3,3
43,887,"""887"" : 3; [8, 8, 7]",3,3,3
44,220,"""220"" : 3; [2, 2, 0]",3,3,3
45,559,"""559"" : 3; [5, 5, 9]",3,3,3
46,516,"""516"" : 3; [5, 1, 6]",3,3,3
47,690,"""690"" : 3; [6, 9, 0]",3,3,3
48,285,"""285"" : 3; [2, 8, 5]",3,3,3
49,253,"""253"" : 3; [2, 5, 3]",3,3,3
50,398,"""398"" : 3; [3, 9, 8]",3,3,3
51,276,"""276"" : 3; [2, 7, 6]",3,3,3
52,553,"""553"" : 3; [5, 5, 3]",3,3,3
53,761,"""761"" : 3; [7, 6, 1]",3,3,3
54,710,"""710"" : 3; [7, 1, 0]",3,3,3
55,956,"""956"" : 3; [9, 5, 6]",3,3,3
56,372,"""372"" : 3; [3, 7, 2]",3,3,3
57,313,"""313"" : 3; [3, 1, 3]",3,3,3
58,602,"""602"" : 3; [6, 0, 2]",3,3,3
59,942,"""942"" : 3; [9, 4, 2]",3,3,3
60,788,"""788"" : 3; [7, 8, 8]",3,3,3
61,152,"""152"" : 3; [1, 5, 2]",3,3,3
62,978,"""978"" : 3; [9, 7, 8]",3,3,3
63,986,"""986"" : 3; [9, 8, 6]",3,3,3
64,225,"""225"" : 3; [2, 2, 5]",3,3,3
65,491,"""491"" : 3; [4, 9, 1]",3,3,3
66,813,"""813"" : 3; [8, 1, 3]",3,3,3
67,301,"""301"" : 3; [3, 0, 1]",3,3,3
68,682,"""682"" : 3; [6, 8, 2]",3,3,3
69,156,"""156"" : 3; [1, 5, 6]",3,3,3
70,597,"""597"" : 3; [5, 9, 7]",3,3,3
71,801,"""801"" : 3; [8, 0, 1]",3,3,3
72,208,"""208"" : 3; [2, 0, 8]",3,3,3
73,726,"""726"" : 3; [7, 2, 6]",3,3,3
74,914,"""914"" : 3; [9, 1, 4]",3,3,3
75,428,"""428"" : 3; [4, 2, 8]",3,3,3
76,889,"""889"" : 3; [8, 8, 9]",3,3,3
77,779,"""779"" : 3; [7, 7, 9]",3,3,3
78,231,"""231"" : 3; [2, 3, 1]",3,3,3
79,430,"""430"" : 3; [4, 3, 0]",3,3,3
80,434,"""434"" : 3; [4, 3, 4]",3,3,3
81,575,"""575"" : 3; [5, 7, 5]",3,3,3
82,281,"""281"" : 3; [2, 8, 1]",3,3,3
83,996,"""996"" : 3; [9, 9, 6]",3,3,3
84,720,"""720"" : 3; [7, 2, 0]",3,3,3
85,683,"""683"" : 3; [6, 8, 3]",3,3,3
86,832,"""832"" : 3; [8, 3, 2]",3,3,3
87,472,"""472"" : 3; [4, 7, 2]",3,3,3
88,108,"""108"" : 3; [1, 0, 8]",3,3,3
89,475,"""475"" : 3; [4, 7, 5]",3,3,3
90,314,"""314"" : 3; [3, 1, 4]",3,3,3
91,414,"""414"" : 3; [4, 1, 4]",3,3,3
92,240,"""240"" : 3; [2, 4, 0]",3,3,3
93,228,"""228"" : 3; [2, 2, 8]",3,3,3
94,451,"""451"" : 3; [4, 5, 1]",3,3,3
95,492,"""492"" : 3; [4, 9, 2]",3,3,3
96,846,"""846"" : 3; [8, 4, 6]",3,3,3
97,302,"""302"" : 3; [3, 0, 2]",3,3,3
98,530,"""530"" : 3; [5, 3, 0]",3,3,3
99,196,"""196"" : 3; [1, 9, 6]",3,3,3
100,208,"""208"" : 3; [2, 0, 8]",3,3,3
101,500,"""500"" : 3; [5, 0, 0]",3,3,3
102,654,"""654"" : 3; [6, 5, 4]",3,3,3
103,628,"""628"" : 3; [6, 2, 8]",3,3,3
104,755,"""755"" : 3; [7, 5, 5]",3,3,3
105,581,"""581"" : 3; [5, 8, 1]",3,3,3
106,798,"""798"" : 3; [7, 9, 8]",3,3,3
107,265,"""265"" : 3; [2, 6, 5]",3,3,3
108,851,"""851"" : 3; [8, 5, 1]",3,3,3
109,637,"""637"" : 3; [6, 3, 7]",3,3,3
110,135,"""135"" : 3; [1, 3, 5]",3,3,3
111,285,"""285"" : 3; [2, 8, 5]",3,3,3
112,631,"""631"" : 3; [6, 3, 1]",3,3,3
113,663,"""663"" : 3; [6, 6, 3]",3,3,3
114,286,"""286"" : 3; [2, 8, 6]",3,3,3
115,232,"""232"" : 3; [2, 3, 2]",3,3,3
116,185,"""185"" : 3; [1, 8, 5]",3,3,3
117,404,"""404"" : 3; [4, 0, 4]",3,3,3
118,818,"""818"" : 3; [8, 1, 8]",3,3,3
119,219,"""219"" : 3; [2, 1, 9]",3,3,3
120,597,"""597"" : 3; [5, 9, 7]",3,3,3
121,244,"""244"" : 3; [2, 4, 4]",3,3,3
