,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,"Xhxzttng : 8; [X, h, x, z, t, t, n, g]",8,8,8
1,WheEvvCJUOy,"WheEvvCJUOy : 11; [W, h, e, E, v, v, C, J, U, O, y]",11,11,11
2,MxgWkNpVdJOVq,"MxgWkNpVdJOVq : 13; [M, x, g, W, k, N, p, V, d, J, O, V, q]",13,13,13
3,PWyIJlNiWZAh,"PWyIJlNiWZAh : 12; [P, W, y, I, J, l, N, i, W, Z, A, h]",12,12,12
4,dMjmcRken,"dMjmcRken : 9; [d, M, j, m, c, R, k, e, n]",9,9,9
5,nJmUdWVgWuER,"nJmUdWVgWuER : 12; [n, J, m, U, d, W, V, g, W, u, E, R]",12,12,12
6,oHOsL,"oHOsL : 5; [o, H, O, s, L]",5,5,5
7,uZEBlQuugVC,"uZEBlQuugVC : 11; [u, Z, E, B, l, Q, u, u, g, V, C]",11,11,11
8,qMIvjvoZmOkt,"qMIvjvoZmOkt : 12; [q, M, I, v, j, v, o, Z, m, O, k, t]",12,12,12
9,yTFacDAsinC,"yTFacDAsinC : 11; [y, T, F, a, c, D, A, s, i, n, C]",11,11,11
10,UxspslKELdlqdP,"UxspslKELdlqdP : 14; [U, x, s, p, s, l, K, E, L, d, l, q, d, P]",14,14,14
11,atrHiOEkdpcIkVs,"atrHiOEkdpcIkVs : 15; [a, t, r, H, i, O, E, k, d, p, c, I, k, V, s]",15,15,15
12,KGTbEcynixPW,"KGTbEcynixPW : 12; [K, G, T, b, E, c, y, n, i, x, P, W]",12,12,12
13,aXkpFURdwsUpS,"aXkpFURdwsUpS : 13; [a, X, k, p, F, U, R, d, w, s, U, p, S]",13,13,13
14,ttJhYGJyrIcx,"ttJhYGJyrIcx : 12; [t, t, J, h, Y, G, J, y, r, I, c, x]",12,12,12
15,wbnKjysoc,"wbnKjysoc : 9; [w, b, n, K, j, y, s, o, c]",9,9,9
16,wdKSaippj,"wdKSaippj : 9; [w, d, K, S, a, i, p, p, j]",9,9,9
17,flHWPBbKGrDHsx,"flHWPBbKGrDHsx : 14; [f, l, H, W, P, B, b, K, G, r, D, H, s, x]",14,14,14
18,axaaaaaayaaaaaVa,"axaaaaaayaaaaaVa : 15; [a, x, a, a, a, a, a, a, y, a, a, a, a, a, V]",15,16,16
19,Icutt,"Icutt : 5; [I, c, u, t, t]",5,5,5
20,OLDYKoP,"OLDYKoP : 7; [O, L, D, Y, K, o, P]",7,7,7
21,CASNxPmgDVxHN,"CASNxPmgDVxHN : 13; [C, A, S, N, x, P, m, g, D, V, x, H, N]",13,13,13
22,wKQprGeSbjuG,"wKQprGeSbjuG : 12; [w, K, Q, p, r, G, e, S, b, j, u, G]",12,12,12
23,yLUtytLJTulb,"yLUtytLJTulb : 12; [y, L, U, t, y, t, L, J, T, u, l, b]",12,12,12
24,PiZvtAYL,"PiZvtAYL : 8; [P, i, Z, v, t, A, Y, L]",8,8,8
25,CiAqWkWvmw,"CiAqWkWvmw : 10; [C, i, A, q, W, k, W, v, m, w]",10,10,10
26,WMOHcFnaFwMb,"WMOHcFnaFwMb : 12; [W, M, O, H, c, F, n, a, F, w, M, b]",12,12,12
27,QeseYmgaRgk,"QeseYmgaRgk : 11; [Q, e, s, e, Y, m, g, a, R, g, k]",11,11,11
28,ftmhCcg,"ftmhCcg : 7; [f, t, m, h, C, c, g]",7,7,7
29,QPRyYa,"QPRyYa : 6; [Q, P, R, y, Y, a]",6,6,6
30,zYUHieyqXKpcN,"zYUHieyqXKpcN : 13; [z, Y, U, H, i, e, y, q, X, K, p, c, N]",13,13,13
31,GEyiWrGEgdCo,"GEyiWrGEgdCo : 12; [G, E, y, i, W, r, G, E, g, d, C, o]",12,12,12
32,llEXQXAAhTOehax,"llEXQXAAhTOehax : 15; [l, l, E, X, Q, X, A, A, h, T, O, e, h, a, x]",15,15,15
33,MCXktmNK,"MCXktmNK : 8; [M, C, X, k, t, m, N, K]",8,8,8
34,rHPrsNCFh,"rHPrsNCFh : 9; [r, H, P, r, s, N, C, F, h]",9,9,9
35,pFbbbb,"pFbbbb : 6; [p, F, b, b, b, b]",6,6,6
36,wQTuXAIxbJSlG,"wQTuXAIxbJSlG : 13; [w, Q, T, u, X, A, I, x, b, J, S, l, G]",13,13,13
