,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger : 1,1,0,0
1,situation,situation : 2,2,1,1
2,send,send : 0,0,0,0
3,went,went: 0,0,0,0
4,century,century : 1,1,0,0
5,contain,contain : 1,1,1,1
6,abrogate,abrogate : 2,2,1,1
7,important,important : 2,2,1,1
8,old,old : 1,1,1,1
9,interrupts,interrupts : 2,2,0,0
10,describe,describe : 1,1,0,0
11,There,There : 1,1,0,0
12,too,too : 2,2,2,2
13,particular,particular : 2,2,0,0
14,Middle,Middle : 1,1,0,0
15,alterations,alterations : 2,2,1,1
16,observed,observed : 2,2,1,1
17,contains,contains : 2,2,1,1
18,Minicules,Minicules : 0,0,0,0
19,cultures,cultures : 2,2,0,0
20,have,have : 0,0,0,0
21,summons,summons : 0,0,1,1
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 2,2,0,0
25,recently-deceased,recently-deceased : 3,3,0,0
26,army,army : 0,0,0,0
27,poems,poems : 2,2,1,1
28,I,I : 0,0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,1,1
32,characteristics,characteristics : 2,2,0,0
33,Monomyth,Monomyth : 1,1,2,2
34,peculiar,peculiar : 1,1,0,0
35,Elsewhere,Elsewhere : 2,2,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 0,0,0,0
38,talk,talk : 1,1,0,0
39,"""retainer""",retainer : 1,1,0,0
40,lack,lack : 0,0,0,0
41,script,script : 0,0,0,0
42,island,island : 0,0,0,0
43,K,K : 0,0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 2,2,1,1
48,resembles,resembles : 2,2,0,0
49,explained,explained : 0,0,0,0
50,coincides,coincides : 2,2,1,1
51,was,was : 1,1,0,0
52,date,date : 0,0,0,0
53,Polish,Polish : 1,1,1,1
54,Ghost,Ghost : 1,1,1,1
55,became,became : 1,1,0,0
56,these,these : 2,2,0,0
57,commencement,commencement : 2,2,1,1
58,Although,Although : 2,2,1,1
59,would,would : 2,2,1,1
60,They,They : 0,0,0,0
61,one,"one : 0
two : 0
three : 2
four : 1
five : 0
six : 0
seven : 1
eight : 0
nine : 0
ten : 0",0,1,1
62,while,while : 0,0,0,0
63,and,and : 0,0,0,0
64,When,When : 0,0,0,0
65,attack,attack : 0,0,0,0
66,be,be : 0,0,0,0
67,plot,plot : 1,1,1,1
68,friends,friends : 0,0,0,0
69,lights,lights : 0,0,0,0
70,present,present : 1,1,0,0
71,adopted,adopted : 2,2,1,1
72,Benson,Benson : 1,1,1,1
73,married,married : 1,1,0,0
74,already,already : 1,1,0,0
75,before,before : 2,2,1,1
76,way,way : 0,0,0,0
77,mourn,mourn : 1,1,1,1
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,0,0
80,protect,protect : 1,1,1,1
81,night,night : 0,0,0,0
82,or,or : 1,1,1,1
83,poetry,poetry : 2,2,1,1
84,even,even : 0,0,0,0
85,along,along : 1,1,1,1
86,more,more : 2,2,1,1
87,reasons,reasons: 2,2,1,1
88,harp,harp : 0,0,0,0
89,argues,argues : 1,1,0,0
90,"cliffs""",cliffs : 0,0,0,0
91,abnegation,abnegation: 0,0,1,1
92,their,their : 0,0,0,0
93,royal,royal : 1,1,1,1
94,rather,rather : 1,1,0,0
95,themes,themes : 1,1,0,0
96,found,found : 1,1,1,1
97,literary,literary : 1,1,0,0
98,lines,lines : 0,0,0,0
99,A,A : 0,0,0,0
100,calling,calling : 1,1,0,0
101,Most,Most : 1,1,1,1
102,were,were : 0,0,0,0
103,prosody,prosody : 1,1,2,2
104,He,He : 0,0,0,0
105,reacts,reacts: 1,1,0,0
106,wily,wily : 0,0,0,0
107,"rigor""",rigor : 1,1,1,1
108,known,known : 1,1,1,1
109,arguing,arguing : 1,1,0,0
110,fearing,fearing : 1,1,0,0
111,been,been : 1,1,0,0
112,article,article : 1,1,0,0
113,strangely,strangely : 1,1,0,0
114,text,text : 0,0,0,0
115,One,One : 0,0,1,1
116,margins,margins : 1,1,0,0
117,new,new : 0,0,0,0
118,meets,meets : 1,1,0,0
119,winsome,winsome : 0,0,1,1
120,any,any : 0,0,0,0
121,pray,pray : 0,0,0,0
122,castle,castle : 1,1,0,0
123,graveyard,graveyard : 1,1,0,0
124,appearance,appearance : 2,2,0,0
125,but,but : 0,0,0,0
126,mother,mother : 1,1,1,1
127,used,used : 1,1,0,0
128,Germanic,Germanic : 1,1,0,0
129,point,point : 1,1,1,1
130,wants,wants : 0,0,0,0
131,monster,monster : 1,1,1,1
132,stock,stock : 1,1,1,1
133,thought,thought : 1,1,1,1
134,influenced,influenced : 1,1,0,0
135,may,may : 0,0,0,0
136,subject,subject : 1,1,0,0
137,arranged,arranged : 1,1,0,0
138,Lord's,Lord's : 1,1,1,1
139,heavy,heavy : 1,1,0,0
140,D,D : 0,0,0,0
141,killed,killed : 0,0,0,0
142,Foley's,Foley's : 1,1,1,1
143,traditional,traditional : 2,2,1,1
144,Insular,Insular : 1,1,0,0
145,why,why : 0,0,0,0
146,human,human : 1,1,0,0
147,unusual,unusual : 2,2,0,0
148,contemporary,contemporary : 1,1,2,2
149,awry,awry : 0,0,0,0
150,seeks,seeks : 2,2,0,0
151,by,by : 0,0,0,0
152,unwittingly,unwittingly : 1,1,0,0
153,Poetry,Poetry : 2,2,1,1
154,hides,hides : 0,0,0,0
155,as,as : 0,0,0,0
156,That,That : 0,0,0,0
157,has,has : 1,1,0,0
158,Francis,Francis : 0,0,0,0
159,Accompany,Accompany : 2,2,1,1
160,met,met : 0,0,0,0
161,Rejected,Rejected : 1,1,0,0
162,sudden,sudden : 1,1,0,0
163,characterized,characterized : 2,2,0,0
164,theory,theory : 1,1,1,1
165,documented,documented : 2,2,1,1
166,wars,wars : 0,0,0,0
167,know,know : 1,1,1,1
168,with,with : 0,0,0,0
169,plans,plans : 0,0,0,0
170,proposed,proposed : 2,2,2,2
171,Fortinbras,Fortinbras : 2,2,1,1
172,"heroes""",heroes : 2,2,1,1
173,annotations,annotations : 3,3,2,2
174,writes,writes : 0,0,0,0
175,maintaining,maintaining : 2,2,0,0
176,uncle,uncle : 0,0,0,0
177,that,that : 0,0,0,0
178,killing,killing : 1,1,0,0
179,France,France : 0,0,0,0
180,travelling,travelling : 2,2,0,0
181,hell,hell: 0,0,0,0
182,thinking,thinking : 1,1,0,0
183,Denmark,Denmark : 1,1,0,0
184,which,which : 0,0,0,0
185,battle,battle : 1,1,0,0
186,reply,reply : 1,1,0,0
187,other,other : 1,1,1,1
188,insular,insular : 1,1,0,0
189,now,now : 1,1,1,1
190,also,also : 1,1,1,1
191,density,density: 1,1,0,0
192,recently-widowed,recently-widowed : 2,2,1,1
193,kill,kill : 0,0,0,0
194,Heroes',Heroes' : 1,1,1,1
195,ambassador,ambassador : 2,2,1,1
196,Queen,Queen : 2,2,0,0
197,goes,goes : 1,1,1,1
198,where,where : 1,1,0,0
199,story,story : 1,1,1,1
200,doing,doing : 2,2,1,1
201,Albert,Albert : 0,0,0,0
202,Rosencrantz,Rosencrantz : 0,0,1,1
203,much,much : 0,0,0,0
204,confronts,confronts : 1,1,2,2
205,preponderance,preponderance : 2,2,1,1
206,distressed,distressed : 1,1,0,0
207,it,it : 0,0,0,0
208,individual,individual : 3,3,0,0
209,particularly,particularly : 2,2,0,0
210,into,into : 1,1,1,1
211,moving,moving : 1,1,1,1
212,what's,what's : 0,0,0,0
213,"""written",written : 1,1,0,0
214,Richardson,Richardson : 2,2,1,1
215,virtually,virtually : 0,0,0,0
216,subjects,subjects : 2,2,0,0
217,like,like : 0,0,0,0
218,tapestry,tapestry : 1,1,0,0
219,consisted,consisted : 0,0,1,1
220,believes,believes : 0,0,0,0
221,continues,continues : 2,2,1,1
222,evidence,evidence : 2,2,0,0
223,Joseph,Joseph : 2,2,1,1
224,drinks,drinks : 0,0,0,0
225,nation's,nation's : 1,1,1,1
226,duel,duel : 1,1,0,0
227,throes,throes : 1,1,1,1
228,alliteration,alliteration : 2,2,1,1
229,poisoned,poisoned : 2,2,2,2
230,Larry,Larry : 0,0,0,0
231,madness,madness : 1,1,0,0
232,Ophelia,Ophelia : 1,1,1,1
233,assuming,assuming : 1,1,0,0
234,time,time : 0,0,0,0
235,common,common : 2,2,2,2
236,include,include : 1,1,0,0
237,murder,murder : 0,0,0,0
238,soul,soul : 2,2,1,1
239,ghost,ghost : 1,1,1,1
240,Campbell's,Campbell's : 1,1,0,0
241,Gertrude's,Gertrude's : 1,1,0,0
242,ends,ends : 0,0,0,0
243,early,early : 1,1,0,0
244,presage,presage : 1,1,0,0
245,She,She : 0,0,0,0
246,Poland,Poland : 1,1,1,1
247,luck,luck : 0,0,0,0
248,form,form : 1,1,1,1
249,extensions,extensions : 0,0,1,1
250,so,so : 1,1,1,1
251,construction,construction: 2,2,2,2
252,vociferous,vociferous : 2,2,2,2
253,are,are : 0,0,0,0
254,played,played : 1,1,0,0
255,semi-Uncial,semi-Uncial : 1,1,0,0
256,Oral,Oral : 1,1,1,1
257,concept,concept : 2,2,1,1
258,hero,hero : 1,1,1,1
259,unpredicatable,unpredicatable : 2,2,0,0
260,style,style : 0,0,0,0
261,some,some : 1,1,1,1
262,hypothesis,hypothesis : 1,1,1,1
263,resemblance,resemblance : 2,2,0,0
264,"formulaic""",formulaic: 2,2,1,1
265,through,through : 0,0,1,1
266,an,an : 0,0,0,0
267,defined,defined : 1,1,0,0
268,closely,closely : 0,0,1,1
269,Late,Late : 0,0,0,0
270,Dehn,Dehn : 0,0,0,0
271,moment,moment : 1,1,1,1
272,back,back : 0,0,0,0
273,he,he : 0,0,0,0
274,what,what: 0,0,0,0
275,written,written : 1,1,0,0
276,After,After : 1,1,0,0
277,According,According : 2,2,1,1
278,change,change : 1,1,0,0
279,epics,epics : 0,0,0,0
280,"""a","a : 0
an : 0
the : 0
hello : 1
world : 1
Python : 0
programming : 2
language : 2
computer : 2
science : 0",0,0,0
281,to,to : 1,1,1,1
282,seen,seen : 1,1,0,0
