,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,"""ErvhzjvPi"" : 7.",7,7,"The word 'ErvhzjvPi' has 7 lowercase letters.
"
1,CjPlJlnnGJX,CjPlJlnnGJX : 7.,7,5,"The word 'HelloWorld' has 8 lowercase letters.
"
2,rReORf,rReORf : 3.,3,3,"The word 'rReORf' has 3 lowercase letters.
"
3,SeQTEvPlTkGFzg,SeQTEvPlTkGFzg : 9.,9,6,"The number of lowercase letters in the word 'SeQTEvPlTkGFzg' is 6.
"
4,AgVJycTTMcw,AgVJycTTMcw : 6.,6,5,"The word 'Hello World' has 8 lowercase letters.
"
5,aaQbVaa,aaQbVaa : 4.,4,5,"The number of lowercase letters in 'Hello World' is 8.
"
6,QFbFyPXmKE,QFbFyPXmKE : 5.,5,3,"The word 'QFbFyPXmKE' has 3 lowercase letters.
"
7,aaaFaI,"""aaaFaI"" : 3.",3,4,"The word 'aaaFaI' has 4 lowercase letters.
"
8,SqvTPu,"""SqvTPu"" : 2.",2,3,"3
"
9,cgfFnULSp,cgfFnULSp: 4.,4,5,"The number of lowercase letters in Hello World is 8
"
10,sBferL,sBferL : 4.,4,4,"The number of lowercase letters in sBferL is 4.
"
11,aHuDHze,aHuDHze : 4.,4,4,"The number of lowercase letters in aHuDHze is 4
"
12,iuLYQnmuEOlLwrY,iuLYQnmuEOlLwrY : 8.,8,8,"The word 'Hello World' has 8 lowercase letters.
"
13,TeRSSSga,TeRSSSga : 4.,4,3,"The word 'TeRSSSga' has 3 lowercase letters.
"
14,fugEH,"""fugEH"" : 2.",2,3,"The word 'fugEH' has 3 lowercase letters.
"
15,aIaaaaLcaaaaaaha,aIaaaaLcaaaaaaha : 12.,12,14,"The number of lowercase letters in aIaaaaLcaaaaaaha is 14
"
16,usJTsg,usJTsg: 2.,2,4,"4
"
17,tqWFRuyAFNXoQj,tqWFRuyAFNXoQj : 9.,9,6,"The number of lowercase letters in 'Hello World' is 8
"
18,bZZzPWcgCxr,bZZzPWcgCxr : 4.,4,6,"The number of lowercase letters in 'bZZzPWcgCxr' is 6.
"
19,tyRUt,tyRUt : 2.,2,3,"The number of lowercase letters in 'tyRUt' is 3.
"
20,HlQbEUw,HlQbEUw : 3.,3,3,"The number of lowercase letters in HlQbEUw is 3
"
21,kXRFxBSR,kXRFxBSR : 5.,5,2,"The number of lowercase letters in kXRFxBSR is 2
"
22,axSytSL,axSytSL : 4.,4,4,"The word 'axSytSL' has 4 lowercase letters.
"
23,CqcPRTAePZ,"""CqcPRTAePZ"" : 4.",4,3,"The word 'Hello World' has 8 lowercase letters.
"
24,sppydLPMTXCoLNC,sppydLPMTXCoLNC : 9.,9,6,"The number of lowercase letters in the word 'sppydLPMTXCoLNC' is 6.
"
25,AFPIAEx,AFPIAEx : 5.,5,1,"The number of lowercase letters in AFPIAEx is 1.
"
26,hnQlxldeHrYFOp,hnQlxldeHrYFOp : 10.,10,9,"The word 'HelloWorld' has 8 lowercase letters.
"
27,MQXGvKFOxZQS,MQXGvKFOxZQS : 7.,7,2,"The number of lowercase letters in 'MQXGvKFOxZQS' is 2.
"
28,tUlBdKjqD,tUlBdKjqD : 3.,3,5,"The number of lowercase letters in the word 'tUlBdKjqD' is 5.
"
29,HySgRmqjpP,HySgRmqjpP : 5.,5,6,"The number of lowercase letters in 'HySgRmqjpP' is 6.
"
30,cPlcrxaMisF,cPlcrxaMisF : 8.,8,8,"The word 'cPlcrxaMisF' has 8 lowercase letters.
"
31,IwSZexYJ,IwSZexYJ : 4.,4,3,"The word 'IwSZexYJ' has 3 lowercase letters.
"
32,bxdumvd,bxdumvd : 6.,6,7,"The number of lowercase letters in bxdumvd is 7.
"
33,WjJOHULtAHAdUz,WjJOHULtAHAdUz : 11.,11,4,"The number of lowercase letters in WjJOHULtAHAdUz is 4.
"
34,LciAdsrxKbejy,"""LciAdsrxKbejy"" : 8.",8,10,"The number of lowercase letters in LciAdsrxKbejy is 10.
"
35,zQojCvJrLf,zQojCvJrLf : 6.,6,6,"The number of lowercase letters in Hello World is 8
"
36,zrZTJPEEhFy,zrZTJPEEhFy : 4.,4,4,"The word 'HelloWorld' has 8 lowercase letters.
"
37,vsBKViCyqSOHI,vsBKViCyqSOHI : 7.,7,5,"The number of lowercase letters in vsBKViCyqSOHI is 5
"
38,jWruBseYHdiztk,jWruBseYHdiztk : 7.,7,10,"The number of lowercase letters in jWruBseYHdiztk is 10.
"
39,aaaaaaamaaPaJk,"""aaaaaaamaaPaJk"" : 9.",9,12,"The number of lowercase letters in aaaaaaamaaPaJk is 12.
"
40,PPlTYBqQD,PPlTYBqQD : 5.,5,2,"The number of lowercase letters in PPlTYBqQD is 2.
"
41,xkHqOTUkAGOtPfk,xkHqOTUkAGOtPfk : 11.,11,7,"The number of lowercase letters in xkHqOTUkAGOtPfk is 7.
"
42,FAvlIpLBP,FAvlIpLBP : 5.,5,3,"The word 'FAvlIpLBP' has 3 lowercase letters.
"
43,HcfIao,HcfIao : 3.,3,4,"The number of lowercase letters in HcfIao is 4.
"
44,lmyWlf,lmyWlf : 4.,4,5,"The number of lowercase letters in lmyWlf is 5.
"
45,xkSwLvqhii,xkSwLvqhii : 8.,8,8,"The number of lowercase letters in xkSwLvqhii is 8
"
46,DIDEcb,"""DIDEcb"" : 3.",3,2,"The number of lowercase letters in DIDEcb is 2.
"
47,SnzCoxYCTpiMsaw,"""SnzCoxYCTpiMsaw"" : 10.",10,9,"The number of lowercase letters in SnzCoxYCTpiMsaw is 9.
"
48,fEnebWe,fEnebWe : 4.,4,5,"The number of lowercase letters in fEnebWe is 5.
"
49,dNApLsNGWruM,dNApLsNGWruM : 8.,8,5,"8
"
50,HXkZKCHQZv,HXkZKCHQZv : 5.,5,2,"The number of lowercase letters in HXkZKCHQZv is 2.
"
51,horKOaKHYZpgb,horKOaKHYZpgb : 9.,9,7,"The word 'horKOaKHYZpgb' has 7 lowercase letters.
"
52,FCCQi,FCCQi : 3.,3,1,"The word 'FCCQi' has 1 lowercase letters.
"
53,BgJKmczZiNiT,BgJKmczZiNiT : 7.,7,6,"The word 'BgJKmczZiNiT' has 6 lowercase letters.
"
54,ABlRcsIVq,ABlRcsIVq : 5.,5,4,"The word 'ABlRcsIVq' has 4 lowercase letters.
"
55,VIgDiMAByqnI,VIgDiMAByqnI : 8.,8,5,"The number of lowercase letters in VIgDiMAByqnI is 5.
"
56,bqbbbbbbyb,bqbbbbbbyb : 9.,9,10,"The number of lowercase letters in bqbbbbbbyb is 10.
"
57,wGsrKvAc,wGsrKvAc : 4.,4,5,"The word 'wGsrKvAc' has 5 lowercase letters.
"
58,jfAeUVyBAElhh,jfAeUVyBAElhh : 8.,8,7,"The number of lowercase letters in 'Hello World' is 8.
"
59,yhKjZGF,yhKjZGF : 3.,3,3,"The word 'yhKjZGF' has 3 lowercase letters.
"
60,bGXPUXmVSv,bGXPUXmVSv : 7.,7,3,"The word 'ExampleWord' has 9 lowercase letters.
"
61,bcInKb,bcInKb : 3.,3,4,"The number of lowercase letters in bcInKb is 4.
"
62,mbbbrbbbbbbb,mbbbrbbbbbbb : 10.,10,12,"The number of lowercase letters in mbbbrbbbbbbb is 12.
"
63,QvqmyRCqooojXjE,QvqmyRCqooojXjE : 11.,11,10,"The number of lowercase letters in QvqmyRCqooojXjE is 10.
"
64,XyZLMNReNBc,XyZLMNReNBc : 6.,6,3,"The number of lowercase letters in Hello World is 8.
"
65,DxRbITcun,"""DxRbITcun"" : 6.",6,5,"The word 'Hello World' has 8 lowercase letters.
"
66,bbbbbbbbmbBbb,"""bbbbbbbbmbBbb"" : 10.",10,12,"The number of lowercase letters in bbbbbBbbmbBbb is 11.
"
67,HRBdIbG,HRBdIbG : 3.,3,2,"The number of lowercase letters in HRBdIbG is 2.
"
68,hGPCbFgLeMyPl,hGPCbFgLeMyPl : 7.,7,6,"The number of lowercase letters in 'Hello World' is 8.
"
69,krXPjBUNzOzhIH,krXPjBUNzOzhIH : 9.,9,6,"The number of lowercase letters in krXPjBUNzOzhIH is 6.
"
70,nFBALdcBF,nFBALdcBF : 5.,5,3,"The number of lowercase letters in 'nFBALdcBF' is 3.
"
71,aPnycHoFeAQ,aPnycHoFeAQ : 6.,6,6,"The number of lowercase letters in 'Hello World' is 8.
"
72,tkcNTmEnQ,tkcNTmEnQ : 5.,5,5,"The word 'Hello World' has 8 lowercase letters.
"
73,hlnDSyCXsPDaxdv,hlnDSyCXsPDaxdv : 10.,10,9,"The number of lowercase letters in hlnDSyCXsPDaxdv is 9.
"
74,ZtqAgYH,ZtqAgYH : 3.,3,3,"The word 'Hello World' has 8 lowercase letters.
"
75,DmsRYVKaPj,DmsRYVKaPj : 6.,6,4,"The number of lowercase letters in DmsRYVKaPj is 4
"
76,VAlURUez,VAlURUez : 5.,5,3,"The word 'VAlURUez' has 3 lowercase letters.
"
77,tQcuLOcV,tQcuLOcV : 4.,4,4,"The number of lowercase letters in tQcuLOcV is 4.
"
78,oUXomfzwA,oUXomfzwA : 5.,5,6,"The number of lowercase letters in oUXomfzwA is 6.
"
79,TyAcuEZcHcZ,TyAcuEZcHcZ : 6.,6,5,"The word 'TyAcuEZcHcZ' has 5 lowercase letters.
"
80,VDTCxWNTJyM,VDTCxWNTJyM : 7.,7,2,"The number of lowercase letters in VDTCxWNTJyM is 2
"
81,jpkLkLfBLzPLb,jpkLkLfBLzPLb : 7.,7,7,"The number of lowercase letters in 'Hello World' is 8.
"
82,bbbqFbtR,"""bbbqFbtR"" : 4.",4,6,"The number of lowercase letters in bbbqFbtR is 6.
"
