,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger : 1,1,1,1
1,situation,situation : 1,1,2,2
2,send,send : 0,0,0,0
3,went,went : 0,0,0,0
4,century,"century : 0
the word is : innovation : 2
the word is : initiative : 2
the word is : individual : 2
the word is : intelligence : 2
the word is : invincible : 2",0,0,0
5,contain,contain : 0,0,1,1
6,abrogate,abrogate : 0,0,0,0
7,important,important : 1,1,1,1
8,old,old : 0,0,0,0
9,interrupts,interrupts : 1,1,1,1
10,describe,describe : 0,0,1,1
11,There,"There : 1
are : 0
many : 0
'i' : 0
or : 0
'I' : 1
in : 0
each : 0
of : 0
following : 0
word : 0.",1,0,0
12,too,"too : 1
word : 1
format : 1",1,0,0
13,particular,particular : 1,1,1,1
14,Middle,Middle : 1,1,1,1
15,alterations,alterations : 1,1,1,1
16,observed,observed : 0,0,0,0
17,contains,"contains : 0
following : 0
format : 0
example : 0
input : 0
output : 0
should : 0
innovative : 2",0,1,1
18,Minicules,Minicules : 1,1,2,2
19,cultures,cultures : 1,1,0,0
20,have,"the : 0
word : 0
is : 0
have : 0",0,0,0
21,summons,summons : 0,0,0,0
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,2,2
24,theme,theme : 1,1,0,0
25,recently-deceased,recently-deceased : 0,0,0,0
26,army,army : 0,0,0,0
27,poems,poems : 0,0,0,0
28,I,"innovatIve : 2
the word is : I

following : 1
the word is : I

format : 0
the word is : I

example : 0
the word is : I

input : 0
the word is : I",2,1,1
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 0,0,0,0
32,characteristics,characteristics : 1,1,2,2
33,Monomyth,"Monomyth: 0
the: 0
word: 0",0,0,0
34,peculiar,peculiar : 0,0,1,1
35,Elsewhere,Elsewhere : 0,0,0,0
36,stylized,stylized : 1,1,1,1
37,says,says : 0,0,0,0
38,talk,talk : 0,0,0,0
39,"""retainer""",retainer : 1,1,1,1
40,lack,lack : 0,0,0,0
41,script,script : 0,0,1,1
42,island,island : 1,1,1,1
43,K,"K : 0
the : 0
word : 0",0,0,0
44,swimming,swimming : 0,0,2,2
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 0,0,0,0
48,resembles,resembles : 1,1,0,0
49,explained,explained : 0,0,1,1
50,coincides,coincides : 1,1,2,2
51,was,was : 1,1,0,0
52,date,date : 0,0,0,0
53,Polish,Polish : 1,1,1,1
54,Ghost,Ghost : 0,0,0,0
55,became,became : 0,0,0,0
56,these,these : 0,0,0,0
57,commencement,commencement : 0,0,0,0
58,Although,"Although : 1
the word is : Following : 0
the word is : Example : 0
the word is : Format : 0
the word is : Input : 1
the word is : Answer : 0
the word is : Should : 0
the word is : Be : 0
the word is : In : 0
the word is : It : 0",1,0,0
59,would,would : 0,0,0,0
60,They,"They : 0
the : 0
word : 0",0,0,0
61,one,"one : 0
word : 0
format : 0",0,0,0
62,while,while : 1,1,1,1
63,and,"and : 0
the : 0
word : 0",0,0,0
64,When,"When : 0
the : 0
input : 1
is : 0
innovatIve : 2",0,0,0
65,attack,attack : 0,0,0,0
66,be,"be : 0
the : 0
word : 0",0,0,0
67,plot,plot : 0,0,0,0
68,friends,friends : 0,0,1,1
69,lights,lights : 1,1,1,1
70,present,present : 0,0,0,0
71,adopted,adopted : 0,0,0,0
72,Benson,Benson : 0,0,0,0
73,married,married : 0,0,1,1
74,already,already : 1,1,0,0
75,before,before : 1,1,0,0
76,way,"way : 0
word : 1
format : 0
example : 0
innovatIve : 2",0,0,0
77,mourn,mourn : 0,0,0,0
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,1,1
80,protect,protect : 0,0,0,0
81,night,night : 1,1,1,1
82,or,or : 0,0,0,0
83,poetry,poetry : 1,1,0,0
84,even,"even : 0
word : 1
format : 0",0,0,0
85,along,"along : 0
the word is : example",0,0,0
86,more,"more : 0
the : 0
word : 0",0,0,0
87,reasons,reasons : 0,0,0,0
88,harp,harp : 0,0,0,0
89,argues,argues : 1,1,0,0
90,"cliffs""",cliffs : 0,0,1,1
91,abnegation,abnegation : 1,1,1,1
92,their,their : 0,0,1,1
93,royal,royal : 1,1,0,0
94,rather,rather : 1,1,0,0
95,themes,themes : 0,0,0,0
96,found,found : 0,0,0,0
97,literary,literary : 1,1,1,1
98,lines,lines : 0,0,1,1
99,A,"A : 0
the : 0
word : 0",0,0,0
100,calling,calling : 1,1,1,1
101,Most,"Most : 0
the word is : Following : 0
the word is : Example : 1
the word is : Format : 0
the word is : Input : 1
the word is : Output : 0",0,0,0
102,were,were : 0,0,0,0
103,prosody,prosody : 0,0,0,0
104,He,"He : 0
the : 0
word : 0",0,0,0
105,reacts,reacts : 0,0,0,0
106,wily,wily : 1,1,1,1
107,"rigor""",rigor : 1,1,1,1
108,known,known : 0,0,0,0
109,arguing,arguing : 1,1,1,1
110,fearing,fearing : 1,1,1,1
111,been,been : 1,1,0,0
112,article,"article : 1
format : 1
example : 1
input : 1
output : 1
word : 1",1,1,1
113,strangely,strangely : 1,1,0,0
114,text,"text : 0
word : 1
format : 1
example : 1
input : 1
output : 1",0,0,0
115,One,"One : 0
Two : 0
Three : 0
Four : 0
Five : 0
Six : 0
Seven : 0
Eight : 0
Nine : 0
Ten : 0",0,0,0
116,margins,margins : 1,1,1,1
117,new,"new : 0
word : 1
example : 0
format : 0",0,0,0
118,meets,meets : 1,1,0,0
119,winsome,winsome : 0,0,1,1
120,any,any : 0,0,0,0
121,pray,pray : 1,1,0,0
122,castle,castle : 0,0,0,0
123,graveyard,graveyard : 0,0,0,0
124,appearance,appearance : 0,0,0,0
125,but,"but : 0
the : 0
word : 0",0,0,0
126,mother,mother : 0,0,0,0
127,used,"used : 0
following : 0
format : 0
example : 0
innovatIve : 2
answer : 0
should : 0
be : 0
in : 0
the : 0
word : 0",0,0,0
128,Germanic,Germanic : 0,0,1,1
129,point,point : 1,1,1,1
130,wants,wants : 1,1,0,0
