,all_data,gpt,counts,script,gpt_script
0,zDlUvDDV,"""zDlUvDDV"" : 0; []",0,0,0
1,533R2h9992,"""533R2h9992"" : 7; [5, 3, 3, 2, 9, 9, 9, 2]",7,8,8
2,O5J68RsL1Vy0705wpi,"O5J68RsL1Vy0705wpi : 7; [0, 5, 6, 8, 1, 0, 5]",7,8,8
3,1l2m3628c2,"""1l2m3628c2"" : 5; [1, 2, 3, 6, 2]",5,7,7
4,z9399snL,"""z9399snL"" : 4; [9, 3, 9, 9]",4,4,4
5,12494y0W614,"""12494y0W614"" : 6; [1, 2, 4, 9, 4, 6]",6,9,9
6,K92w9R161m,"K92w9R161m : 4; [9, 2, 1, 6]",4,6,6
7,n04UNG1cgISqk,"n04UNG1cgISqk : 3; [0, 4, 1]",3,3,3
8,35640R1f5d,"35640R1f5d : 5; [3, 5, 6, 4, 1, 5]",5,7,7
9,a706e1x8puU5e7,"""a706e1x8puU5e7"" : 6; [7, 0, 6, 1, 8, 5]",6,7,7
10,qGEoTK,qGEoTK : 0; [],0,0,0
11,s6B5G3X7bPh54,"""s6B5G3X7bPh54"" : 7; [6, 5, 3, 7, 5, 4]",7,6,6
12,61hH9b5OuHq74,"""61hH9b5OuHq74"" : 6; [6, 1, 9, 5, 7, 4]",6,6,6
13,S3d383Of5Lvz9Eh,"""S3d383Of5Lvz9Eh"" : 6; [3, 3, 8, 3, 5, 9]",6,6,6
14,AG08V01JpjuXcj,"""AG08V01JpjuXcj"" : 4; [0, 8, 0, 1]",4,4,4
15,O4EuPZo53E,"""O4EuPZo53E"" : 4; [4, 5, 3, 3]",4,3,3
16,R5Vk0e24851k6,"R5Vk0e24851k6 : 7; [5, 0, 2, 4, 8, 5, 1, 6]",7,8,8
17,58w7JD6q5s5,"""58w7JD6q5s5"" : 5; [5, 8, 7, 6, 5]",5,6,6
18,AQ4P5zHp,"""AQ4P5zHp"" : 2; [4, 5]",2,2,2
19,J93779c,"""J93779c"" : 5; [9, 3, 7, 7, 9]",5,5,5
20,JjE3jGhHF,JjE3jGhHF : 1; [3],1,1,1
21,au3B9u10ccA,"""au3B9u10ccA"" : 5; [3, 9, 1, 0, 0]",5,4,4
22,hbLpYJ5cm3sq,"hbLpYJ5cm3sq : 2; [5, 3]",2,2,2
23,tqFG77EY31L,"""tqFG77EY31L"" : 3; [7, 7, 3]",3,4,4
24,1822q7nE03Z1,"""1822q7nE03Z1"" : 5; [1, 8, 2, 2, 3]",5,8,8
25,WUaevOH,"""WUaevOH"" : 0; []",0,0,0
26,897FC2wp39P,"""897FC2wp39P"" : 5; [8, 9, 7, 2, 3]",5,6,6
27,p4re537,"""p4re537"" : 4; [4, 5, 3, 7]",4,4,4
28,hO3dQEi0b0w1,"""hO3dQEi0b0w1"" : 3; [3, 0, 0, 1]",3,4,4
29,78D823910z,"""78D823910z"" : 6; [7, 8, 8, 2, 3, 9]",6,8,8
30,SzOB,SzOB : 0; [],0,0,0
31,DiT3Es,"""DiT3Es"" : 1; [3]",1,1,1
32,oy57m,"""oy57m"" : 2; [5, 7]",2,2,2
33,RHHgZ48c04V7,"RHHgZ48c04V7 : 5; [4, 8, 0, 4, 7]",5,5,5
34,1b1jvj0ejH,"""1b1jvj0ejH"" : 3; [1, 1, 0]",3,3,3
35,64801T8G064,"""64801T8G064"" : 5; [6, 4, 8, 0, 1]",5,9,9
36,640k715jekKmC7Z,"""640k715jekKmC7Z"" : 6; [6, 4, 0, 7, 1, 5]",6,7,7
37,0xaPI3Hx,"""0xaPI3Hx"" : 2; [0, 3]",2,2,2
38,0R6e8,"""0R6e8"" : 3; [0, 6, 8]",3,3,3
39,Hx805ILL950U1Y8,"""Hx805ILL950U1Y8"" : 7; [8, 0, 5, 9, 5, 0, 1, 8]",7,8,8
40,xLiQVcr,"""xLiQVcr"" : 0; []",0,0,0
41,hD9OzX8frH0l,"""hD9OzX8frH0l"" : 3; [9, 8, 0]",3,3,3
42,2wCJh,"""2wCJh"" : 1; [2]",1,1,1
43,37906Bi0J4y7,"""37906Bi0J4y7"" : 5; [3, 7, 9, 0, 4, 7]",5,8,8
44,yu0Kg2Azj6,"yu0Kg2Azj6 : 3; [0, 2, 6]",3,3,3
45,w0kGX89R3kV43E,"""w0kGX89R3kV43E"" : 5; [0, 8, 9, 3, 4]",5,6,6
46,e5nwoA4437AYS0,"""e5nwoA4437AYS0"" : 6; [5, 4, 4, 3, 7, 0]",6,6,6
47,VprH18KQ4L,"VprH18KQ4L : 3; [1, 8, 4]",3,3,3
48,5g8xM820e04,"""5g8xM820e04"" : 6; [5, 8, 8, 2, 0, 4]",6,7,7
49,t8P,"""t8P"" : 1; [8]",1,1,1
50,2GiAmG,"""2GiAmG"" : 2; [2, 0]",2,1,1
51,u071WW01X2PF,"u071WW01X2PF : 4; [0, 7, 1, 2]",4,6,6
52,K3VaBOOLFMb,K3VaBOOLFMb : 1; [3],1,1,1
53,mQ046j3749,"mQ046j3749 : 5; [0, 4, 6, 3, 7, 4, 9]",5,7,7
54,TWaed3G36v4X8,"TWaed3G36v4X8 : 5; [3, 3, 6, 4, 8]",5,5,5
55,Wl,"""Wl"" : 0; []",0,0,0
56,XFo4dkU4grH9,"""XFo4dkU4grH9"" : 3; [4, 4, 9]",3,3,3
57,bqc0125,"""bqc0125"" : 4; [0, 1, 2, 5]",4,4,4
58,8503HQnoSVK5V55,"""8503HQnoSVK5V55"" : 6; [8, 5, 0, 3, 5, 5]",6,7,7
59,aSmi2458s3x31E5J,"""aSmi2458s3x31E5J"" : 7; [2, 4, 5, 8, 3, 3, 1, 5]",7,8,8
60,27M85A44xg57,"""27M85A44xg57"" : 7; [2, 7, 8, 5, 4, 4, 5, 7]",7,8,8
61,S35zZ1MZ62271,"""S35zZ1MZ62271"" : 8; [3, 5, 1, 6, 2, 2, 7, 1]",8,8,8
62,orD9Q033PeB2,"orD9Q033PeB2 : 5; [9, 0, 3, 3, 2]",5,5,5
63,TbS2tC71tix756P,"""TbS2tC71tix756P"" : 5; [2, 7, 1, 7, 5]",5,6,6
64,YoB0,"""YoB0"" : 1; [0]",1,1,1
65,NSz71l5Q97OA30,"NSz71l5Q97OA30 : 7; [7, 1, 5, 9, 7, 3, 0]",7,7,7
66,MeIl2s3,"""MeIl2s3"" : 2; [2, 3]",2,2,2
67,nsuGYCHu2ZS,"""nsuGYCHu2ZS"" : 1; [2]",1,1,1
68,hmyF,"""hmyF"" : 0; []",0,0,0
69,51i0909483O,"""51i0909483O"" : 6; [5, 1, 0, 9, 0, 9, 4, 8, 3]",6,9,9
70,dEBwdsHkO,"""dEBwdsHkO"" : 0; []",0,0,0
71,ZNJx01FMHYgP,"""ZNJx01FMHYgP"" : 2; [0, 1]",2,2,2
72,8ioR7C1H71J,"""8ioR7C1H71J"" : 6; [8, 7, 1, 7, 1, 1]",6,5,5
73,sD1a4z9X2WEV,"sD1a4z9X2WEV : 5; [1, 4, 9, 2, 0]",5,4,4
74,vP3FlvD,vP3FlvD : 1; [3],1,1,1
75,BW57e,"""BW57e"" : 2; [5, 7]",2,2,2
76,X4Yx7v322ujL758dc2,"X4Yx7v322ujL758dc2 : 7; [4, 7, 3, 2, 2, 7, 5, 8, 2]",7,9,9
77,1wR4J3cR3BC20rez,"""1wR4J3cR3BC20rez"" : 7; [1, 4, 3, 3, 2, 0, 2]",7,6,6
78,57792s78w45,"""57792s78w45"" : 6; [5, 7, 7, 9, 2, 4, 5]",6,9,9
79,L8k1N3ULa3W0a,"""L8k1N3ULa3W0a"" : 5; [8, 1, 3, 3, 0]",5,5,5
80,65HY30,"""65HY30"" : 3; [6, 5, 3]",3,4,4
81,a82D4i8kOk1K9S6,"""a82D4i8kOk1K9S6"" : 7; [8, 2, 4, 8, 1, 9, 6]",7,7,7
82,0480HPnYlBHEwA,"""0480HPnYlBHEwA"" : 4; [0, 4, 8, 0]",4,4,4
83,8VV61B6pyPpzV64609,"""8VV61B6pyPpzV64609"" : 7; [8, 6, 1, 6, 4, 6, 0]",7,9,9
84,Xv57Yx,"Xv57Yx : 2; [5, 7]",2,2,2
85,xfyku5ljCLc93,"""xfyku5ljCLc93"" : 3; [5, 9, 3]",3,3,3
86,s5S,"""s5S"" : 1; [5]",1,1,1
87,pedTNQiNr,"""pedTNQiNr"" : 0; []",0,0,0
88,Rh9291lX3NyvV8s,"Rh9291lX3NyvV8s : 6; [9, 2, 9, 1, 3, 8]",6,6,6
89,31VP01Wi,"""31VP01Wi"" : 4; [3, 1, 0, 1]",4,4,4
90,zTlRd,zTlRd : 0; [],0,0,0
91,t9WrcDx,"""t9WrcDx"" : 1; [9]",1,1,1
92,941c7A981s8,"""941c7A981s8"" : 7; [9, 4, 1, 7, 9, 8, 1]",7,8,8
93,82856RFXv1h5K35,"""82856RFXv1h5K35"" : 7; [8, 2, 8, 5, 6, 1, 5]",7,9,9
94,2732q2707vvp,"""2732q2707vvp"" : 8; [2, 7, 3, 2, 2, 7, 0, 7]",8,8,8
95,4036qtF6g63B8,"""4036qtF6g63B8"" : 6; [4, 0, 3, 6, 6, 3, 8]",6,8,8
96,50qlJC6UT32D1a4x44,"""50qlJC6UT32D1a4x44"" : 8; [5, 0, 6, 3, 2, 1, 4, 4]",8,9,9
97,R74P308,"R74P308 : 5; [7, 4, 3, 0, 8]",5,5,5
98,1rlihjIY9jZ0g,"""1rlihjIY9jZ0g"" : 2; [1, 9, 0]",2,3,3
99,yyDrd9Gr,"""yyDrd9Gr"" : 1; [9]",1,1,1
100,aVbUJT723jE15L89P,"""aVbUJT723jE15L89P"" : 6; [7, 2, 3, 1, 5, 8]",6,7,7
101,607bIx,"""607bIx"" : 3; [6, 0, 7]",3,3,3
102,eQ0lgjiAOk13270,"""eQ0lgjiAOk13270"" : 5; [0, 1, 3, 2, 7]",5,6,6
103,Zh62cyD,"""Zh62cyD"" : 3; [6, 2,  D]",3,2,2
104,jAR6H1D6waje94o,"""jAR6H1D6waje94o"" : 4; [6, 1, 6, 9]",4,5,5
105,20N903s10,"""20N903s10"" : 6; [2, 0, 9, 0, 3, 1, 0]",6,7,7
106,L17jE50R51X44XgT,"""L17jE50R51X44XgT"" : 8; [1, 7, 5, 0, 5, 1, 4, 4]",8,8,8
107,cj0WzT5MT,"""cj0WzT5MT"" : 2; [0, 5]",2,2,2
108,dkIfcs5,"""dkIfcs5"" : 1; [5]",1,1,1
109,2faP3HZ11187S,"""2faP3HZ11187S"" : 7; [2, 3, 1, 1, 1, 8, 7]",7,7,7
110,XgCwGS1w,XgCwGS1w : 1; [1],1,1,1
111,42EZhZXjg2Q381g,"""42EZhZXjg2Q381g"" : 6; [4, 2, 2, 3, 8, 1]",6,6,6
112,GsdW48UbFL0,"""GsdW48UbFL0"" : 3; [4, 8, 0]",3,3,3
113,1521S472z5E,"""1521S472z5E"" : 6; [1, 5, 2, 1, 4, 7, 2, 5]",6,8,8
114,C8IW625p24roH,"""C8IW625p24roH"" : 6; [8, 6, 2, 5, 2, 4]",6,6,6
115,9T5N,"""9T5N"" : 2; [9, 5]",2,2,2
116,MIC3tAGfG5,"""MIC3tAGfG5"" : 2; [3, 5]",2,2,2
117,Eh2hH58pq59lP,"""Eh2hH58pq59lP"" : 4; [2, 5, 8, 5]",4,5,5
118,Hn7IC08isuV7,"""Hn7IC08isuV7"" : 4; [7, 0, 8, 7]",4,4,4
119,h1pW8F545o723X,"""h1pW8F545o723X"" : 7; [1, 8, 5, 4, 5, 7, 2]",7,8,8
120,u0E13Z2EwW14h2p70cF,"u0E13Z2EwW14h2p70cF : 8; [0, 1, 3, 2, 1, 4, 2, 7]",8,9,9
121,nAR6,"""nAR6"" : 1; [6]",1,1,1
122,T0S0B5RF46583,"""T0S0B5RF46583"" : 6; [0, 0, 5, 4, 6, 5, 8, 3]",6,8,8
123,D57JYIL,"""D57JYIL"" : 2; [5, 7]",2,2,2
124,25S5a1SR34mo,"""25S5a1SR34mo"" : 6; [2, 5, 5, 1, 3, 4]",6,6,6
125,3c4BS2EU3WR0v3m95K9,"""3c4BS2EU3WR0v3m95K9"" : 11; [3, 4, 2, 3, 0, 3, 9, 5, 9]",11,9,9
126,416m81Qj77r4,"""416m81Qj77r4"" : 6; [4, 1, 6, 8, 1, 7, 7, 4]",6,8,8
127,4H0pqUb81G8Jnq0,"""4H0pqUb81G8Jnq0"" : 5; [4, 0, 8, 1, 8]",5,6,6
128,0a4G53337OW29,"""0a4G53337OW29"" : 9; [0, 4, 5, 3, 3, 3, 7, 2, 9]",9,9,9
129,0HqT4Y4W,"""0HqT4Y4W"" : 3; [0, 4, 4]",3,3,3
130,291ivo6421M7,"""291ivo6421M7"" : 7; [2, 9, 1, 6, 4, 2, 1]",7,8,8
131,Q325v4Xjfu29,"""Q325v4Xjfu29"" : 6; [3, 2, 5, 4, 2, 9]",6,6,6
132,d37l367ApP76PB3M2XC,"""d37l367ApP76PB3M2XC"" : 9; [3, 7, 3, 6, 7, 6, 7, 3, 2]",9,9,9
133,hC96jvKtlPP,"""hC96jvKtlPP"" : 2; [9, 6]",2,2,2
134,n7933Y32613,"n7933Y32613 : 6; [7, 9, 3, 3, 2, 6, 1, 3]",6,9,9
135,1n0i989wzh7Tk1cL2,"""1n0i989wzh7Tk1cL2"" : 7; [1, 0, 9, 8, 9, 7, 1, 2]",7,8,8
136,sKKulpk30,"""sKKulpk30"" : 2; [3, 0]",2,2,2
137,KiOarsV,KiOarsV : 0; [],0,0,0
138,EokTqjy,"""EokTqjy"" : 0; []",0,0,0
139,6757A8282o5gK,"""6757A8282o5gK"" : 7; [6, 7, 5, 7, 8, 2, 5]",7,9,9
140,41B71X43K,"""41B71X43K"" : 5; [4, 1, 7, 3, 4]",5,6,6
141,6Ux6X23,"""6Ux6X23"" : 4; [6, 6, 2, 3]",4,4,4
142,453iE65mA33,"""453iE65mA33"" : 6; [4, 5, 3, 6, 5, 3]",6,7,7
143,QUQ5ZgGva9PF,"QUQ5ZgGva9PF : 3; [5, 9]",3,2,2
144,CfAZD,"""CfAZD"" : 0; []",0,0,0
145,8v18J07118,"""8v18J07118"" : 7; [8, 1, 8, 0, 7, 1, 8]",7,8,8
146,zu81,"""zu81"" : 2; [8, 1]",2,2,2
147,Cnp1482m621j,"""Cnp1482m621j"" : 6; [1, 4, 8, 2, 6, 2]",6,7,7
148,epuGf92Yt6qj,"""epuGf92Yt6qj"" : 4; [9, 2, 6, 6]",4,3,3
149,QCKdIP,"""QCKdIP"" : 0; []",0,0,0
150,2C05rK0J8E,"""2C05rK0J8E"" : 4; [2, 0, 5, 8]",4,5,5
151,ivQ57m,"""ivQ57m"" : 2; [5, 7]",2,2,2
152,o26M0ode81VD5o1,"""o26M0ode81VD5o1"" : 6; [2, 6, 0, 8, 1, 5]",6,7,7
153,yNuyE75OU0qI3,"yNuyE75OU0qI3 : 5; [7, 5, 0, 3, 1]",5,4,4
154,K6H942lVm2x94Or36,"K6H942lVm2x94Or36 : 8; [6, 9, 4, 2, 2, 9, 4, 3, 6]",8,9,9
155,26u611jM6mLjRY,"""26u611jM6mLjRY"" : 7; [2, 6, 6, 1, 1, 6, 6]",7,6,6
156,886rGJe70L0,"""886rGJe70L0"" : 4; [8, 8, 6, 0]",4,6,6
157,X5O45m835Z,"X5O45m835Z : 6; [5, 4, 5, 8, 3, 5]",6,6,6
158,Mf2VYJF,"""Mf2VYJF"" : 2; [2, 1]",2,1,1
159,Fa621n5QrOCCpp,"Fa621n5QrOCCpp : 5; [6, 2, 1, 5, 0]",5,4,4
160,pwja5cuhFqv,"""pwja5cuhFqv"" : 1; [5]",1,1,1
161,I67o3n,"""I67o3n"" : 3; [6, 7, 3]",3,3,3
162,L28O1eR13,"""L28O1eR13"" : 5; [2, 8, 1, 1, 3]",5,5,5
163,0btP69L07fI9,"""0btP69L07fI9"" : 5; [0, 6, 9, 0, 7, 9]",5,6,6
164,01n6018W615iJZGe,"""01n6018W615iJZGe"" : 10; [0, 1, 6, 0, 1, 8, 6, 1, 5, 6]",10,9,9
165,H7E6DAJc6qt,"""H7E6DAJc6qt"" : 3; [7, 6, 6]",3,3,3
166,24989564PpL,"""24989564PpL"" : 8; [2, 4, 9, 8, 9, 5, 6, 4]",8,8,8
167,9mFL2C3ehApJh4,"""9mFL2C3ehApJh4"" : 5; [9, 2, 3, 4, 1]",5,4,4
168,6OI960783rSs7,"""6OI960783rSs7"" : 7; [6, 9, 0, 7, 8, 3, 7]",7,8,8
169,1v0pO8S8,"""1v0pO8S8"" : 3; [1, 0, 8]",3,4,4
170,200j28oWL0z,"""200j28oWL0z"" : 5; [2, 0, 0, 2, 8]",5,6,6
171,Mc24V3vPtGb2V70s,"""Mc24V3vPtGb2V70s"" : 7; [2, 4, 3, 2, 7, 0, 7]",7,6,6
172,j2qF,"""j2qF"" : 1; [2]",1,1,1
173,y683IYM5NEK7h76LA4,"y683IYM5NEK7h76LA4 : 8; [6, 8, 3, 5, 7, 7, 6, 4]",8,8,8
174,11Ifv,"""11Ifv"" : 2; [1, 1]",2,2,2
175,f4Xhb7J6,"""f4Xhb7J6"" : 3; [4, 7, 6]",3,3,3
176,78Tl584653,"""78Tl584653"" : 7; [7, 8, 5, 4, 6, 5, 3]",7,8,8
177,3Cilj8r171R65,"""3Cilj8r171R65"" : 6; [3, 8, 1, 7, 1, 6]",6,7,7
178,LnpxCt816v107N3,"LnpxCt816v107N3 : 7; [8, 1, 6, 1, 0, 7, 3]",7,7,7
