,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,"The word is: ErvhzjvPi
There are 2 vowel letters: [e, i]",2,2,"Number of vowels in the word: 2
Vowel letters in the word: ['E', 'i']
"
1,CjPlJlnnGJX,"The word is: CjPlJlnnGJX
There are 0 vowel letters in the word.
Output: ""CjPlJlnnGJX: 0; []""",0,0,"Number of vowels: 0
Vowel array: []
"
2,rReORf,"The word is: rReORf
There are 2 vowel letters: [e, O]",2,2,"Number of vowels: 3
Vowel letters: ['e', 'a', 'e']
"
3,SeQTEvPlTkGFzg,"The word is: SeQTEvPlTkGFzg
There are 2 vowel letters: E, u
Output: ""SeQTEvPlTkGFzg: 2; [E, u]""",2,2,"2
['e', 'E']
"
4,AgVJycTTMcw,"The word is: AgVJycTTMcw
There are 0 vowel letters in the word.
Output: ""AgVJycTTMcw: 0; []""",0,1,"Number of vowels: 1
Vowel letters: ['A']
"
5,aaQbVaa,"The word is ""aaQbVaa"". There are 4 vowel letters in this word because of 3 ""a""s and 1 ""a"". Therefore, the output would be:
""aaQbVaa"": 4; [a, a, a, a]",4,4,"['a', 'a', 'a', 'a']
"
6,QFbFyPXmKE,"The word is : QFbFyPXmKE
There are 0 vowel letters in the word.
Output: QFbFyPXmKE : 0; []",0,1,"Number of vowels: 3
Vowel array: ['e', 'a', 'e']
"
7,aaaFaI,"The word is: aaaFaI
There are 4 vowel letters in the word: a, a, a, I
Output: ""aaaFaI: 4; [a, a, a, I]""",4,5,"Number of vowels: 5
Vowel array: ['a', 'a', 'a', 'a', 'I']
"
8,SqvTPu,"The word is : SqvTPu
There are 1 vowel letter in the word.
""SqvTPu"" : 1; [u]",1,1,"1
['u']
"
9,cgfFnULSp,"The word is ""cgfFnULSp"". 
There are 1 vowel letters in the word. 
The vowel letter is ""U"". 
Therefore, the output is: ""cgfFnULSp: 1; [U]""",1,1,"Number of vowels: 1
Vowel letters: ['U']
"
10,sBferL,sBferL : 1; [e],1,1,"Number of vowels: 1
Vowel array: ['e']
"
11,aHuDHze,"The word is ""aHuDHze"". There are 2 vowel letters in this word, which are ""a"" and ""e"". Therefore, the output is:
""aHuDHze"" : 2; [a, e]",2,3,"Number of vowels in the word: 3
Vowel letters in the word: ['a', 'u', 'e']
"
12,iuLYQnmuEOlLwrY,"The word is: iuLYQnmuEOlLwrY
There are 4 vowel letters: [i, u, E, O]",4,5,"Number of vowels: 5
Vowel letters: ['i', 'u', 'u', 'E', 'O']
"
13,TeRSSSga,"The word is ""TeRSSSga"". There are 2 vowel letters in the word, which are ""e"" and ""a"". Therefore, the output is:
""TeRSSSga"" : 2; [e, a]",2,2,"Number of vowels in the word: 2
Vowel letters in the word: ['e', 'a']
"
14,fugEH,"""fugEH"" : 2; [u, E]",2,2,"2
['u', 'E']
"
