,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,"Input: vErhzjvPi
the word is: vErhzjvPi",nothing,rEvhzjvPi,"rEvhzjvPi
"
1,CjPlJlnnGJX,Output : jCPJlnnGJX,nothing,jCPlJlnnGJX,"jCPlJlnnGJX
"
2,rReORf,Output : eRrORf,nothing,RreORf,"rReORf
"
3,SeQTEvPlTkGFzg,Output: eSQTEvPlTkGFzg,nothing,eSQTEvPlTkGFzg,"eSQTEvPlTkGFzg
"
4,AgVJycTTMcw,Output : GAVJycTTMcw,nothing,gAVJycTTMcw,"gAVJycTTMcw
"
5,aaQbVaa,"Input: baQvVaa
the word is: aaQbVaa",nothing,aaQbVaa,"aaQbVaa
"
6,QFbFyPXmKE,Output: FQbFyPXmKE,nothing,FQbFyPXmKE,"FQbFyPXmKE
"
7,aaaFaI,"Input: aaaaFI
the word is: faaaaI",nothing,aaaFaI,"aaaFaI
"
8,SqvTPu,"Input: SqvTPu
The word is: qSvTPu",nothing,qSvTPu,"qSvTPu
"
9,cgfFnULSp,Output : gcfFnULSp,nothing,gcfFnULSp,"gcfFnULSp
"
10,sBferL,Output : Bsfrel,nothing,BsferL,"BsferL
"
11,aHuDHze,Output : HaDuHze,nothing,HauDHze,"HauDHze
"
12,iuLYQnmuEOlLwrY,Output : uiLYQnmuEOlLwrY,nothing,uiLYQnmuEOlLwrY,"uiLYQnmuEOlLwrY
"
13,TeRSSSga,Output : eTRSSSga,nothing,eTRSSSga,"eTRSSSga
"
14,fugEH,"Input: ufgEH
the word is: ufgEH",nothing,ufgEH,"ufgEH
"
15,aIaaaaLcaaaaaaha,Output : Iaaaaalcaaaaaahaa,nothing,IaaaaaLcaaaaaaha,"xeample
"
16,usJTsg,Output: suJTsg,nothing,suJTsg,"suJTsg
"
17,tqWFRuyAFNXoQj,Output : qtWFRuyAFNXoQj,nothing,qtWFRuyAFNXoQj,"qtWFRuyAFNXoQj
"
18,bZZzPWcgCxr,Output : zBZzPWcgCxr,nothing,ZbZzPWcgCxr,"ZbZzPWcgCxr
"
19,tyRUt,Output : ytRUt,nothing,ytRUt,"ytRUt
"
20,HlQbEUw,Output : lHQbEUw,nothing,lHQbEUw,"lHQbEUw
"
21,kXRFxBSR,Output: xKRFxBRS,nothing,XkRFxBSR,"XkRFxBSR
"
22,axSytSL,Output: xaSytSL,nothing,xaSytSL,"xaSytSL
"
23,CqcPRTAePZ,Output: qCcPRTAePZ,nothing,qCcPRTAePZ,"qCcPRTAePZ
"
24,sppydLPMTXCoLNC,Output: pysdpMTXCoLNC.,nothing,pspydLPMTXCoLNC,"example
"
