,all_data,gpt,counts,script,gpt_script
0,gravedigger,"gravedigger : 11; [g, r, a, v, e, d, i, g, g, e, r]",11,11,11
1,situation,"situation : 9; [s, i, t, u, a, t, i, o, n]",9,9,9
2,send,"send : 4; [s, e, n, d]",4,4,4
3,went,"went : 4; [w, e, n, t]",4,4,4
4,century,"century : 7; [c, e, n, t, u, r, y]",7,7,7
5,contain,"contain : 7; [c, o, n, t, a, i, n]",7,7,7
6,abrogate,"abrogate : 8; [a, b, r, o, g, a, t, e]",8,8,8
7,important,"important : 9; [i, m, p, o, r, t, a, n, t]",9,9,9
8,old,"old : 3; [o, l, d]",3,3,3
9,interrupts,"interrupts : 10; [i, n, t, e, r, r, u, p, t, s]",10,10,10
10,describe,"describe : 8; [d, e, s, c, r, i, b, e]",8,8,8
11,There,"There : 5; [T, h, e, r, e]",5,5,5
12,too,"too : 3; [t, o, o]",3,3,3
13,particular,"particular : 10; [p, a, r, t, i, c, u, l, a, r]",10,10,10
14,Middle,"Middle : 6; [M, i, d, d, l, e]",6,6,6
15,alterations,"alterations : 11; [a, l, t, e, r, a, t, i, o, n, s]",11,11,11
16,observed,"observed : 8; [o, b, s, e, r, v, e, d]",8,8,8
17,contains,"contains : 8; [c, o, n, t, a, i, n, s]",8,8,8
18,Minicules,"Minicules : 9; [M, i, n, i, c, u, l, e, s]",9,9,9
19,cultures,"cultures : 8; [c, u, l, t, u, r, e, s]",8,8,8
20,have,"have : 4; [h, a, v, e]",4,4,4
21,summons,"summons : 7; [s, u, m, m, o, n, s]",7,7,7
22,well,"well : 4; [w, e, l, l]",4,4,4
23,"""fighting","fighting : 8; [f, i, g, h, t, i, n, g]",8,9,9
24,theme,"theme : 5; [t, h, e, m, e]",5,5,5
25,recently-deceased,"recently-deceased : 17; [r, e, c, e, n, t, l, y, -, d, e, c, e, a, s, e, d]",17,17,17
26,army,"army : 4; [a, r, m, y]",4,4,4
27,poems,"poems : 5; [p, o, e, m, s]",5,5,5
28,I,I : 1; [I],1,1,1
29,sent,"sent : 4; [s, e, n, t]",4,4,4
30,just,"just : 4; [j, u, s, t]",4,4,4
31,brother,"brother : 7; [b, r, o, t, h, e, r]",7,7,7
32,characteristics,"characteristics : 15; [c, h, a, r, a, c, t, e, r, i, s, t, i, c, s]",15,15,15
33,Monomyth,"Monomyth : 8; [M, o, n, o, m, y, t, h]",8,8,8
34,peculiar,"peculiar : 8; [p, e, c, u, l, i, a, r]",8,8,8
35,Elsewhere,"Elsewhere : 9; [E, l, s, e, w, h, e, r, e]",9,9,9
36,stylized,"stylized : 8; [s, t, y, l, i, z, e, d]",8,8,8
37,says,"says : 4; [s, a, y, s]",4,4,4
38,talk,"talk : 4; [t, a, l, k]",4,4,4
39,"""retainer""","retainer : 8; [r, e, t, a, i, n, e, r]",8,10,10
40,lack,"lack : 4; [l, a, c, k]",4,4,4
41,script,"script : 6; [s, c, r, i, p, t]",6,6,6
42,island,"island : 6; [i, s, l, a, n, d]",6,6,6
43,K,K : 1; [K],1,1,1
44,swimming,"swimming : 8; [s, w, i, m, m, i, n, g]",8,8,8
45,act,"act : 3; [a, c, t]",3,3,3
46,spy,"spy : 3; [s, p, y]",3,3,3
47,desolate,"desolate : 8; [d, e, s, o, l, a, t, e]",8,8,8
48,resembles,"resembles : 9; [r, e, s, e, m, b, l, e, s]",9,9,9
49,explained,"explained : 9; [e, x, p, l, a, i, n, e, d]",9,9,9
50,coincides,"coincides : 9; [c, o, i, n, c, i, d, e, s]",9,9,9
51,was,"was : 3; [w, a, s]",3,3,3
52,date,"date : 4; [d, a, t, e]",4,4,4
53,Polish,"Polish : 6; [P, o, l, i, s, h]",6,6,6
54,Ghost,"Ghost : 5; [G, h, o, s, t]",5,5,5
55,became,"became : 6; [b, e, c, a, m, e]",6,6,6
56,these,"these : 5; [t, h, e, s, e]",5,5,5
57,commencement,"commencement : 12; [c, o, m, m, e, n, c, e, m, e, n, t]",12,12,12
58,Although,"Although : 8; [A, l, t, h, o, u, g, h]",8,8,8
59,would,"would : 5; [w, o, u, l, d]",5,5,5
60,They,"They : 4; [T, h, e, y]",4,4,4
61,one,"one : 3; [o, n, e]",3,3,3
62,while,"while : 5; [w, h, i, l, e]",5,5,5
63,and,"and : 3; [a, n, d]",3,3,3
64,When,"When : 4; [W, h, e, n]",4,4,4
65,attack,"attack : 6; [a, t, t, a, c, k]",6,6,6
66,be,"be : 2; [b, e]",2,2,2
67,plot,"plot : 4; [p, l, o, t]",4,4,4
68,friends,"friends : 7; [f, r, i, e, n, d, s]",7,7,7
69,lights,"lights : 6; [l, i, g, h, t, s]",6,6,6
70,present,"present : 7; [p, r, e, s, e, n, t]",7,7,7
71,adopted,"adopted : 7; [a, d, o, p, t, e, d]",7,7,7
72,Benson,"Benson : 6; [B, e, n, s, o, n]",6,6,6
73,married,"married : 7; [m, a, r, r, i, e, d]",7,7,7
74,already,"already : 7; [a, l, r, e, a, d, y]",7,7,7
75,before,"before : 6; [b, e, f, o, r, e]",6,6,6
76,way,"way : 3; [w, a, y]",3,3,3
77,mourn,"mourn : 5; [m, o, u, r, n]",5,5,5
78,cup,"cup : 3; [c, u, p]",3,3,3
79,begins,"begins : 6; [b, e, g, i, n, s]",6,6,6
80,protect,"protect : 7; [p, r, o, t, e, c, t]",7,7,7
81,night,"night : 5; [n, i, g, h, t]",5,5,5
82,or,"or : 2; [o, r]",2,2,2
83,poetry,"poetry : 6; [p, o, e, t, r, y]",6,6,6
84,even,"even : 4; [e, v, e, n]",4,4,4
85,along,"along : 5; [a, l, o, n, g]",5,5,5
86,more,"more : 4; [m, o, r, e]",4,4,4
87,reasons,"reasons : 7; [r, e, a, s, o, n, s]",7,7,7
88,harp,"harp : 4; [h, a, r, p]",4,4,4
89,argues,"argues : 6; [a, r, g, u, e, s]",6,6,6
90,"cliffs""","cliffs : 6; [c, l, i, f, f, s]",6,7,7
91,abnegation,"abnegation : 10; [a, b, n, e, g, a, t, i, o, n]",10,10,10
92,their,"their : 5; [t, h, e, i, r]",5,5,5
93,royal,"royal : 5; [r, o, y, a, l]",5,5,5
94,rather,"rather : 6; [r, a, t, h, e, r]",6,6,6
95,themes,"themes : 6; [t, h, e, m, e, s]",6,6,6
96,found,"found : 5; [f, o, u, n, d]",5,5,5
97,literary,"literary : 8; [l, i, t, e, r, a, r, y]",8,8,8
98,lines,"lines : 5; [l, i, n, e, s]",5,5,5
99,A,A : 1; [A],1,1,1
100,calling,"calling : 7; [c, a, l, l, i, n, g]",7,7,7
101,Most,"Most : 4; [M, o, s, t]",4,4,4
102,were,"were : 4; [w, e, r, e]",4,4,4
103,prosody,"prosody : 7; [p, r, o, s, o, d, y]",7,7,7
104,He,"He : 2; [H, e]",2,2,2
105,reacts,"reacts : 7; [r, e, a, c, t, s]",7,6,6
106,wily,"wily : 4; [w, i, l, y]",4,4,4
107,"rigor""","rigor : 5; [r, i, g, o, r]",5,6,6
108,known,"known : 5; [k, n, o, w, n]",5,5,5
109,arguing,"arguing : 7; [a, r, g, u, i, n, g]",7,7,7
110,fearing,"fearing : 7; [f, e, a, r, i, n, g]",7,7,7
111,been,"been : 4; [b, e, e, n]",4,4,4
112,article,"article : 7; [a, r, t, i, c, l, e]",7,7,7
113,strangely,"strangely : 9; [s, t, r, a, n, g, e, l, y]",9,9,9
114,text,"text : 4; [t, e, x, t]",4,4,4
115,One,"One : 3; [O, n, e]",3,3,3
116,margins,"margins : 7; [m, a, r, g, i, n, s]",7,7,7
117,new,"new : 3; [n, e, w]",3,3,3
118,meets,"meets : 5; [m, e, e, t, s]",5,5,5
119,winsome,"winsome : 7; [w, i, n, s, o, m, e]",7,7,7
120,any,"any : 3; [a, n, y]",3,3,3
121,pray,"pray : 4; [p, r, a, y]",4,4,4
122,castle,"castle : 6; [c, a, s, t, l, e]",6,6,6
123,graveyard,"graveyard : 9; [g, r, a, v, e, y, a, r, d]",9,9,9
