,labels,gpt_script
0,43.0,"target: 43.0
"
1,26.0,"target: 26.0
"
2,6.0,"target: 6.0
"
3,8.0,"target: 8.0
"
4,33.0,"target: 33.0
"
5,52.0,"target: 52.0
"
6,10.0,"target: 10.0
"
7,13.0,"target: 13.0
"
8,17.0,"target: 17.0
"
9,10.0,"target: 10.0
"
10,16.0,"target: 16.0
"
11,12.0,"target: 12.0
"
12,15.0,"target: 15.0
"
13,5.0,"target: 5.0
"
14,14.0,"target: 14.0
"
15,9.0,"target: 9.0
"
16,11.0,"target: 11.0
"
17,21.0,"target: 21.0
"
18,18.0,"target: 18.0
"
19,16.0,"target: 16.0
"
20,19.0,"target: 19.0
"
21,14.0,"target: 14.0
"
22,16.0,"target: 16.0
"
23,12.0,"target: 12.0
"
24,18.0,"target: 18.0
"
25,67.0,"target: 67.0
"
26,65.0,"target: 65.0
"
27,51.0,"target: 51.0
"
28,25.0,"target: 25.0
"
29,56.0,"target: 56.0
"
30,41.0,"target: 41.0
"
31,74.0,"target: 74.0
"
32,58.0,"target: 58.0
"
33,55.0,"target: 55.0
"
34,47.0,"target: 47.0
"
35,47.0,"target: 47.0
"
36,60.0,"target: 60.0
"
37,63.0,"target: 63.0
"
38,89.0,"target: 89.0
"
39,77.0,"target: 77.0
"
40,70.0,"target: 70.0
"
41,71.0,"target: 71.0
"
42,48.0,"target: 48.0
"
43,81.0,"target: 81.0
"
44,82.0,"target: 82.0
"
45,43.0,"target: 43.0
"
46,59.0,"target: 59.0
"
47,100.0,"target: 100.0
"
48,67.0,"target: 67.0
"
49,105.0,"target: 105.0
"
50,65.0,"target: 65.0
"
51,83.0,"target: 83.0
"
52,104.0,"target: 104.0
"
53,88.0,"target: 88.0
"
54,44.0,"target: 44.0
"
55,78.0,"target: 78.0
"
56,21.0,"target: 21.0
"
57,11.0,"target: 11.0
"
58,34.0,"target: 34.0
"
59,42.0,"target: 42.0
"
60,34.0,"target: 34.0
"
61,11.0,"target: 11.0
"
62,12.0,"target: 12.0
"
63,23.0,"target: 23.0
"
64,13.0,"target: 13.0
"
65,12.0,"target: 12.0
"
66,9.0,"target: 9.0
"
67,3.0,"target: 3.0
"
68,16.0,"target: 16.0
"
69,15.0,"target: 15.0
"
70,6.0,"target: 6.0
"
71,4.0,"target: 4.0
"
72,6.0,"target: 6.0
"
73,83.0,"target: 83.0
"
74,72.0,"target: 72.0
"
75,17.0,"target: 17.0
"
76,42.0,"target: 42.0
"
77,74.0,"target: 74.0
"
78,74.0,"target: 74.0
"
79,96.0,"target: 96.0
"
80,50.0,"target: 50.0
"
81,98.0,"target: 98.0
"
82,76.0,"target: 76.0
"
83,59.0,"target: 59.0
"
84,5.0,"target: 5.0
"
85,16.0,"target: 16.0
"
86,212.0,"target: 212.0
"
87,227.0,"target: 227.0
"
88,342.0,"target: 342.0
"
89,252.0,"target: 252.0
"
90,452.0,"target: 452.0
"
91,211.0,"target: 211.0
"
92,488.0,"target: 488.0
"
93,215.0,"target: 215.0
"
94,1.0,"target: 1.0
"
95,4.0,"target: 4.0
"
96,3.0,"target: 3.0
"
97,6.0,"target: 6.0
"
98,11.0,"target: 11.0
"
99,1.0,"target: 1.0
"
100,13.0,"target: 13.0
"
101,12.0,"target: 12.0
"
102,15.0,"target: 15.0
"
103,12.0,"target: 12.0
"
104,10.0,"target: 10.0
"
105,3.0,"target: 3.0
"
106,2.0,"target: 2.0
"
107,5.0,"target: 5.0
"
108,7.0,"target: 7.0
"
109,5.0,"target: 5.0
"
110,6.0,"target: 6.0
"
111,4.0,"target: 4.0
"
112,5.0,"target: 5.0
"
113,7.0,"target: 7.0
"
114,16.0,"target: 16.0
"
115,14.0,"target: 14.0
"
116,18.0,"target: 18.0
"
117,22.0,"target: 22.0
"
118,20.0,"target: 20.0
"
119,7.0,"target: 7.0
"
120,21.0,"target: 21.0
"
121,15.0,"target: 15.0
"
122,9.43,"target: 9.43
"
123,151.0,"target: 151
"
124,12.3,"target: 12.3
"
125,21.95,"target: 21.95
"
126,10.46,"target: 10.46
"
127,19.02,"target: 19.02
"
128,21.93,"target: 21.93
"
129,34.72,"target: 34.72
"
130,33.56,"target: 33.56
"
131,158.35,"target: 158.35
"
132,35.52,"target: 35.52
"
