,all_data,gpt,counts,script,gpt_script
0,"['ErvhzjvPi', 'CjPlJlnnGJX', 'rReORf']",CjPlJlnnGJX,nothing,"['ErvhzjvPi', 'CjPlJlnnGJX', 'rReORf']","ErvhzjvPi
CjPlJlnnGJX
rReORf
"
1,"['SeQTEvPlTkGFzg', 'AgVJycTTMcw', 'aaQbVaa']","The word that does not start with ""a"" or ""A"" is 'SeQTEvPlTkGFzg'.",nothing,['SeQTEvPlTkGFzg'],"['SeQTEvPlTkGFzg']
"
2,"['QFbFyPXmKE', 'aaaFaI', 'SqvTPu']","The word not starting with ""a"" or ""A"" is 'QFbFyPXmKE'.",nothing,"['QFbFyPXmKE', 'SqvTPu']","['QFbFyPXmKE', 'SqvTPu']
"
3,"['cgfFnULSp', 'sBferL', 'aHuDHze']","The word that does not start with ""a"" or ""A"" is 'sBferL'.",nothing,"['cgfFnULSp', 'sBferL']","cgfFnULSp
sBferL
"
4,"['iuLYQnmuEOlLwrY', 'TeRSSSga', 'fugEH']","The word ""fugEH"" does not start with ""a"" or ""A"".",nothing,"['iuLYQnmuEOlLwrY', 'TeRSSSga', 'fugEH']","['iuLYQnmuEOlLwrY', 'TeRSSSga', 'fugEH']
"
5,"['aIaaaaLcaaaaaaha', 'usJTsg', 'tqWFRuyAFNXoQj']","The word 'usJTsg' does not start with ""a"" or ""A"".",nothing,"['usJTsg', 'tqWFRuyAFNXoQj']","['usJTsg', 'tqWFRuyAFNXoQj']
"
6,"['bZZzPWcgCxr', 'tyRUt', 'HlQbEUw']","All three words do not start with ""a"" or ""A"".",nothing,"['bZZzPWcgCxr', 'tyRUt', 'HlQbEUw']","['bZZzPWcgCxr', 'tyRUt', 'HlQbEUw']
"
7,"['kXRFxBSR', 'axSytSL', 'CqcPRTAePZ']","The word that does not start with ""a"" or ""A"" is 'kXRFxBSR'.",nothing,"['kXRFxBSR', 'CqcPRTAePZ']","['kXRFxBSR', 'CqcPRTAePZ']
"
8,"['sppydLPMTXCoLNC', 'AFPIAEx', 'hnQlxldeHrYFOp']","The word that does not start with ""a"" or ""A"" is 'sppydLPMTXCoLNC'.",nothing,"['sppydLPMTXCoLNC', 'hnQlxldeHrYFOp']","['sppydLPMTXCoLNC', 'hnQlxldeHrYFOp']
"
9,"['MQXGvKFOxZQS', 'tUlBdKjqD', 'HySgRmqjpP']","The word that does not start with ""a"" or ""A"" is 'MQXGvKFOxZQS'.",nothing,"['MQXGvKFOxZQS', 'tUlBdKjqD', 'HySgRmqjpP']","['MQXGvKFOxZQS', 'tUlBdKjqD', 'HySgRmqjpP']
"
10,"['cPlcrxaMisF', 'IwSZexYJ', 'bxdumvd']","The word ""bxdumvd"" does not start with ""a"" or ""A"".",nothing,"['cPlcrxaMisF', 'IwSZexYJ', 'bxdumvd']","['cPlcrxaMisF', 'IwSZexYJ', 'bxdumvd']
"
11,"['WjJOHULtAHAdUz', 'LciAdsrxKbejy', 'zQojCvJrLf']","The word 'LciAdsrxKbejy' does not start with ""a"" or ""A"".",nothing,"['WjJOHULtAHAdUz', 'LciAdsrxKbejy', 'zQojCvJrLf']","['WjJOHULtAHAdUz', 'LciAdsrxKbejy', 'zQojCvJrLf']
"
