,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,"""ErvhzjvPi"" : 9; [e, r, v, h, z, j, p, i]",9,8,"['h', 'j', 'P', 'E', 'v', 'r', 'z', 'i']
"
1,CjPlJlnnGJX,"""CjPlJlnnGJX"" : 7; [c, j, p, l, n, g, x]",7,7,"['s', 'u', 'p', 'e', 'r', 'c', 'a', 'l', 'i', 'f', 'g', 't', 'x', 'd', 'o']
"
2,rReORf,"""rReORf"" : 4; [r, e, o, f]",4,4,"['e', 'f', 'O', 'R', 'r']
"
3,SeQTEvPlTkGFzg,"""SeQTEvPlTkGFzg"" : 12; [s, e, q, t, v, p, l, k, g, f, z]",12,11,"['Q', 'e', 'l', 'E', 'G', 'F', 'S', 'g', 'P', 'k', 'z', 'v', 'T']
"
4,AgVJycTTMcw,"""aGvJycTmW"" : 8; [a, g, v, j, y, c, t, m]",8,9,"['s', 'u', 'p', 'e', 'r', 'c', 'a', 'l', 'i', 'f', 'g', 't', 'x', 'd', 'o']
"
5,aaQbVaa,"""aqbv"" : 4; [a, q, b, v]",4,4,"['V', 'a', 'Q', 'b']
"
6,QFbFyPXmKE,"""QFbFyPXmKE"" : 8; [q, f, b, y, p, x, m, k]",8,9,"['s', 'u', 'p', 'e', 'r', 'c', 'a', 'l', 'i', 'f', 'g', 't', 'x', 'd', 'o']
"
7,aaaFaI,"""aaaFaI"" : 4; [a, f, i]",4,3,"['a', 'f', 'i']
"
8,SqvTPu,"""SqvTPu"" : 6; [s, q, v, t, p, u]",6,6,"['v', 'S', 'T', 'q', 'u', 'P']
"
9,cgfFnULSp,"""cGfFnULSp"" : 8; [c, g, f, n, u, l, s, p]",8,8,"['i', 'g', 'd', 'e', 'r', 'o', 't', 'u', 'a', 'c', 'x', 'p', 'f', 's', 'l']
"
10,sBferL,"""sBferL"" : 6; [s, b, f, e, r, l]",6,6,"['B', 's', 'r', 'e', 'f', 'L']
"
11,aHuDHze,"""aHuDHze"" : 5; [a, h, u, d, z]",5,6,"['D', 'a', 'e', 'u', 'H', 'z']
"
12,iuLYQnmuEOlLwrY,"""iuLYQnmuEOlLwrY"" : 11; [i, u, l, y, q, n, m, e, o, w, r]",11,11,"['i', 'u', 'L', 'Y', 'Q', 'n', 'm', 'E', 'O', 'l', 'w', 'r']
"
