,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger: 0,0,0,0
1,situation,situation : 1,1,0,0
2,send,send : 0,0,0,0
3,went,went : 0,0,0,0
4,century,century : 1,1,1,1
5,contain,contain : 1,1,1,1
6,abrogate,abrogate : 0,0,0,0
7,important,important : 1,1,0,0
8,old,old : 0,0,0,0
9,interrupts,interrupts : 1,1,0,0
10,describe,describe : 0,0,1,1
11,There,"There : 1
are : 0
many : 0
'C' : 1
or : 0
'C' : 1
in : 0
each : 0
of : 0
following : 0
word : 0",1,0,0
12,too,"too : 1
word : 1
example : 0",1,0,0
13,particular,particular : 1,1,1,1
14,Middle,Middle : 1,1,0,0
15,alterations,alterations : 1,1,0,0
16,observed,observed : 1,1,0,0
17,contains,"contains : 1
the word is : 1
format : 1
example : 0
should : 0
be : 0",1,1,1
18,Minicules,Minicules: 1,1,1,1
19,cultures,cultures : 1,1,1,1
20,have,have : 0,0,0,0
21,summons,summons : 2,2,0,0
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 0,0,0,0
25,recently-deceased,recently-deceased : 0,0,2,2
26,army,army : 0,0,0,0
27,poems,poems : 0,0,0,0
28,I,"I : 0
the : 0",0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 2,2,3,3
33,Monomyth,Monomyth: 0,0,0,0
34,peculiar,peculiar : 1,1,1,1
35,Elsewhere,Elsewhere : 1,1,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 1,1,0,0
38,talk,talk : 1,1,0,0
39,"""retainer""",retainer: 1,1,0,0
40,lack,lack : 1,1,1,1
41,script,script : 0,0,1,1
42,island,island : 0,0,0,0
43,K,"K : 0
Curec : 2
Cactus : 2
Cucumber : 2
Chocolate : 2
Car : 1
Cat : 1
Computer : 1
Cup : 1
Candle : 1",0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 1,1,1,1
46,spy,spy : 0,0,0,0
47,desolate,desolate : 0,0,0,0
48,resembles,resembles : 1,1,0,0
49,explained,explained : 0,0,0,0
50,coincides,coincides : 2,2,2,2
51,was,was : 0,0,0,0
52,date,date : 0,0,0,0
53,Polish,Polish: 1,1,0,0
54,Ghost,Ghost : 1,1,0,0
55,became,became : 0,0,1,1
56,these,these : 0,0,0,0
57,commencement,commencement : 2,2,2,2
58,Although,Although : 1,1,0,0
59,would,would : 0,0,0,0
60,They,They : 0,0,0,0
61,one,"one : 0
word : 1
format : 0",0,0,0
62,while,while : 0,0,0,0
63,and,and : 0,0,0,0
64,When,When : 0,0,0,0
65,attack,attack : 1,1,1,1
66,be,be : 0,0,0,0
67,plot,plot : 0,0,0,0
68,friends,friends : 0,0,0,0
69,lights,lights : 0,0,0,0
70,present,present : 0,0,0,0
71,adopted,adopted : 1,1,0,0
72,Benson,Benson: 1,1,0,0
73,married,married : 1,1,0,0
74,already,already : 0,0,0,0
75,before,before : 1,1,0,0
76,way,way : 0,0,0,0
77,mourn,mourn: 1,1,0,0
78,cup,"cup : 1
the word is : cat : 1
the word is : computer : 1
the word is : chocolate : 2
the word is : car : 1
the word is : cucumber : 2
the word is : cycle : 1
the word is : city : 1
the word is : camera : 2
the word is : curtain : 1",1,1,1
79,begins,begins : 1,1,0,0
80,protect,protect : 0,0,1,1
81,night,night : 0,0,0,0
82,or,or : 1,1,0,0
83,poetry,poetry : 0,0,0,0
84,even,even : 0,0,0,0
85,along,along : 1,1,0,0
86,more,more : 1,1,0,0
87,reasons,reasons : 1,1,0,0
88,harp,harp : 1,1,0,0
89,argues,argues : 1,1,0,0
90,"cliffs""",cliffs : 1,1,1,1
91,abnegation,abnegation : 0,0,0,0
92,their,their : 0,0,0,0
93,royal,royal : 0,0,0,0
94,rather,rather : 1,1,0,0
95,themes,themes: 0,0,0,0
96,found,found : 0,0,0,0
97,literary,literary: 1,1,0,0
98,lines,lines: 0,0,0,0
99,A,"A : 0
the : 0
word : 0",0,0,0
100,calling,calling : 2,2,1,1
101,Most,Most : 1,1,0,0
102,were,were : 0,0,0,0
103,prosody,prosody: 0,0,0,0
104,He,"He : 0
the : 0
word : 0",0,0,0
105,reacts,reacts : 1,1,1,1
106,wily,wily : 0,0,0,0
107,"rigor""",rigor : 0,0,0,0
108,known,known : 1,1,0,0
109,arguing,arguing : 1,1,0,0
110,fearing,fearing : 1,1,0,0
111,been,been : 0,0,0,0
112,article,article : 0,0,1,1
113,strangely,strangely : 0,0,0,0
114,text,"text : 0
word : 1
example : 0
format : 0",0,0,0
115,One,"One : 0
Two : 0
Three : 0
Four : 0
Five : 0
Six : 0
Seven : 0
Eight : 0
Nine : 0
Ten : 0",0,0,0
116,margins,margins : 1,1,0,0
117,new,new : 0,0,0,0
118,meets,meets : 0,0,0,0
119,winsome,winsome : 0,0,0,0
120,any,"the : 0
word : 1
is : 0
any : 0",0,0,0
121,pray,pray: 0,0,0,0
122,castle,castle : 1,1,1,1
123,graveyard,graveyard : 1,1,0,0
124,appearance,appearance : 1,1,1,1
125,but,but : 0,0,0,0
126,mother,mother: 0,0,0,0
127,used,used : 1,1,0,0
128,Germanic,Germanic : 1,1,1,1
129,point,point : 1,1,0,0
130,wants,wants : 1,1,0,0
131,monster,monster : 0,0,0,0
132,stock,stock : 1,1,1,1
133,thought,thought : 1,1,0,0
134,influenced,influenced : 1,1,1,1
135,may,may : 0,0,0,0
136,subject,subject : 0,0,1,1
137,arranged,arranged : 1,1,0,0
138,Lord's,Lord's : 0,0,0,0
139,heavy,heavy : 0,0,0,0
140,D,"D : 0
the word is : C : 1
the word is : curec : 2
the word is : chocolate : 2
the word is : computer : 1
the word is : cat : 1",0,0,0
141,killed,killed: 1,1,0,0
142,Foley's,Foley's: 0,0,0,0
143,traditional,traditional : 1,1,0,0
144,Insular,Insular : 0,0,0,0
145,why,why : 0,0,0,0
146,human,human : 0,0,0,0
147,unusual,unusual : 0,0,0,0
148,contemporary,"contemporary : 1
the word is : contemporary",1,1,1
149,awry,awry : 0,0,0,0
150,seeks,seeks : 0,0,0,0
151,by,"by : 0
the : 0
word : 1",0,0,0
152,unwittingly,unwittingly : 1,1,0,0
153,Poetry,Poetry: 1,1,0,0
154,hides,hides: 0,0,0,0
155,as,"as : 0
the word is : curec
curec : 2
the word is : cat
cat : 1
the word is : chocolate
chocolate : 2
the word is : computer
computer : 1",0,0,0
156,That,"That : 0
the : 0
word : 1",0,0,0
157,has,"the : 0
word : 1
is : 0
has : 1",0,0,0
158,Francis,Francis : 0,0,1,1
159,Accompany,"Accompany : 2
Curec : 2
Cactus : 2
Cucumber : 2
Carnival : 1
Caramel : 1
Cocoon : 2
Cyclone : 1
Cupcake : 1
Curtain : 1",2,2,2
160,met,met : 0,0,0,0
161,Rejected,Rejected : 0,0,1,1
162,sudden,sudden : 1,1,0,0
163,characterized,characterized : 1,1,2,2
164,theory,theory : 0,0,0,0
165,documented,documented : 1,1,1,1
166,wars,wars : 0,0,0,0
167,know,know : 0,0,0,0
168,with,"with : 0
the : 0
word : 0",0,0,0
169,plans,plans : 0,0,0,0
170,proposed,proposed : 1,1,0,0
171,Fortinbras,Fortinbras : 0,0,0,0
172,"heroes""",heroes : 0,0,0,0
173,annotations,annotations : 2,2,0,0
174,writes,writes : 0,0,0,0
175,maintaining,maintaining : 1,1,0,0
176,uncle,uncle : 1,1,1,1
177,that,"the : 0
word : 0
is : 0
that : 1",0,0,0
178,killing,killing: 1,1,0,0
179,France,France: 0,0,1,1
180,travelling,travelling: 0,0,0,0
181,hell,hell : 0,0,0,0
182,thinking,thinking : 1,1,0,0
183,Denmark,Denmark : 0,0,0,0
184,which,"which : 1
the : 0",1,1,1
185,battle,battle : 1,1,0,0
186,reply,reply: 0,0,0,0
187,other,other : 0,0,0,0
188,insular,insular : 0,0,0,0
189,now,now : 0,0,0,0
190,also,also : 1,1,0,0
191,density,density : 0,0,0,0
192,recently-widowed,recently-widowed : 0,0,1,1
193,kill,kill : 0,0,0,0
194,Heroes',Heroes' : 0,0,0,0
195,ambassador,ambassador : 1,1,0,0
196,Queen,Queen : 1,1,0,0
197,goes,goes : 0,0,0,0
198,where,"where : 1
the : 0",1,0,0
199,story,story : 1,1,0,0
200,doing,doing : 1,1,0,0
201,Albert,Albert : 1,1,0,0
202,Rosencrantz,Rosencrantz : 0,0,1,1
203,much,much : 1,1,1,1
204,confronts,confronts : 1,1,1,1
205,preponderance,preponderance : 0,0,1,1
206,distressed,distressed : 0,0,0,0
207,it,"it : 0
word : 1
format : 0",0,0,0
208,individual,individual : 1,1,0,0
209,particularly,particularly : 1,1,1,1
210,into,"into : 1
the word is : following : 1
the word is : example : 0
the word is : format : 0
the word is : input : 0
the word is : curec : 2",1,0,0
211,moving,moving : 1,1,0,0
212,what's,what's : 1,1,0,0
213,"""written","written : 1
following : 0
format : 0",1,0,0
214,Richardson,Richardson : 0,0,1,1
215,virtually,virtually : 0,0,0,0
216,subjects,subjects : 0,0,1,1
217,like,like : 0,0,0,0
218,tapestry,tapestry : 0,0,0,0
219,consisted,consisted : 1,1,1,1
220,believes,believes : 0,0,0,0
221,continues,continues : 1,1,1,1
222,evidence,evidence : 0,0,1,1
223,Joseph,Joseph : 0,0,0,0
224,drinks,drinks : 0,0,0,0
225,nation's,nation's : 1,1,0,0
226,duel,duel : 0,0,0,0
227,throes,throes : 0,0,0,0
228,alliteration,alliteration : 0,0,0,0
229,poisoned,poisoned: 1,1,0,0
230,Larry,Larry : 0,0,0,0
231,madness,madness : 0,0,0,0
232,Ophelia,Ophelia: 0,0,0,0
233,assuming,assuming : 1,1,0,0
234,time,time : 0,0,0,0
235,common,"common : 1
the word is : character",1,1,1
236,include,include : 1,1,1,1
237,murder,murder : 0,0,0,0
238,soul,soul : 0,0,0,0
239,ghost,ghost : 0,0,0,0
240,Campbell's,Campbell's: 1,1,1,1
241,Gertrude's,Gertrude's: 0,0,0,0
242,ends,ends : 0,0,0,0
243,early,early : 1,1,0,0
244,presage,presage : 0,0,0,0
245,She,She : 0,0,0,0
246,Poland,Poland: 0,0,0,0
247,luck,luck : 1,1,1,1
248,form,form : 1,1,0,0
249,extensions,extensions : 0,0,0,0
250,so,"so : 0
the : 0",0,0,0
251,construction,construction : 1,1,2,2
252,vociferous,vociferous : 0,0,1,1
253,are,are : 0,0,0,0
254,played,played : 0,0,0,0
255,semi-Uncial,semi-Uncial : 1,1,1,1
256,Oral,Oral: 1,1,0,0
257,concept,"concept : 1
the word is : character",1,2,2
258,hero,hero : 0,0,0,0
259,unpredicatable,unpredicatable : 0,0,1,1
260,style,style : 0,0,0,0
261,some,"some : 0
word : 1
format : 0
example : 0",0,0,0
262,hypothesis,hypothesis : 0,0,0,0
263,resemblance,resemblance : 1,1,1,1
264,"formulaic""",formulaic : 1,1,1,1
265,through,through : 0,0,0,0
266,an,"an : 0
the : 0
word : 1
is : 0",0,0,0
267,defined,defined : 1,1,0,0
268,closely,closely : 1,1,1,1
269,Late,Late : 0,0,0,0
270,Dehn,Dehn : 0,0,0,0
271,moment,moment : 1,1,0,0
272,back,back : 1,1,1,1
273,he,"he : 0
the : 0",0,0,0
274,what,"what : 0
the : 0",0,0,0
275,written,written : 1,1,0,0
276,After,After : 0,0,0,0
277,According,"According : 2
the : 0
word : 1",2,2,2
278,change,"change : 1
the word is : calculate : 1
the word is : computer : 1
the word is : chocolate : 2
the word is : class : 1
the word is : create : 1",1,1,1
279,epics,epics : 1,1,1,1
280,"""a","a : 0
the : 0
word : 0",0,0,0
281,to,"to : 0
the : 0",0,0,0
282,seen,seen : 0,0,0,0
283,father,father : 0,0,0,0
284,Old,"Old : 0
the word is : Curec",0,0,0
285,His,His : 0,0,0,0
286,poetic,poetic : 1,1,1,1
287,onwards,onwards : 1,1,0,0
288,probity,probity : 0,0,0,0
289,warns,warns : 0,0,0,0
290,variation,variation : 1,1,0,0
291,down,down : 1,1,0,0
292,ending,ending : 1,1,0,0
