,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger: 1,1,1,1
1,situation,situation : 1,1,1,1
2,send,send : 0,0,0,0
3,went,went : 0,0,0,0
4,century,century : 1,1,0,0
5,contain,contain : 1,1,1,1
6,abrogate,abrogate : 2,2,2,2
7,important,important : 1,1,1,1
8,old,old : 0,0,0,0
9,interrupts,interrupts : 1,1,0,0
10,describe,describe : 1,1,0,0
11,There,There : 1,1,0,0
12,too,too : 1,1,0,0
13,particular,particular : 2,2,2,2
14,Middle,Middle : 1,1,0,0
15,alterations,alterations : 2,2,2,2
16,observed,observed : 1,1,0,0
17,contains,"contains : 1
the : 0
following : 0
word : 0
example : 0
format : 1
input : 0
output : 0
should : 0
be : 0
banAna : 3",1,1,1
18,Minicules,Minicules: 1,1,0,0
19,cultures,cultures : 1,1,0,0
20,have,have : 1,1,1,1
21,summons,summons : 1,1,0,0
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 1,1,0,0
25,recently-deceased,recently-deceased : 2,2,1,1
26,army,army : 1,1,1,1
27,poems,poems : 1,1,0,0
28,I,I : 0,0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 2,2,2,2
33,Monomyth,Monomyth: 0,0,0,0
34,peculiar,peculiar : 0,0,1,1
35,Elsewhere,Elsewhere : 1,1,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 1,1,1,1
38,talk,talk : 1,1,1,1
39,"""retainer""",retainer : 1,1,1,1
40,lack,lack : 1,1,1,1
41,script,script : 0,0,0,0
42,island,island : 1,1,1,1
43,K,K : 0,0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 1,1,1,1
46,spy,spy : 0,0,0,0
47,desolate,desolate : 1,1,1,1
48,resembles,resembles : 1,1,0,0
49,explained,explained : 1,1,1,1
50,coincides,coincides : 1,1,0,0
51,was,was : 1,1,1,1
52,date,date : 1,1,1,1
53,Polish,Polish: 1,1,0,0
54,Ghost,Ghost : 0,0,0,0
55,became,became : 1,1,1,1
56,these,these : 0,0,0,0
57,commencement,commencement : 1,1,0,0
58,Although,Although : 1,1,1,1
59,would,would : 1,1,0,0
60,They,They : 0,0,0,0
61,one,"one : 0
word : 1
format : 1
example : 2
input : 1
output : 1
should : 1
be : 0",0,0,0
62,while,while : 0,0,0,0
63,and,and : 1,1,1,1
64,When,When : 0,0,0,0
65,attack,attack : 2,2,2,2
66,be,be : 0,0,0,0
67,plot,plot : 0,0,0,0
68,friends,friends : 0,0,0,0
69,lights,lights : 0,0,0,0
70,present,"The word is: present
present: 1",1,0,0
71,adopted,adopted : 1,1,1,1
72,Benson,Benson : 1,1,0,0
73,married,married : 1,1,1,1
74,already,already : 2,2,2,2
75,before,before : 1,1,0,0
76,way,way : 1,1,1,1
77,mourn,mourn : 1,1,0,0
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,0,0
80,protect,protect : 1,1,0,0
81,night,night : 0,0,0,0
82,or,or : 1,1,0,0
83,poetry,poetry : 1,1,0,0
84,even,even : 0,0,0,0
