,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger: 1,1,0,0
1,situation,situation : 1,1,0,0
2,send,send : 0,0,0,0
3,went,went : 0,0,0,0
4,century,century : 0,0,0,0
5,contain,contain : 1,1,0,0
6,abrogate,"abrogate : 0
the word is : balloon",0,0,0
7,important,important : 1,1,0,0
8,old,old : 1,1,1,1
9,interrupts,interrupts : 1,1,0,0
10,describe,describe : 1,1,0,0
11,There,"There : 1
are : 0
many : 0
'l' : 1
or : 0
'L' : 1
in : 0
each : 0
of : 0
following : 0
word : 0.",1,0,0
12,too,"too : 1
word : 1
following : 2
example : 1
format : 1",1,0,0
13,particular,particular : 2,2,1,1
14,Middle,Middle : 1,1,1,1
15,alterations,alterations : 2,2,1,1
16,observed,observed : 1,1,0,0
17,contains,"contains : 1
following : 2
format : 1
example : 1
input : 1
output : 1
should : 1
lemma : 1",1,0,0
18,Minicules,Minicules : 0,0,1,1
19,cultures,cultures : 1,1,1,1
20,have,have : 0,0,0,0
21,summons,"summons : 1
the word is : hello
hello : 2
the word is : level
level : 2
the word is : balloon
balloon : 2
the word is : library
library : 2
the word is : elephant
elephant : 1",1,0,0
22,well,well : 1,1,2,2
23,"""fighting",fighting : 1,1,0,0
24,theme,"theme : 1
the word is : following : 2
the word is : example : 1
the word is : format : 1
the word is : lemma : 1
the word is : answer : 1
the word is : per : 0
the word is : word : 1",1,0,0
25,recently-deceased,recently-deceased : 2,2,1,1
26,army,army : 0,0,0,0
27,poems,poems: 0,0,0,0
28,I,"I : 0
the : 0
word : 0",0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 2,2,0,0
33,Monomyth,Monomyth : 0,0,0,0
34,peculiar,peculiar : 0,0,1,1
35,Elsewhere,Elsewhere : 1,1,1,1
36,stylized,stylized : 1,1,1,1
37,says,says : 1,1,0,0
38,talk,talk : 1,1,1,1
39,"""retainer""",retainer : 1,1,0,0
40,lack,lack : 1,1,1,1
41,script,script : 0,0,0,0
42,island,island : 1,1,1,1
43,K,"K : 0
the word is : 0",0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 1,1,1,1
48,resembles,resembles : 1,1,1,1
49,explained,explained : 1,1,1,1
50,coincides,coincides : 1,1,0,0
51,was,was : 1,1,0,0
52,date,date : 0,0,0,0
53,Polish,Polish: 1,1,1,1
54,Ghost,Ghost : 1,1,0,0
55,became,"became : 1
the word is : following : 2
the word is : example : 0
the word is : format : 0",1,0,0
56,these,these : 1,1,0,0
57,commencement,commencement : 2,2,0,0
58,Although,Although : 1,1,1,1
59,would,would : 1,1,1,1
60,They,They : 0,0,0,0
61,one,"lemma : 1
following : 2
example : 1
format : 1
input : 1
answer : 1
word : 1",1,0,0
62,while,while : 1,1,1,1
63,and,"and : 0
the : 0
word : 0",0,0,0
64,When,"When : 0
the : 0
input : 0
is : 0",0,0,0
65,attack,attack : 1,1,0,0
66,be,be : 0,0,0,0
67,plot,plot : 1,1,1,1
68,friends,friends : 1,1,0,0
69,lights,lights : 1,1,1,1
70,present,"present: 1
word: 1
format: 1",1,0,0
