,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng : 0,0,0,0
1,WheEvvCJUOy,WheEvvCJUOy : 0,0,0,0
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 1,1,1,1
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 0,0,0,0
4,dMjmcRken,dMjmcRken : 0,0,1,1
5,nJmUdWVgWuER,nJmUdWVgWuER : 1,1,1,1
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 0,0,0,0
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,0,0
9,yTFacDAsinC,yTFacDAsinC : 2,2,1,1
10,UxspslKELdlqdP,UxspslKELdlqdP : 2,2,2,2
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 2,2,1,1
12,KGTbEcynixPW,KGTbEcynixPW : 0,0,0,0
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 1,1,1,1
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 0,0,0,0
15,wbnKjysoc,wbnKjysoc : 0,0,0,0
16,wdKSaippj,wdKSaippj : 0,0,1,1
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 2,2,1,1
18,axaaaaaayaaaaaVa,"axaaaaaayaaaaaVa : 1
danger : 1
Dandelion : 2
doodle : 2
Dinosaur : 2
daddy : 2
Daisy : 1",1,0,0
19,Icutt,"Icutt : 0
the word is : danger : 1",0,0,0
20,OLDYKoP,OLDYKoP : 0,0,1,1
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 2,2,1,1
22,wKQprGeSbjuG,wKQprGeSbjuG : 0,0,0,0
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw : 0,0,0,0
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 0,0,0,0
27,QeseYmgaRgk,QeseYmgaRgk : 0,0,0,0
28,ftmhCcg,ftmhCcg : 0,0,0,0
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 0,0,0,0
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 2,2,1,1
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 0,0,0,0
34,rHPrsNCFh,rHPrsNCFh : 0,0,0,0
35,pFbbbb,pFbbbb : 0,0,0,0
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 0,0,0,0
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 2,2,1,1
39,qoyzwcNt,qoyzwcNt : 0,0,0,0
40,ngmwliDdsP,ngmwliDdsP : 2,2,2,2
41,bzybbbgbbbb,bzybbbgbbbb : 0,0,0,0
42,yyEORr,yyEORr : 0,0,0,0
43,iklqZ,iklqZ : 0,0,0,0
44,bbbbbbbbbcbQ,bbbbbbbbbcbQ : 0,0,0,0
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,0,0
46,bbbbbbbWhbUbb,bbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi : 0,0,0,0
48,aqTBUcBP,aqTBUcBP : 0,0,0,0
49,BBNtNEJeORj,BBNtNEJeORj : 0,0,0,0
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,"bbbbbWdbbb : 1
DANGER : 1
dandelion : 1
doodle : 1
dinosaur : 1",1,1,1
52,SVEjp,SVEjp : 0,0,0,0
53,ElGklwTlwu,ElGklwTlwu : 0,0,0,0
54,stMsByx,stMsByx : 0,0,0,0
55,nXfFaSoQDQ,nXfFaSoQDQ : 2,2,1,1
56,fNvsIexdvZSgWA,fNvsIexdvZSgWA : 0,0,1,1
57,bbbbSR,bbbbSR : 0,0,0,0
58,zoAKuEervGcTw,zoAKuEervGcTw : 0,0,0,0
59,bbbbbFJbbbbbw,"bbbbbFJbbbbbw : 0
danger : 1",0,0,0
60,KaxMM,KaxMM : 0,0,0,0
61,QiXoFQvLVCuwiaS,QiXoFQvLVCuwiaS : 0,0,0,0
62,GzjhfXo,GzjhfXo : 0,0,0,0
63,cccTDc,"cccTDc : 1
word : 1
following : 1
format : 0",1,1,1
64,cccQcVVccscc,cccQcVVccscc : 0,0,0,0
65,lxKmsA,lxKmsA : 0,0,0,0
66,mcqhcM,mcqhcM : 0,0,0,0
67,ObihWboeCeL,ObihWboeCeL : 0,0,0,0
68,NOvngWsW,NOvngWsW : 0,0,0,0
69,jDcc,jDcc : 1,1,1,1
70,nFXMagtqNnrW,nFXMagtqNnrW : 0,0,0,0
71,AsKXrB,AsKXrB : 0,0,0,0
72,eccLUcccc,eccLUcccc : 0,0,0,0
73,XepsCtdPd,XepsCtdPd : 3,3,2,2
74,EpUKrz,EpUKrz : 0,0,0,0
75,YwnPDw,YwnPDw : 1,1,1,1
76,yoXvClNsJSq,yoXvClNsJSq : 0,0,0,0
77,GrDZGUVG,GrDZGUVG : 1,1,1,1
78,BoZPQVawqUvk,BoZPQVawqUvk : 0,0,0,0
79,cccrcccdcccc,"cccrcccdcccc : 1
determined : 1
deadline : 1
dictionary : 1
dandelion : 2",1,1,1
80,vVSGgCjqXMziyW,vVSGgCjqXMziyW : 0,0,0,0
81,KNgasCyL,KNgasCyL : 0,0,0,0
82,eyxmhv,eyxmhv: 0,0,0,0
83,ccccgcccccOc,cccgcccccOc : 0,0,0,0
84,zEDAWEOEaR,"zEDAWEOEaR : 1
word : 1
format : 0",1,1,1
85,czfccc,czfccc : 0,0,0,0
86,cccctcccZc,cccctcccZc : 0,0,0,0
87,WNrWJtwQgvP,WNrWJtwQgvP : 0,0,0,0
88,ccccccXccK,ccccccXccK : 0,0,0,0
89,XlvVWX,XlvVWX : 0,0,0,0
90,ibBepVXfLM,ibBepVXfLM : 0,0,0,0
91,PXDCGzYh,PXDCGzYh : 1,1,1,1
92,eCGivJBObS,eCGivJBObS : 0,0,0,0
93,ioFUDuSYpQNYU,ioFUDuSYpQNYU : 0,0,1,1
94,arCzc,arCzc : 0,0,0,0
95,tEjfwO,tEjfwO : 0,0,0,0
96,QHSrOQXHY,QHSrOQXHY : 0,0,0,0
97,Cdqdddmgdd,Cdqdddmgdd : 6,6,6,6
98,WmsLKQTDfURToK,WmsLKQTDfURToK : 2,2,1,1
99,dddqddMddddddd,dddqddMddddddd : 12,12,12,12
100,PpkBbASTcq,PpkBbASTcq : 0,0,0,0
101,CzPvxbo,CzPvxbo: 0,0,0,0
102,dodddLHdd,dodddLHdd : 5,5,6,6
103,UhroTJryT,UhroTJryT : 0,0,0,0
104,NDkrurgZNVbdoww,NDkrurgZNVbdoww : 2,2,2,2
105,lEjItTXUKfa,lEjItTXUKfa : 0,0,0,0
106,IwaxDVvUuS,IwaxDVvUuS : 1,1,1,1
107,MZxFXZVZXWPKF,MZxFXZVZXWPKF : 0,0,0,0
108,aYHgXJkEunLHyDT,aYHgXJkEunLHyDT : 2,2,1,1
109,urZqZQKRd,urZqZQKRd : 1,1,1,1
110,huhJQZ,huhJQZ : 0,0,0,0
111,UaFxzRJAUPqbsek,UaFxzRJAUPqbsek : 0,0,0,0
112,BZzNpJvc,BZzNpJvc : 0,0,0,0
113,sPacdwwyeYdPqV,sPacdwwyeYdPqV : 2,2,2,2
