,all_data,gpt,counts,script,gpt_script
0,gravedigger,"""gravedigger"" has 4 vowel letters. The vowel letters in the word are ""a"", ""e"", ""i"", and ""e"". Therefore, the output would be:
""gravedigger"" : 4; [a, e, i, e]",4,4,4
1,situation,"""situation"" : 5; [i, u, a, i, o]",5,5,5
2,send,"""send"" : 1; [e]",1,1,1
3,went,"""went"" : 1; [e]",1,1,1
4,century,"""century"" : 2; [e, u]",2,2,2
5,contain,"""contain"" : 3; [o, a, i]",3,3,3
6,abrogate,"""abrogate"" : 4; [a, o, a, e]",4,4,4
7,important,"""important"" : 3; [i, o, a]",3,3,3
8,old,"""old"" : 1; [o]",1,1,1
9,interrupts,"""interrupts"" : 3; [i, e, u]",3,3,3
10,describe,"""describe"" : 3; [e, i, e]",3,3,3
11,There,"""There"" has 2 vowel letters. The vowel letters in the word are ""e"" and ""a"".",2,2,2
12,too,"""too"" : 2; [o, o]",2,2,2
13,particular,"""particular"" : 4; [a, i, u, a]",4,4,4
14,Middle,"""Middle"" : 2; [i, e]",2,2,2
15,alterations,"""alterations"" has 5 vowel letters. The vowel letters in the word are ""a"", ""e"", ""a"", ""i"", and ""o"". Therefore, the output would be:
""alterations"" : 5; [a, e, a, i, o]",5,5,5
16,observed,"""observed"" has 3 vowel letters. The vowel letters in the word are ""o"", ""e"", and ""e"". Therefore, the output would be:

""observed"" : 3; [o, e, e]",3,3,3
17,contains,"""contains"" : 3; [o, a, i]",3,3,3
18,Minicules,"""Minicules"" : 4; [i, i, u, e]",4,4,4
19,cultures,"The word ""cultures"" has 3 vowel letters. The vowel letters in the word are ""u"", ""u"", and ""e"". Therefore, the output would be:

""cultures"" : 3; [u, u, e]",3,3,3
20,have,"""have"" : 2; [a, e]",2,2,2
21,summons,"""summons"" : 2; [u, o]",2,2,2
22,well,"The word ""well"" has 1 vowel letter. The vowel letter in the word ""well"" is ""e"". Therefore, the output would be:

""well"" : 1; [e]",1,1,1
23,"""fighting","""fighting"" : 3; [i, i, i]",3,2,2
24,theme,"""theme"" : 2; [e, e]",2,2,2
25,recently-deceased,"""recently-deceased"" : 6; [e, e, y, e, a, e]",6,6,6
26,army,"""army"" : 1; [a]",1,1,1
27,poems,"""poems"" : 2; [o, e]",2,2,2
28,I,"""I"" : 1; [I]",1,1,1
29,sent,"""sent"" : 1; [e]",1,1,1
30,just,"""just"" : 1; [u]",1,1,1
31,brother,"""brother"" : 2; [o, e]",2,2,2
32,characteristics,"""characteristics"" : 6; [a, a, e, i, i, s]",6,5,5
33,Monomyth,"""Monomyth"" has 2 vowel letters. The vowel letters in the word are ""o"" and ""y"". Therefore, the output would be:

""Monomyth"" : 2; [o, y]",2,2,2
34,peculiar,"The word ""peculiar"" has 4 vowel letters. The vowel letters in the word are ""e"", ""u"", ""i"", and ""a"". Therefore, the output would be:

""peculiar"" : 4; [e, u, i, a]",4,4,4
35,Elsewhere,"""Elsewhere"" has 4 vowel letters. The vowel letters in the word are [e, e, e, e].",4,4,4
36,stylized,"""stylized"" : 2; [y, i, e]",2,2,2
37,says,"""says"" : 1; [a]",1,1,1
38,talk,"""talk"" : 1; [a]",1,1,1
39,"""retainer""","""retainer"" : 4; [e, a, i, e]",4,4,4
40,lack,"The word ""lack"" has 1 vowel letter. The vowel letter in the word ""lack"" is ""a"". Therefore, the output would be:

""lack"" : 1; [a]",1,1,1
41,script,"""script"" : 1; [i]",1,1,1
42,island,"""island"" : 2; [i, a]",2,2,2
43,K,"The word is ""K"". There are no vowel letters in the word ""K"". Therefore, the output would be:
""K"" : 0; []",0,0,0
44,swimming,"""swimming"" : 2; [i, i]",2,2,2
45,act,"""act"" : 1; [a]",1,1,1
46,spy,"""spy"" : 0; []",0,0,0
47,desolate,"""desolate"" : 4; [e, o, a, e]",4,4,4
48,resembles,"""resembles"" : 3; [e, e, e]",3,3,3
49,explained,"""explained"" : 4; [e, a, i, e]",4,4,4
50,coincides,"""coincides"" : 4; [o, i, e, e]",4,4,4
51,was,"""was"" : 1; [a]",1,1,1
52,date,"""date"" : 2; [a, e]",2,2,2
53,Polish,"""Polish"" : 2; [o, i]",2,2,2
54,Ghost,"""Ghost"" : 2; [o, a]",2,1,1
55,became,"""became"" : 3; [e, a, e]",3,3,3
56,these,"""these"" : 2; [e, e]",2,2,2
57,commencement,"""commencement"" : 4; [o, e, e, e]",4,4,4
58,Although,"""Although"" : 4; [A, o, u, h]",4,3,3
59,would,"""would"" : 2; [o, u]",2,2,2
60,They,"""They"" : 1; [e]",1,1,1
61,one,"""one"" : 2; [o, e]",2,2,2
62,while,"""while"" : 2; [i, e]",2,2,2
63,and,"""and"" : 1; [a]",1,1,1
64,When,"""When"" has 1 vowel letter. The vowel letter in the word ""When"" is ""e"". Therefore, the output would be:
""When"" : 1; [e]",1,1,1
65,attack,"""attack"" : 2; [a, a]",2,2,2
66,be,"""be"" : 1; [e]",1,1,1
67,plot,"""plot"" : 1; [o]",1,1,1
68,friends,"""friends"" : 2; [i, e]",2,2,2
69,lights,"""lights"" : 1; [i]",1,1,1
70,present,"""present"" : 2; [e, e]",2,2,2
71,adopted,"""adopted"" : 3; [a, o, e]",3,3,3
72,Benson,"Benson: 2; [e, o]",2,2,2
73,married,"""married"" : 3; [a, i, e]",3,3,3
74,already,"""already"" : 3; [a, e, a]",3,3,3
75,before,"""before"" : 3; [e, o, e]",3,3,3
76,way,"""way"" : 1; [a]",1,1,1
77,mourn,"The word ""mourn"" has 2 vowel letters. The vowel letters in the word are ""o"" and ""u"". 

Therefore, the output would be:
""mourn"" : 2; [o, u]",2,2,2
78,cup,"The word ""cup"" has 1 vowel letter. The vowel letter in the word ""cup"" is ""u"". Therefore, the output would be:
""cup"" : 1; [u]",1,1,1
79,begins,"""begins"" : 2; [e, i]",2,2,2
80,protect,"""protect"" : 2; [o, e]",2,2,2
81,night,"""night"" : 1; [i]",1,1,1
82,or,"""or"" : 1; [o]",1,1,1
83,poetry,"""poetry"" : 3; [o, e, y]",3,2,2
84,even,"""even"" : 2; [e, e]",2,2,2
85,along,"""along"" : 2; [a, o]",2,2,2
86,more,"""more"" : 2; [o, e]",2,2,2
87,reasons,"""reasons"" : 3; [e, a, o]",3,3,3
88,harp,"""harp"" : 1; [a]",1,1,1
89,argues,"""argues"" : 3; [a, u, e]",3,3,3
90,"cliffs""","""cliffs"" : 1; [i]",1,1,1
91,abnegation,"""abnegation"" : 5; [a, e, a, i, o]",5,5,5
92,their,"""their"" : 2; [e, i]",2,2,2
93,royal,"""royal"" : 2; [o, a]",2,2,2
94,rather,"""rather"" : 2; [a, e]",2,2,2
95,themes,"""themes"" : 2; [e, e]",2,2,2
96,found,"""found"" : 2; [o, u]",2,2,2
97,literary,"""literary"" : 3; [i, e, a]",3,3,3
98,lines,"""lines"" : 2; [i, e]",2,2,2
99,A,"""A"" : 1; [A]",1,1,1
100,calling,"""calling"" : 2; [a, i]",2,2,2
101,Most,"""Most"" : 1; [o]",1,1,1
102,were,"""were"" : 2; [e, e]",2,2,2
103,prosody,"""prosody"" : 2; [o, o]",2,2,2
104,He,"""He"" : 1; [e]",1,1,1
105,reacts,"""reacts"" : 2; [e, a]",2,2,2
106,wily,"""wily"" : 1; [i]",1,1,1
107,"rigor""","""rigor"" : 2; [i, o]",2,2,2
108,known,"""known"" : 1; [o]",1,1,1
109,arguing,"""arguing"" : 3; [a, u, i]",3,3,3
110,fearing,"""fearing"" : 3; [e, a, i]",3,3,3
111,been,"""been"" : 2; [e, e]",2,2,2
112,article,"""article"" : 4; [a, i, e, e]",4,3,3
113,strangely,"""strangely"" : 3; [a, e, y]",3,2,2
114,text,"""text"" : 1; [e]",1,1,1
115,One,"""One"" has 2 vowel letters. The vowel letters in the word ""One"" are [O, e].",2,2,2
116,margins,"""margins"" : 2; [a, i]",2,2,2
117,new,"""new"" : 1; [e]",1,1,1
118,meets,"""meets"" : 2; [e, e]",2,2,2
119,winsome,"""winsome"" : 3; [i, o, e]",3,3,3
120,any,"The word ""any"" has 1 vowel letter. The vowel letter in the word ""any"" is ""a"". Therefore, the output would be:

""any"" : 1; [a]",1,1,1
121,pray,"""pray"" : 2; [a, y]",2,1,1
122,castle,"""castle"" : 2; [a, e]",2,2,2
123,graveyard,"""graveyard"" : 3; [a, e, a]",3,3,3
124,appearance,"""appearance"" : 5; [a, e, a, e, e]",5,5,5
125,but,"""but"" : 1; [u]",1,1,1
126,mother,"""mother"" : 2; [o, e]",2,2,2
127,used,"""used"" : 2; [u, e]",2,2,2
128,Germanic,"""Germanic"" : 3; [e, a, i]",3,3,3
129,point,"""point"" : 2; [o, i]",2,2,2
130,wants,"""wants"" : 1; [a]",1,1,1
131,monster,"""monster"" : 2; [o, e]",2,2,2
132,stock,"""stock"" : 1; [o]",1,1,1
133,thought,"""thought"" : 2; [o, u]",2,2,2
134,influenced,"""influenced"" : 5; [i, u, e, e, e]",5,4,4
135,may,"""may"" : 1; [a]",1,1,1
136,subject,"""subject"" : 2; [u, e]",2,2,2
137,arranged,"""arranged"" : 3; [a, a, e]",3,3,3
138,Lord's,"""Lord's"" : 1; [o]",1,1,1
139,heavy,"""heavy"" : 2; [e, a]",2,2,2
140,D,"The word is ""D"". There are no vowel letters in the word. Therefore, the output would be:
""D"" : 0; []",0,0,0
141,killed,"""killed"" : 2; [i, e]",2,2,2
142,Foley's,"""Foley's"" has 2 vowel letters. The vowel letters in the word are ""o"" and ""e"". Therefore, the output would be:
""Foley's"" : 2; [o, e]",2,2,2
143,traditional,"""traditional"" : 5; [a, i, i, o, a]",5,5,5
144,Insular,"""Insular"" has 3 vowel letters. The vowel letters in the word are ""I"", ""u"", and ""a"". Therefore, the output would be:
""Insular"" : 3; [I, u, a]",3,3,3
145,why,"""why"" : 0; []",0,0,0
146,human,"""human"" : 2; [u, a]",2,2,2
