,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng : 0,0,1,1
1,WheEvvCJUOy,WheEvvCJUOy : 0,0,0,0
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 1,1,1,1
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 0,0,0,0
4,dMjmcRken,dMjmcRken : 0,0,0,0
5,nJmUdWVgWuER,nJmUdWVgWuER : 1,1,1,1
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 2,2,1,1
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,0,0
9,yTFacDAsinC,yTFacDAsinC : 0,0,0,0
10,UxspslKELdlqdP,UxspslKELdlqdP : 0,0,0,0
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 0,0,0,0
12,KGTbEcynixPW,KGTbEcynixPW : 0,0,1,1
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 0,0,0,0
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 2,2,1,1
15,wbnKjysoc,wbnKjysoc : 0,0,0,0
16,wdKSaippj,wdKSaippj : 0,0,0,0
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 2,2,1,1
18,axaaaaaayaaaaaVa,axaaaaaayaaaaaVa : 0,0,0,0
19,Icutt,"Icutt: 0
the word is: 0",0,0,0
20,OLDYKoP,OLDYKoP : 0,0,0,0
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 2,2,1,1
22,wKQprGeSbjuG,wKQprGeSbjuG : 2,2,2,2
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw: 0,0,0,0
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 0,0,0,0
27,QeseYmgaRgk,QeseYmgaRgk : 2,2,2,2
28,ftmhCcg,ftmhCcg : 2,2,1,1
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 0,0,0,0
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 4,4,3,3
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 0,0,0,0
34,rHPrsNCFh,rHPrsNCFh : 0,0,0,0
35,pFbbbb,pFbbbb : 0,0,0,0
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 1,1,1,1
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 0,0,0,0
39,qoyzwcNt,qoyzwcNt : 0,0,0,0
40,ngmwliDdsP,ngmwliDdsP : 0,0,1,1
41,bzybbbgbbbb,bzybbbgbbbb : 4,4,1,1
42,yyEORr,"yyEORr : 0
the word is : ggGgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg",0,0,0
43,iklqZ,iklqZ : 0,0,0,0
44,bbbbbbbbbcbQ,bbbbbbbbbcbQ : 0,0,0,0
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,0,0
46,bbbbbbbWhbUbb,bbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi : 0,0,0,0
48,aqTBUcBP,aqTBUcBP : 0,0,0,0
49,BBNtNEJeORj,BBNtNEJeORj : 0,0,0,0
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,"bbbbbWdbbb : 0
girl : 1",0,0,0
52,SVEjp,SVEjp: 0,0,0,0
