,labels,gpt_script
0,51.0,"target: 51
"
1,1.0,
2,17.0,"target: 17
"
3,22.0,"target: 22
"
4,2.0,"target: 2
"
5,46.0,"target: 95
"
6,3.0,"target: 3
"
7,9.0,"target: 9
"
8,4.0,"target: 4
"
9,21.0,"target: 21
"
10,1.0,"target: 1
"
11,143.0,"target: 143
"
12,926.0,"target: 926
"
13,255.0,"target: 255
"
14,10.0,"target: 18
"
15,16.0,"target: 24
"
16,469.0,"target: 234.5
"
17,1414.0,"target: 1414
"
18,27.0,"target: 40
"
19,66.0,"target: 66
"
20,186.0,"target: 186
"
21,20.0,"target: 20
"
22,10.0,"target: 10
"
23,1.0,"target: 4
"
24,1.0,"target: -1
"
25,60.0,
26,488.0,"target: -422
"
27,1.0,"Crackers per person: 0.4642857142857143
Cakes per person: 0.5357142857142857
"
28,89.0,"target: 89
"
29,2.0,"target: 2.0
"
30,5.0,"target: 5
"
31,2.0,"target: -2
"
32,1.0,"target: 1.0
"
33,63.0,"target: 63
"
34,1.0,"The number of emails Jack received in the afternoon is: 4
"
35,1.0,"target: 1
"
36,949.0,"target: 11862.5
"
37,2.0,"target: 7
"
38,2.0,"The size of each group of oranges is: 2.0
"
39,3.0,"target: 3
"
40,10.0,"target: 10
"
41,4.0,
42,8142.0,"target: 8142
"
43,1.0,"target: 1
"
44,39.0,"target: 39
"
45,32.0,"target: 32
"
46,13.0,"target: 13
"
47,11.0,"target: 1
"
48,26.0,"target: 26
"
49,266.0,"target: 0
"
50,57.0,"target: 57
"
51,6.0,"target: 6
"
52,4.0,"target: 4.0
"
53,2.0,"target: 2.0
"
54,24.0,"target: 24
"
55,204.0,"target: 204
"
56,20.0,"target: 20
"
57,31.0,"target: 31
"
58,10.0,"target: 10
"
59,61.0,"target: 61
"
60,11.0,"target: 11
"
61,2.0,"target: 2.0
"
62,2.0,"target: 2.0
"
63,2.0,"target: 16
"
64,139.0,"target: 139
"
65,3.0,"target: 3
"
66,4.0,"target: 8.5
"
67,5.0,"target: 5.0
"
68,22.0,"target: -22
"
69,111.0,"target: 111
"
70,22090603.0,"target: 22090603
"
71,125.0,"target: 125
"
72,8.0,"target: 8
"
73,75.0,"target: 75
"
74,569.0,"target: 569
"
75,2173.0,"target: 2173
"
76,2.0,
77,8.0,"target: 8
"
78,2.0,"target: 2
"
79,4300.0,"target: 4300
"
80,24.0,"target: 44
"
81,7.0,"target: 7.0
"
82,2.0,"target: 2
"
83,687.0,"target: 687
"
84,20.0,"target: 20
"
85,30.0,"target: 30
"
86,1.0,"target: 1
"
87,17.0,"target: 17.0
"
88,5.0,"target: 5
"
89,22.0,
90,1.0,"target: 1
"
91,366.0,
92,22.0,"target: 22
"
93,1.0,"target: 1
"
94,1.0,"The difference in the number of kids Julia played with on Monday compared to Tuesday is: 1
"
95,1.0,"target: 1
"
96,12.0,"target: 12
"
97,30.0,"target: 30
"
98,7.0,"target: 7.0
"
99,15.0,"target: 15
"
100,10.0,"target: 10
"
101,8.0,"target: 8
"
102,1.0,"The number of balloons Jake has more than Allan in the park: 1
"
103,154.0,"target: 154
"
104,39.0,
105,96.0,"target: 96
"
106,28462.0,"target: 28462
"
107,10011.0,"target: 10011
"
108,1.0,"target: 1
"
109,23.0,"target: 23
"
110,2.0,"target: 1.4230769230769231
"
111,1862.0,"target: 1862
"
112,4.0,"target: -4
"
113,1.0,"target: 1
"
114,84.0,"target: 1848
"
115,104.0,"target: 63
"
116,10.0,"target: 10.0
"
117,17.0,"target: 17
"
118,10.0,
119,22.0,"target: 19
"
120,3.0,"target: 3
"
121,25.0,"target: 25
"
122,4.0,"target: 4
"
123,33.0,"target: 33
"
124,12.0,"target: 4
"
125,118.0,"target: 118
"
126,5.0,"target: 5.0
"
127,7.0,"target: 7
"
128,192.0,"target: 192
"
129,7.0,"target: 7
"
130,9.0,"target: 9
"
131,34.0,"target: 34
"
132,60.0,"target: 60
"
133,1.0,"target: 1
"
134,308.0,"target: 308
"
135,80.0,"target: 80
"
136,4.0,"target: 4
"
137,180.0,"target: 180
"
138,2.0,"target: 2.0
"
139,16.0,"target: 16
"
140,15.0,"target: 15
"
141,125.0,"target: 125
"
142,30.0,"target: 30
"
143,6.0,"target: 6.0
"
144,137.0,
145,1124.0,"target: 1124
"
146,81.0,"target: 81
"
147,469.0,"target: 469
"
148,72.0,"target: 72.0
"
149,3.0,"target: 3
"
150,12.0,"target: 12
"
151,174080.0,"target: 174080
"
152,450.0,"target: 450
"
153,34.0,"target: 34
"
154,5.0,"target: 5.0
"
155,98.0,"target: 98
"
156,21.0,"target: 21
"
157,638.0,
158,29.0,"target: 29.0
"
159,16.0,"target: 0.0625
"
160,4.0,
161,13.0,"target: 13
"
162,5.0,"Jill has 11 peaches.
"
163,37.0,"target: 37
"
164,2.0,"target: 2.0
"
165,95.0,"target: 95
"
166,2.0,"target: 2.0
"
167,21.0,"target: 45
"
168,58.0,"target: 58
"
169,1538832.0,"target: 1538910
"
170,6.0,"target: 6.0
"
171,858.0,"target: 858
"
172,8.0,"target: 8
"
173,5.0,"target: 5
"
174,18.0,"target: 18
"
175,8.0,"target: 63
"
176,8722.0,"target: 8722
"
177,14.0,"target: 14
"
178,13.0,"target: 13
"
179,229.0,"target: 229
"
180,29.0,"target: 29
"
181,61.0,
182,420.0,"target: 420
"
183,1.0,"target: -57
"
184,42.0,"remaining_quantity: 42
"
185,1.0,"target: 1.0
"
186,56.0,"target: 56
"
187,21.0,"target: 21.0
"
188,4.0,
189,76.0,"target: 76
"
190,10.0,"target: 10.0
"
191,2.0,"target: 2
"
192,21.0,"target: 21
"
193,2.0,"target: 2
"
194,28.0,"target: -1
"
195,7.0,"target: 7
"
196,2.0,"target: 2
"
197,28.0,"target: 28
"
198,40.0,"target: 40.0
"
199,83.0,"target: 83
"
200,6.0,"target: 6.0
"
201,12518.0,"target: 12518
"
202,127.0,"target: 41
"
203,1.0,"target: 1
"
204,460.0,"target: 4140
"
205,11.0,"target: 11
"
206,1.0,"target: 1
"
207,3.0,"target: 3
"
208,7.0,"target: 7
"
209,47.0,"target: 47
"
210,350.0,"target: 350
"
211,68.0,"target: 2.72
"
212,19.0,"target: -19
"
213,22.0,"target: 22
"
214,12.0,"target: 12
"
215,17.0,"target: 17
"
216,72.0,"target: 72
"
217,2.0,"target: 2.0
"
218,184.0,"target: 184
"
219,1.0,"target: 1
"
220,1092.0,"target: 1092
"
221,15.0,"target: 15
"
222,14.0,"target: 14.0
"
223,3.0,"target: 3
"
224,23.0,
225,14.0,"target: 14.0
"
226,5.0,"Crackers per person: 2.0
Cakes per person: 3.0
"
227,450.0,"target: 720
"
228,2.0,"target: 2.0
"
229,16.0,"target: 95
"
230,280.0,"target: 280
"
231,8.0,"target: 8
"
232,2.0,"target: 2
"
233,1.0,"The cost of the candy bar is: 1
"
234,183.0,"target: 183
"
235,482.0,"target: 1029
"
236,8.0,"target: 3
"
237,3.0,"target: 3.0
"
238,69.0,"target: 69
"
239,20.0,"target: 20
"
240,21.0,"target: 21
"
241,90.0,"target: 90
"
242,10.0,"target: 10
"
243,11.0,"target: 11
"
244,174.0,"target: 174
"
245,84.0,"target: 84
"
246,640.0,"target: 640
"
247,26.0,"target: 26
"
248,14.0,"target: 14
"
249,27.0,"target: 27
"
250,65.0,"target: 65
"
251,6840.0,"target: 6840
"
252,23.0,"target: 23
"
253,1542.0,"target: 1542
"
254,9.0,"target: 9
"
255,14.0,"target: 14
"
256,1.0,"target: 1
"
257,40.0,"target: 40
"
258,183.0,"target: 183
"
259,127.0,"target: 13462
"
260,10.0,"target: 10.0
"
261,26.0,"target: 26
"
262,1.0,
263,3.0,"target: 3
"
264,997.0,"target: 997
"
265,11.0,"target: 11
"
