,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,ErvhzjvPia,nothing,ErvhzjvPia,"The new word is: ERVHZJVPIA
"
1,CjPlJlnnGJX,CjPlJlnnGJXa,nothing,CjPlJlnnGJXa,"The new word is: CJPLJLNNGJXA
"
2,rReORf,rReORfa,nothing,rReORfa,"The result is: RREORFA
"
3,SeQTEvPlTkGFzg,SeQTEvPlTkGFzga,nothing,SeQTEvPlTkGFzga,"The new word is: SeQTEvPlTkGFzga
"
4,AgVJycTTMcw,AgVJycTTMcwa,nothing,AgVJycTTMcwa,"The new word is: AgVJycTTMcwa
"
5,aaQbVaa,aaQbVaaa,nothing,aaQbVaaa,"aaQbVaaa
"
6,QFbFyPXmKE,QFbFyPXmKEa,nothing,QFbFyPXmKEa,"The new word is: QFBFYPXMKEA
"
7,aaaFaI,aaaFaIa,nothing,aaaFaIa,"aaaFaIa
"
8,SqvTPu,SqvTPua,nothing,SqvTPua,"The new word is: SqvTPua
"
9,cgfFnULSp,cgfFnULSpa,nothing,cgfFnULSpa,"The result is: CGFFNULSPA
"
10,sBferL,sBferLa,nothing,sBferLa,"The new word is: SBFERLA
"
11,aHuDHze,aHuDHzea,nothing,aHuDHzea,"aHuDHzea
"
12,iuLYQnmuEOlLwrY,iuLYQnmuEOlLwrYa,nothing,iuLYQnmuEOlLwrYa,"The result is: iuLYQnmuEOlLwrYa
"
13,TeRSSSga,TeRSSSgaa,nothing,TeRSSSgaa,"TeRSSSgaa
"
14,fugEH,fugEHa,nothing,fugEHa,"The new word is: FUGEHA
"
15,aIaaaaLcaaaaaaha,aIaaaaLcaaaaaahaa,nothing,aIaaaaLcaaaaaahaa,"aIaaaaLcaaaaaahaa
"
16,usJTsg,usJTsga,nothing,usJTsga,"The result is: USJTSGA
"
17,tqWFRuyAFNXoQj,tqWFRuyAFNXoQja,nothing,tqWFRuyAFNXoQja,"The result is: TQWFRUYAFNXOQJA
"
18,bZZzPWcgCxr,bZZzPWcgCxa,nothing,bZZzPWcgCxra,"Input: bZZzPWcgCxra
"
19,tyRUt,tyRUta,nothing,tyRUta,"The result is: TYRUTA
"
20,HlQbEUw,HlQbEUwa,nothing,HlQbEUwa,"The result is: HLQBEUWA
"
21,kXRFxBSR,kXRFxBSRa,nothing,kXRFxBSRa,"The new word is: kXRFxBSRa
"
22,axSytSL,axSytSLa,nothing,axSytSLa,"axSytSLa
"
23,CqcPRTAePZ,CqcPRTAePZa,nothing,CqcPRTAePZa,"The new word is: CQCPRTAEPZA
"
24,sppydLPMTXCoLNC,sppydLPMTXCoLNCa,nothing,sppydLPMTXCoLNCa,"Result: SPPYDLPMTXCOLNCA
"
25,AFPIAEx,AFPIAExa,nothing,AFPIAExa,"AFPIAExa
"
26,hnQlxldeHrYFOp,hnQlxldeHrYFOpa,nothing,hnQlxldeHrYFOpa,"The new word is: HNQLXLDEHRYFOPA
"
27,MQXGvKFOxZQS,MQXGvKFOxZQSa,nothing,MQXGvKFOxZQSa,"Result: MQXGvKFOxZQSa
"
28,tUlBdKjqD,tUlBdKjqDa,nothing,tUlBdKjqDa,"tUlBdKjqDa
"
29,HySgRmqjpP,HySgRmqjpPa,nothing,HySgRmqjpPa,"The new word is: HYSGRMQJPPA
"
30,cPlcrxaMisF,cPlcrxaMisFa,nothing,cPlcrxaMisFa,"The new word is: cPlcrxaMisFa
"
31,IwSZexYJ,IwSZexYJa,nothing,IwSZexYJa,"The result is: IWSZEXYJA
"
32,bxdumvd,bxdumvda,nothing,bxdumvda,"The result is: BXDUMVDA
"
33,WjJOHULtAHAdUz,WjJOHULtAHAdUza,nothing,WjJOHULtAHAdUza,"The original word was: WjJOHULtAHAdUz
The new word is: WjJOHULtAHAdUza
"
34,LciAdsrxKbejy,LciAdsrxKbejya,nothing,LciAdsrxKbejya,"The new word is: LCIADSRXKBEJYA
"
35,zQojCvJrLf,zQojCvJrLfa,nothing,zQojCvJrLfa,"The new word is: ZQOJCVJRLFA
"
36,zrZTJPEEhFy,zrZTJPEEhFya,nothing,zrZTJPEEhFya,"zrZTJPEEhFya
"
37,vsBKViCyqSOHI,vsBKViCyqSOHIa,nothing,vsBKViCyqSOHIa,"vsBKViCyqSOHIa
"
38,jWruBseYHdiztk,jWruBseYHdiztka,nothing,jWruBseYHdiztka,"The result is: JWRUBSEYHDIZTKA
"
39,aaaaaaamaaPaJk,aaaaaaamaaPaJka,nothing,aaaaaaamaaPaJka,"aaaaaaamaaPaJka
"
40,PPlTYBqQD,PPlTYBqQDa,nothing,PPlTYBqQDa,"The new word is: PPLTYBQQDA
"
41,xkHqOTUkAGOtPfk,xkHqOTUkAGOtPfka,nothing,xkHqOTUkAGOtPfka,"xkHqOTUkAGOtPfka
"
42,FAvlIpLBP,FAvlIpLBPa,nothing,FAvlIpLBPa,"The result is: FAvlIpLBPa
"
43,HcfIao,HcfIaoa,nothing,HcfIaoa,"The result is: HCFIAOA
"
44,lmyWlf,lmyWlfa,nothing,lmyWlfa,"lmyWlfa
"
45,xkSwLvqhii,xkSwLvqhii a,nothing,xkSwLvqhiia,"The result is: XKSWLVQHIIA
"
46,DIDEcb,DIDEcba,nothing,DIDEcba,"DIDEcba
"
47,SnzCoxYCTpiMsaw,SnzCoxYCTpiMsawa,nothing,SnzCoxYCTpiMsawa,"SnzCoxYCTpiMsawa
"
48,fEnebWe,fEnebWea,nothing,fEnebWea,"The new word is: FENEBWEA
"
49,dNApLsNGWruM,dNApLsNGWruMa,nothing,dNApLsNGWruMa,"Result: DNAPLSNGWRUMA!!!
"
50,HXkZKCHQZv,HXkZKCHQZva,nothing,HXkZKCHQZva,"HXkZKCHQZva
"
51,horKOaKHYZpgb,horkoaKHYzpgba,nothing,horKOaKHYZpgba,"horKOaKHYZpgba
"
