,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng : 0,0,0,0
1,WheEvvCJUOy,WheEvvCJUOy : 1,1,1,1
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 0,0,0,0
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 0,0,0,0
4,dMjmcRken,dMjmcRken : 1,1,1,1
5,nJmUdWVgWuER,nJmUdWVgWuER : 0,0,0,0
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 1,1,1,1
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,0,0
9,yTFacDAsinC,yTFacDAsinC : 1,1,2,2
10,UxspslKELdlqdP,UxspslKELdlqdP : 0,0,0,0
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 2,2,1,1
12,KGTbEcynixPW,KGTbEcynixPW : 1,1,1,1
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 0,0,0,0
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 1,1,1,1
15,wbnKjysoc,wbnKjysoc : 1,1,1,1
16,wdKSaippj,wdKSaippj : 0,0,0,0
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 0,0,0,0
18,axaaaaaayaaaaaVa,axaaaaaayaaaaaVa : 0,0,0,0
19,Icutt,Icutt : 1,1,1,1
20,OLDYKoP,OLDYKoP : 0,0,0,0
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 0,0,1,1
22,wKQprGeSbjuG,wKQprGeSbjuG : 0,0,0,0
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw : 1,1,1,1
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 1,1,1,1
27,QeseYmgaRgk,QeseYmgaRgk : 0,0,0,0
28,ftmhCcg,ftmhCcg : 2,2,2,2
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 1,1,1,1
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 2,2,1,1
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 1,1,1,1
34,rHPrsNCFh,rHPrsNCFh : 1,1,1,1
35,pFbbbb,pFbbbb : 0,0,0,0
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 0,0,0,0
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 0,0,0,0
39,qoyzwcNt,qoyzwcNt : 1,1,1,1
40,ngmwliDdsP,ngmwliDdsP : 0,0,0,0
41,bzybbbgbbbb,bzybbbgbbbb : 0,0,0,0
42,yyEORr,yyEORr : 0,0,0,0
43,iklqZ,iklqZ : 0,0,0,0
44,bbbbbbbbbcbQ,bbbbbbbbbcbQ : 1,1,1,1
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,0,0
46,bbbbbbbWhbUbb,bbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi : 0,0,0,0
48,aqTBUcBP,aqTBUcBP : 1,1,1,1
49,BBNtNEJeORj,BBNtNEJeORj : 0,0,0,0
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,"bbbbbWdbbb : 0
ccccc : 5
CureC : 2
CccccC : 5
CccCcc : 5",0,0,0
52,SVEjp,SVEjp: 0,0,0,0
53,ElGklwTlwu,ElGklwTlwu : 0,0,0,0
54,stMsByx,stMsByx : 0,0,0,0
55,nXfFaSoQDQ,nXfFaSoQDQ : 0,0,0,0
56,fNvsIexdvZSgWA,fNvsIexdvZSgWA : 0,0,0,0
57,bbbbSR,"bbbbSR : 0
curec : 2
computer : 1
car : 1
racecar : 2
cactus : 1",0,0,0
58,zoAKuEervGcTw,zoAKuEervGcTw : 1,1,1,1
59,bbbbbFJbbbbbw,"bbbbbFJbbbbbw : 0
curec : 2
computer : 1
Coca-Cola : 2
racecar : 0
chocolate : 2",0,0,0
60,KaxMM,KaxMM : 0,0,0,0
61,QiXoFQvLVCuwiaS,QiXoFQvLVCuwiaS : 1,1,1,1
62,GzjhfXo,GzjhfXo : 0,0,0,0
63,cccTDc,cccTDc : 4,4,4,4
64,cccQcVVccscc,cccQcVVccscc : 8,8,8,8
65,lxKmsA,lxKmsA : 0,0,0,0
66,mcqhcM,mcqhcM : 3,3,2,2
67,ObihWboeCeL,ObihWboeCeL : 2,2,1,1
68,NOvngWsW,NOvngWsW : 0,0,0,0
69,jDcc,jDcc : 2,2,2,2
70,nFXMagtqNnrW,nFXMagtqNnrW : 0,0,0,0
71,AsKXrB,AsKXrB : 0,0,0,0
72,eccLUcccc,eccLUcccc : 6,6,6,6
73,XepsCtdPd,XepsCtdPd : 1,1,1,1
74,EpUKrz,EpUKrz : 0,0,0,0
75,YwnPDw,YwnPDw : 0,0,0,0
76,yoXvClNsJSq,yoXvClNsJSq : 1,1,1,1
77,GrDZGUVG,GrDZGUVG : 0,0,0,0
78,BoZPQVawqUvk,BoZPQVawqUvk : 0,0,0,0
79,cccrcccdcccc,cccrcccdcccc : 11,11,10,10
80,vVSGgCjqXMziyW,vVSGgCjqXMziyW : 1,1,1,1
81,KNgasCyL,KNgasCyL : 1,1,1,1
82,eyxmhv,eyxmhv : 0,0,0,0
83,ccccgcccccOc,cccgcccccOc : 9,9,10,10
84,zEDAWEOEaR,zEDAWEOEaR : 0,0,0,0
85,czfccc,czfccc : 4,4,4,4
86,cccctcccZc,cccctcccZc : 6,6,8,8
87,WNrWJtwQgvP,WNrWJtwQgvP : 0,0,0,0
88,ccccccXccK,"ccccccXccK : 9
the word is : cccccccXccK",9,8,8
89,XlvVWX,XlvVWX : 0,0,0,0
90,ibBepVXfLM,ibBepVXfLM : 0,0,0,0
91,PXDCGzYh,PXDCGzYh : 1,1,1,1
92,eCGivJBObS,eCGivJBObS : 1,1,1,1
93,ioFUDuSYpQNYU,ioFUDuSYpQNYU : 0,0,0,0
94,arCzc,arCzc : 2,2,2,2
95,tEjfwO,tEjfwO : 0,0,0,0
96,QHSrOQXHY,QHSrOQXHY : 0,0,0,0
97,Cdqdddmgdd,Cdqdddmgdd : 1,1,1,1
98,WmsLKQTDfURToK,WmsLKQTDfURToK : 0,0,0,0
99,dddqddMddddddd,dddqddMddddddd : 0,0,0,0
100,PpkBbASTcq,PpkBbASTcq : 1,1,1,1
101,CzPvxbo,CzPvxbo : 0,0,1,1
102,dodddLHdd,dodddLHdd : 0,0,0,0
103,UhroTJryT,UhroTJryT : 0,0,0,0
104,NDkrurgZNVbdoww,NDkrurgZNVbdoww : 0,0,0,0
105,lEjItTXUKfa,lEjItTXUKfa : 0,0,0,0
106,IwaxDVvUuS,IwaxDVvUuS : 0,0,0,0
107,MZxFXZVZXWPKF,MZxFXZVZXWPKF : 0,0,0,0
108,aYHgXJkEunLHyDT,aYHgXJkEunLHyDT : 0,0,0,0
109,urZqZQKRd,urZqZQKRd : 0,0,0,0
110,huhJQZ,huhJQZ : 0,0,0,0
111,UaFxzRJAUPqbsek,UaFxzRJAUPqbsek : 0,0,0,0
112,BZzNpJvc,BZzNpJvc: 1,1,1,1
113,sPacdwwyeYdPqV,sPacdwwyeYdPqV : 0,0,1,1
114,dSZddVdddddUdddd,dSZddVdddddUdddd : 0,0,0,0
115,muILOHGwNtQSog,muILOHGwNtQSog : 0,0,0,0
116,djdfddddRedd,djdfddddRedd : 1,1,0,0
117,KodQzFLVfs,KodQzFLVfs : 0,0,0,0
118,dAdddCR,dAdddCR : 1,1,1,1
119,hIMCdd,hIMCdd : 1,1,1,1
120,tCnHYSE,tCnHYSE : 1,1,1,1
121,JeOeee,JeOeee : 0,0,0,0
122,iQvwMHT,iQvwMHT : 0,0,0,0
123,NXkyvbPtPTg,NXkyvbPtPTg : 0,0,0,0
124,AbrIDQFJUPtMeQ,AbrIDQFJUPtMeQ : 0,0,0,0
125,wHCbFuUSm,wHCbFuUSm : 1,1,1,1
126,vYskumXbek,vYskumXbek : 0,0,0,0
127,CBjHBNcObT,CBjHBNcObT : 1,1,2,2
128,tJkWrbfGy,tJkWrbfGy : 0,0,0,0
129,cAPtGlIhBXFr,cAPtGlIhBXFr : 1,1,1,1
130,owsgBKMFsgoOwc,owsgBKMFsgoOwc : 2,2,1,1
131,bPKYExcCkAIgdU,bPKYExcCkAIgdU : 3,3,2,2
132,eeeYeeeZee,eeeYeeeZee : 0,0,0,0
133,SrzKmND,SrzKmND: 0,0,0,0
134,meJWU,meJWU : 0,0,0,0
135,KcrAKTiWzPALj,KcrAKTiWzPALj : 1,1,1,1
136,PyCaBOjTPuMkhv,PyCaBOjTPuMkhv : 1,1,1,1
137,RDQfxjuosX,RDQfxjuosX : 0,0,0,0
138,iFWhiCSBtEdKF,iFWhiCSBtEdKF : 2,2,1,1
139,OOXsprFtJN,OOXsprFtJN : 0,0,0,0
140,neeeeeheeeeezee,neeeeeheeeeezee : 0,0,0,0
141,iolFfcFLl,iolFfcFLl : 2,2,1,1
142,kBmHBu,kBmHBu : 0,0,0,0
143,veyeN,veyeN: 0,0,0,0
144,BOGtwD,BOGtwD : 0,0,0,0
145,hcKKhCTa,hcKKhCTa : 3,3,2,2
146,aWvMEPYMJ,aWvMEPYMJ : 0,0,0,0
147,EKTyrFJvOKqpje,EKTyrFJvOKqpje : 0,0,0,0
148,dzklgB,dzklgB : 0,0,0,0
149,vWhvLYD,vWhvLYD : 0,0,0,0
150,fffqfXffmffffm,fffqfXffmffffm : 0,0,0,0
151,fVfIffffff,fVfIffffff : 0,0,0,0
152,RiofgWKKJPlEJjO,RiofgWKKJPlEJjO : 0,0,0,0
153,JhyvQyPZVdZtrRJ,JhyvQyPZVdZtrRJ : 0,0,0,0
154,wfffffffffvYfrff,wfffffffffvYfrff : 0,0,0,0
155,oEyQdwmsvhLvARh,oEyQdwmsvhLvARh : 0,0,0,0
156,ffffffefrfff,"fffffeffrfff : 0
curec : 2
CCCCC : 5
racecar : 0
computer : 1",0,0,0
157,MUcIZnDXGao,MUcIZnDXGao : 1,1,1,1
158,EJCusjQFViQQSsM,EJCusjQFViQQSsM : 0,0,1,1
159,EupIuDSOlpyxD,EupIuDSOlpyxD : 0,0,0,0
160,cPIYzMEXGHCVgQ,cPIYzMEXGHCVgQ : 2,2,2,2
161,qytAqpt,qytAqpt : 0,0,0,0
162,GuaTGwBc,GuaTGwBc : 1,1,1,1
163,WpkjS,WpkjS : 0,0,0,0
164,KbGMswFbUqVkKF,KbGMswFbUqVkKF : 0,0,0,0
165,tlbGy,tlbGy : 0,0,0,0
166,XEVvsofIVCrvrr,XEVvsofIVCrvrr : 1,1,1,1
167,usjVnqZLYBENQ,usjVnqZLYBENQ : 0,0,0,0
168,ONaSq,ONaSq : 0,0,0,0
169,DsKdkwhBzIgmCMU,DsKdkwhBzIgmCMU : 2,2,1,1
170,HHRHhaYXTjoZHru,HHRHhaYXTjoZHru : 0,0,0,0
171,nafSdgDmTg,nafSdgDmTg : 0,0,0,0
172,lIpLiCy,lIpLiCy : 0,0,1,1
173,qHHLqZzgJs,qHHLqZzgJs : 0,0,0,0
174,cVEDG,cVEDG : 1,1,1,1
175,iZOGFKebxwLMZr,iZOGFKebxwLMZr : 0,0,0,0
176,EQVaZY,EQVaZY : 0,0,0,0
177,fffffWfcffffU,fffffWfcffffU : 2,2,1,1
178,aKotKQlIfMVa,aKotKQlIfMVa : 0,0,0,0
179,fffJTfffffffffjf,fffJTfffffffffjf : 0,0,0,0
180,oeqFARHGYhvDV,oeqFARHGYhvDV : 0,0,0,0
181,gggggggggglA,gggggggggglA : 0,0,0,0
182,VHosmmHniV,VHosmmHniV : 0,0,0,0
183,vgYglgg,vgYglgg : 0,0,0,0
184,GkpNeTxIzWz,GkpNeTxIzWz : 0,0,0,0
185,kKUDbl,kKUDbl : 0,0,0,0
186,bFlnPFF,bFlnPFF : 0,0,0,0
187,iyjnIUXePaP,iyjnIUXePaP : 0,0,0,0
188,PRvbzTcnaN,PRvbzTcnaN : 1,1,1,1
189,PfyUZHrkAQLwWa,PfyUZHrkAQLwWa : 0,0,0,0
190,oRcvd,oRcvd : 0,0,1,1
191,VYguhGUql,VYguhGUql : 0,0,0,0
192,OthFskhnnOUAaQw,OthFskhnnOUAaQw : 0,0,0,0
193,OMAlsc,OMAlsc: 1,1,1,1
194,pYhDwFVm,pYhDwFVm : 0,0,0,0
195,vqqEgUL,vqqEgUL : 0,0,0,0
196,VgScg,VgScg : 1,1,1,1
197,JMEbCSUBXdU,JMEbCSUBXdU : 1,1,1,1
198,Zgzg,Zgzg : 0,0,0,0
199,Kvpuae,Kvpuae : 0,0,0,0
200,KzuMgUNDM,KzuMgUNDM : 0,0,0,0
201,IbpwDujajWalQ,IbpwDujajWalQ : 0,0,0,0
202,BqlxhQ,BqlxhQ: 0,0,0,0
203,uWpnV,uWpnV : 0,0,0,0
204,pgwgXggtgggg,pgwgXggtgggg : 0,0,0,0
205,SogrYg,SogrYg: 0,0,0,0
206,gggggGgggl,gggggGgggl : 1,1,0,0
207,dyvqwXXPckQtdn,dyvqwXXPckQtdn : 1,1,1,1
208,JUwqavaXLuImHY,JUwqavaXLuImHY : 0,0,0,0
209,ggFggggggguggg,"ggFggggggguggg : 0
the word is : ggFggggggguggg",0,0,0
210,XhhhJhhhhhhAhhhv,XhhhJhhhhhhAhhhv : 0,0,0,0
211,VXVNESjUuzFQ,VXVNESjUuzFQ : 0,0,0,0
212,LyAktDj,LyAktDj : 0,0,0,0
213,TVbHHgRqT,TVbHHgRqT : 0,0,0,0
214,CcSnMAiHwKzxOr,CcSnMAiHwKzxOr : 2,2,2,2
215,hhRhDh,hhRhDh : 0,0,0,0
216,omsuQB,omsuQB : 0,0,0,0
217,UEaiNXeUZn,UEaiNXeUZn : 0,0,0,0
218,Dhhhyhhhhhhhhh,Dhhhyhhhhhhhhh : 0,0,0,0
219,hhHKdhhq,hhHKdhhq : 0,0,0,0
220,wFNubqWXUtH,wFNubqWXUtH : 0,0,0,0
221,VUYKzogbsCtVfp,VUYKzogbsCtVfp : 1,1,1,1
222,xzjcxcKy,xzjcxcKy : 3,3,2,2
223,hzhmahhhh,hzhmahhhh : 0,0,0,0
224,oJwYuv,oJwYuv : 0,0,0,0
225,hhhhhhhhbhhhhP,hhhhhhhhbhhhhP : 0,0,0,0
226,OVMjRVNdjHOOUzm,OVMjRVNdjHOOUzm : 0,0,0,0
227,ydcwxFWgp,ydcwxFWgp : 0,0,1,1
228,CoQQaThHheBEXC,CoQQaThHheBEXC : 3,3,2,2
229,zfHFOGHWscUKDUt,zfHFOGHWscUKDUt : 2,2,1,1
230,hphhhhThhhhhhh,hphhhhThhhhhhh : 0,0,0,0
231,qstZCSIXZ,qstZCSIXZ : 1,1,1,1
232,UvMiDNaGDxnlVU,UvMiDNaGDxnlVU: 0,0,0,0
233,xusWaDqlRB,xusWaDqlRB : 0,0,0,0
234,VckQgFIPIDaWa,VckQgFIPIDaWa : 1,1,1,1
235,zDbMRsdOcVfT,zDbMRsdOcVfT : 1,1,1,1
236,ZKmjkcNyooC,ZKmjkcNyooC : 2,2,2,2
237,rKiATpBfhWnI,rKiATpBfhWnI : 0,0,0,0
238,lDwmFkrxsJBZH,lDwmFkrxsJBZH : 0,0,0,0
239,zxUKyEPMNyuLVz,zxUKyEPMNyuLVz : 0,0,0,0
240,NqxZJrah,NqxZJrah: 0,0,0,0
241,yDPlgqRKq,yDPlgqRKq : 0,0,0,0
242,wzukuVF,wzukuVF: 0,0,0,0
243,ZiiNiiKQ,ZiiNiiKQ : 0,0,0,0
244,smluYSAVGnCfObp,smluYSAVGnCfObp : 1,1,1,1
245,DpStco,DpStco : 1,1,1,1
246,lLRudNlsCwXMco,lLRudNlsCwXMco : 2,2,2,2
247,zideUbhV,zideUbhV : 0,0,0,0
248,bBhiiii,bBhiiii : 0,0,0,0
249,LuTpoWFophQoHUV,LuTpoWFophQoHUV : 0,0,0,0
250,MrFDR,MrFDR: 0,0,0,0
251,FvwwJLOKdykA,FvwwJLOKdykA : 0,0,0,0
252,ciiiiiiiih,ciiiiiiiih : 1,1,1,1
253,GODhue,GODhue: 0,0,0,0
254,ZvZbVCKnhxVHk,ZvZbVCKnhxVHk : 1,1,1,1
255,ioiis,ioiis : 0,0,0,0
256,iiiiiiYiviii,"iiiiiiYiviii : 0
curec : 2
computer : 1
challenge : 2
success : 0",0,0,0
257,HpkGSLOxGajQCrs,HpkGSLOxGajQCrs : 2,2,1,1
258,hEiiOiiiBiii,hEiiOiiiBiii : 0,0,0,0
259,UZEGunMK,UZEGunMK : 0,0,0,0
260,VTUvRoXDWJAZh,VTUvRoXDWJAZh : 0,0,0,0
261,YnjnWCDyb,YnjnWCDyb : 1,1,1,1
262,qgvBNYlzYhLakDE,qgvBNYlzYhLakDE : 0,0,0,0
263,DDkmTj,DDkmTj : 0,0,0,0
264,VeaQRzGtd,VeaQRzGtd: 0,0,0,0
265,iipiiiiiiCJj,"iipiiiiiiCJj : 1
word : 1",1,1,1
266,RAZeUc,RAZeUc : 1,1,1,1
267,uiiiiiiRiiisiii,uiiiiiiiRiiisiii : 0,0,0,0
268,Ciipiiii,Ciipiiii : 1,1,1,1
269,FgrBEZCV,FgrBEZCV : 1,1,1,1
270,nFuqYGbEAtemMca,nFuqYGbEAtemMca : 1,1,1,1
271,iiGWU,iiGWU : 0,0,0,0
272,cGorEpQOg,cGorEpQOg : 1,1,1,1
273,ZTXSYnlb,ZTXSYnlb : 0,0,0,0
274,gQfYejuGCln,gQfYejuGCln : 2,2,1,1
275,JOFnSjmwYs,JOFnSjmwYs : 0,0,0,0
276,UKwtZmNZc,UKwtZmNZc : 1,1,1,1
277,IKJuP,IKJuP : 0,0,0,0
278,vWshlJ,vWshlJ : 0,0,0,0
279,tIsGQdRvDtMCu,tIsGQdRvDtMCu : 1,1,1,1
280,pvyBSSef,pvyBSSef : 0,0,0,0
281,jxwbEnUSwba,jxwbEnUSwba : 0,0,0,0
282,jjojojjjjjjjjmj,jjojojjjjjjjjmj : 0,0,0,0
283,Ulonlq,Ulonlq : 0,0,0,0
284,jVjtjjH,jVjtjjH : 0,0,0,0
285,RHvJFOfjmuVdy,RHvJFOfjmuVdy : 0,0,0,0
286,jjqVjTjtjj,jjqVjTjtjj : 0,0,0,0
287,EsIIOJsFuFS,EsIIOJsFuFS : 0,0,0,0
288,cYSurxK,cYSurxK : 1,1,1,1
289,jwIjjjjjjjjYyjjj,jwIjjjjjjjjYyjjj : 0,0,0,0
290,qjuykBsHJkZ,qjuykBsHJkZ : 0,0,0,0
291,lFKvWSqlCYUnItr,lFKvWSqlCYUnItr : 2,2,1,1
292,TwrTAivGKv,TwrTAivGKv : 0,0,0,0
293,RkBnrC,RkBnrC : 1,1,1,1
294,mRUkEU,mRUkEU : 0,0,0,0
295,fiWxIezjzcO,fiWxIezjzcO : 2,2,1,1
296,toBgq,toBgq : 0,0,0,0
297,kzKrYMVAlHbdWp,kzKrYMVAlHbdWp : 0,0,0,0
298,xXrCuPULuB,xXrCuPULuB : 1,1,1,1
299,UlUROdwUTgDmtJC,UlUROdwUTgDmtJC : 2,2,1,1
300,mMzACuKwzHn,mMzACuKwzHn : 1,1,1,1
301,bwepZ,bwepZ : 0,0,0,0
302,cQkkxoh,cQkkxoh : 1,1,1,1
303,IsKfQOOvrURfGNZ,IsKfQOOvrURfGNZ : 0,0,0,0
304,wGaRq,wGaRq : 0,0,0,0
305,fpXPxfqQIvwCAja,fpXPxfqQIvwCAja : 2,2,1,1
306,NboZEu,NboZEu : 0,0,0,0
307,rkVkkkRkVkkk,rkVkkkRkVkkk : 0,0,0,0
308,kzkkko,kzkkko : 0,0,0,0
309,kfOEk,kfOEk : 0,0,0,0
310,NtnRpWNIBm,NtnRpWNIBm : 0,0,0,0
311,CLTYZ,CLTYZ : 0,0,1,1
312,IclQMLmCGgsBcg,IclQMLmCGgsBcg : 3,3,3,3
313,kWPWYd,kWPWYd : 0,0,0,0
314,nDWIFZoeuoev,nDWIFZoeuoev : 0,0,0,0
315,tYJOvpznlUbtr,tYJOvpznlUbtr : 0,0,0,0
316,IJhpMe,IJhpMe : 0,0,0,0
317,qYUfDEWz,qYUfDEWz : 0,0,0,0
318,yXEUsr,yXEUsr : 0,0,0,0
319,NcDAEommjjkw,NcDAEommjjkw : 1,1,1,1
320,XLDTMMNLlOgCdVt,XLDTMMNLlOgCdVt : 2,2,1,1
321,IqOaTsUyBqSSCWe,IqOaTsUyBqSSCWe : 2,2,1,1
322,kuUQVvGe,kuUQVvGe : 0,0,0,0
323,ADtMYcTEX,ADtMYcTEX : 1,1,1,1
324,OJNdxc,OJNdxc : 1,1,1,1
325,TiMCLhjkQWrR,TiMCLhjkQWrR : 1,1,1,1
326,kykdh,kykdh : 0,0,0,0
327,ysMEA,ysMEA : 0,0,0,0
328,faAoD,faAoD : 0,0,0,0
329,QecFfJWghnjhEtP,QecFfJWghnjhEtP : 1,1,1,1
330,bLblLmAPZLi,bLblLmAPZLi : 0,0,0,0
331,gdSomsFISqSpZ,gdSomsFISqSpZ : 0,0,0,0
332,WRMmUhLMKpv,WRMmUhLMKpv : 0,0,0,0
333,AYHDCY,AYHDCY : 1,1,1,1
334,fIGwepl,fIGwepl : 0,0,0,0
335,ObeDz,ObeDz : 0,0,0,0
336,qKjkAMidPnWoA,qKjkAMidPnWoA : 0,0,0,0
337,sdyUI,sdyUI : 0,0,0,0
338,OlllrleMllll,OlllrleMllll : 0,0,0,0
339,ZyWcKrqdpuF,ZyWcKrqdpuF : 1,1,1,1
340,uPgOflr,uPgOflr : 0,0,0,0
341,GVCEQrkhU,GVCEQrkhU : 1,1,1,1
342,Ekllllllljl,Ekllllllljl : 0,0,0,0
343,lRNAKntPBwfUDyl,lRNAKntPBwfUDyl : 0,0,0,0
344,URMrlMBnLBPW,URMrlMBnLBPW : 0,0,0,0
345,MDNubpD,MDNubpD : 0,0,0,0
346,SINQr,"SINQr : 0
the word is : curec",0,0,0
347,lnlllelllllZlll,lnlllelllllZlll : 0,0,0,0
348,dlIVtxkq,dlIVtxkq : 0,0,0,0
349,QYGRGXPVh,QYGRGXPVh : 0,0,0,0
350,vNORcpthBoxtc,vNORcpthBoxtc : 2,2,2,2
351,ZpEsuTJbZKigH,ZpEsuTJbZKigH : 0,0,0,0
352,OmgqDPhIjb,OmgqDPhIjb : 0,0,0,0
353,lyllllNlll,lyllllNlll : 0,0,0,0
354,rqZKyEH,rqZKyEH: 0,0,0,0
355,nRGwbNyvbq,nRGwbNyvbq : 0,0,0,0
356,UnpwgWNJDYAG,UnpwgWNJDYAG : 0,0,0,0
357,QsYeRqw,QsYeRqw : 0,0,0,0
358,lJXl,lJXl : 0,0,0,0
359,UHFLSFFDXQywWGo,UHFLSFFDXQywWGo : 0,0,0,0
360,mKYBv,mKYBv : 0,0,0,0
361,cqhkrDwoX,cqhkrDwoX : 0,0,1,1
362,IxoTmnxuRmm,IxoTmnxuRmm: 0,0,0,0
363,eIRCT,eIRCT : 1,1,1,1
364,iyZCZAGDW,iyZCZAGDW : 2,2,1,1
365,qwbIBBfhR,qwbIBBfhR : 0,0,0,0
366,wujFJPLKXLXbbn,"wujFJPLKXLXbbn : 0
the word is : curec
curec : 2",0,0,0
367,mwmBmOmt,mwmBmOmt : 0,0,0,0
368,SWeDRgYKQPYr,SWeDRgYKQPYr : 0,0,0,0
369,LlZCWEFsRqXt,LlZCWEFsRqXt : 1,1,1,1
370,BkNBmKkvy,BkNBmKkvy : 0,0,0,0
371,YRqqOaCCpgPU,YRqqOaCCpgPU : 3,3,2,2
372,dCMglxPEr,dCMglxPEr : 1,1,1,1
373,QyJNPnIaZYoNFc,QyJNPnIaZYoNFc : 1,1,1,1
374,AODKgfsmK,AODKgfsmK : 0,0,0,0
375,WeHLzo,WeHLzo : 0,0,0,0
376,qaHJspCstFrXGJ,qaHJspCstFrXGJ : 2,2,1,1
377,BmmmmmmmQmmm,BmmmmmmmQmmm : 0,0,0,0
378,cMkZiNxprjxb,cMkZiNxprjxb : 0,0,1,1
379,mjmfmmmmmmmm,mjmfmmmmmmmm : 0,0,0,0
380,PJsduNRvud,PJsduNRvud : 0,0,0,0
381,dhWwduwlo,dhWwduwlo : 0,0,0,0
382,SOwXPY,SOwXPY : 0,0,0,0
383,ZHdaeG,ZHdaeG : 0,0,0,0
384,lYLfmWNwCptaAwF,lYLfmWNwCptaAwF : 1,1,1,1
385,hxeOQ,hxeOQ : 0,0,0,0
386,QWDVSZu,QWDVSZu : 0,0,0,0
387,pNGvGFSRPlsM,pNGvGFSRPlsM : 0,0,0,0
388,PuGrXmtcdVZnqbY,PuGrXmtcdVZnqbY : 1,1,1,1
389,FnJNg,FnJNg : 0,0,0,0
390,PVXHgS,PVXHgS : 0,0,0,0
391,Onsknl,Onsknl : 0,0,0,0
392,sAXNTTVdZTowTpe,sAXNTTVdZTowTpe : 0,0,0,0
393,RfVisPlFLrPs,RfVisPlFLrPs : 0,0,0,0
394,QEXeaPlpiUI,QEXeaPlpiUI : 0,0,0,0
395,xBmdiXrtIHeGf,xBmdiXrtIHeGf : 0,0,0,0
396,tbhKJGlB,tbhKJGlB : 0,0,0,0
397,abQNpilTY,abQNpilTY : 0,0,0,0
398,lfdBLnFOAVy,lfdBLnFOAVy : 0,0,0,0
399,nnnnnnnwinNnn,nnnnnnnwinNnn : 0,0,0,0
