,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng : 0,0,0,0
1,WheEvvCJUOy,WheEvvCJUOy : 0,0,0,0
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 0,0,0,0
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 0,0,0,0
4,dMjmcRken,dMjmcRken : 0,0,0,0
5,nJmUdWVgWuER,nJmUdWVgWuER : 0,0,0,0
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 0,0,0,0
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,0,0
9,yTFacDAsinC,yTFacDAsinC : 0,0,1,1
10,UxspslKELdlqdP,UxspslKELdlqdP : 0,0,0,0
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 0,0,0,0
12,KGTbEcynixPW,KGTbEcynixPW : 0,0,0,0
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 2,2,1,1
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 0,0,0,0
15,wbnKjysoc,wbnKjysoc : 0,0,0,0
16,wdKSaippj,wdKSaippj : 0,0,0,0
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 0,0,1,1
18,axaaaaaayaaaaaVa,"axaaaaaayaaaaaVa : 0
the word is : fluFfy
fluFfy : 3
the word is : Fizz
Fizz : 1
the word is : Fantastic
Fantastic : 1
the word is : coffee
coffee : 1",0,0,0
19,Icutt,Icutt : 0,0,0,0
20,OLDYKoP,OLDYKoP : 0,0,0,0
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 0,0,0,0
22,wKQprGeSbjuG,wKQprGeSbjuG : 0,0,0,0
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw : 0,0,0,0
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 2,2,2,2
27,QeseYmgaRgk,QeseYmgaRgk : 0,0,0,0
28,ftmhCcg,ftmhCcg : 0,0,1,1
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 0,0,0,0
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 0,0,0,0
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 0,0,0,0
34,rHPrsNCFh,rHPrsNCFh : 1,1,1,1
35,pFbbbb,pFbbbb : 1,1,1,1
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 0,0,0,0
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 0,0,0,0
39,qoyzwcNt,qoyzwcNt : 0,0,0,0
40,ngmwliDdsP,ngmwliDdsP : 0,0,0,0
41,bzybbbgbbbb,bzybbbgbbbb : 0,0,0,0
42,yyEORr,yyEORr : 0,0,0,0
43,iklqZ,iklqZ : 0,0,0,0
44,bbbbbbbbbcbQ,bbbbbcbQ : 0,0,0,0
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,0,0
46,bbbbbbbWhbUbb,bbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi : 0,0,1,1
48,aqTBUcBP,aqTBUcBP : 0,0,0,0
49,BBNtNEJeORj,BBNtNEJeORj : 0,0,0,0
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,bbbbbWdbbb : 0,0,0,0
52,SVEjp,SVEjp : 0,0,0,0
53,ElGklwTlwu,ElGklwTlwu : 0,0,0,0
54,stMsByx,stMsByx : 0,0,0,0
55,nXfFaSoQDQ,nXfFaSoQDQ : 2,2,2,2
56,fNvsIexdvZSgWA,fNvsIexdvZSgWA : 0,0,1,1
57,bbbbSR,bbbbSR : 0,0,0,0
58,zoAKuEervGcTw,zoAKuEervGcTw : 0,0,0,0
59,bbbbbFJbbbbbw,bbbbbFJbbbbbw : 1,1,1,1
60,KaxMM,KaxMM : 0,0,0,0
61,QiXoFQvLVCuwiaS,QiXoFQvLVCuwiaS : 1,1,1,1
62,GzjhfXo,GzjhfXo : 0,0,1,1
63,cccTDc,cccTDc : 0,0,0,0
64,cccQcVVccscc,cccQcVVccscc : 0,0,0,0
65,lxKmsA,lxKmsA : 0,0,0,0
66,mcqhcM,mcqhcM : 0,0,0,0
67,ObihWboeCeL,ObihWboeCeL : 0,0,0,0
68,NOvngWsW,NOvngWsW : 0,0,0,0
69,jDcc,jDcc : 0,0,0,0
70,nFXMagtqNnrW,nFXMagtqNnrW : 1,1,1,1
71,AsKXrB,AsKXrB : 0,0,0,0
72,eccLUcccc,eccLUcccc : 0,0,0,0
73,XepsCtdPd,XepsCtdPd : 0,0,0,0
74,EpUKrz,EpUKrz : 0,0,0,0
75,YwnPDw,YwnPDw : 0,0,0,0
76,yoXvClNsJSq,yoXvClNsJSq : 0,0,0,0
77,GrDZGUVG,GrDZGUVG : 0,0,0,0
78,BoZPQVawqUvk,BoZPQVawqUvk : 0,0,0,0
79,cccrcccdcccc,cccrcccdcccc : 0,0,0,0
80,vVSGgCjqXMziyW,vVSGgCjqXMziyW : 0,0,0,0
81,KNgasCyL,KNgasCyL : 0,0,0,0
82,eyxmhv,eyxmhv : 0,0,0,0
83,ccccgcccccOc,cccgcccccOc : 0,0,0,0
84,zEDAWEOEaR,zEDAWEOEaR : 0,0,0,0
85,czfccc,czfccc : 4,4,1,1
86,cccctcccZc,cccctcccZc : 0,0,0,0
87,WNrWJtwQgvP,WNrWJtwQgvP : 0,0,0,0
88,ccccccXccK,ccccccXccK : 0,0,0,0
89,XlvVWX,XlvVWX : 0,0,0,0
90,ibBepVXfLM,ibBepVXfLM : 1,1,1,1
91,PXDCGzYh,PXDCGzYh : 0,0,0,0
92,eCGivJBObS,eCGivJBObS : 0,0,0,0
93,ioFUDuSYpQNYU,ioFUDuSYpQNYU : 1,1,1,1
94,arCzc,arCzc : 0,0,0,0
95,tEjfwO,tEjfwO : 0,0,1,1
96,QHSrOQXHY,QHSrOQXHY : 0,0,0,0
97,Cdqdddmgdd,Cdqdddmgdd : 0,0,0,0
98,WmsLKQTDfURToK,WmsLKQTDfURToK : 1,1,1,1
99,dddqddMddddddd,dddqddMddddddd : 0,0,0,0
100,PpkBbASTcq,PpkBbASTcq : 0,0,0,0
101,CzPvxbo,CzPvxbo: 0,0,0,0
102,dodddLHdd,dodddLHdd : 0,0,0,0
103,UhroTJryT,UhroTJryT : 0,0,0,0
104,NDkrurgZNVbdoww,NDkrurgZNVbdoww : 0,0,0,0
105,lEjItTXUKfa,lEjItTXUKfa : 1,1,1,1
106,IwaxDVvUuS,IwaxDVvUuS : 0,0,0,0
107,MZxFXZVZXWPKF,MZxFXZVZXWPKF : 2,2,2,2
108,aYHgXJkEunLHyDT,aYHgXJkEunLHyDT : 0,0,0,0
109,urZqZQKRd,urZqZQKRd : 0,0,0,0
110,huhJQZ,huhJQZ : 0,0,0,0
111,UaFxzRJAUPqbsek,UaFxzRJAUPqbsek : 1,1,1,1
112,BZzNpJvc,BZzNpJvc : 0,0,0,0
113,sPacdwwyeYdPqV,sPacdwwyeYdPqV : 0,0,0,0
114,dSZddVdddddUdddd,dSZddVdddddUdddd : 0,0,0,0
115,muILOHGwNtQSog,muILOHGwNtQSog : 0,0,0,0
116,djdfddddRedd,djdfddddRedd : 1,1,1,1
