,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng : 0,0,1,1
1,WheEvvCJUOy,WheEvvCJUOy : 0,0,0,0
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 2,2,1,1
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 1,1,1,1
4,dMjmcRken,dMjmcRken : 0,0,1,1
5,nJmUdWVgWuER,nJmUdWVgWuER : 0,0,1,1
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 0,0,0,0
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,0,0
9,yTFacDAsinC,yTFacDAsinC : 1,1,1,1
10,UxspslKELdlqdP,UxspslKELdlqdP : 0,0,0,0
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 0,0,0,0
12,KGTbEcynixPW,KGTbEcynixPW : 0,0,1,1
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 0,0,0,0
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 0,0,0,0
15,wbnKjysoc,wbnKjysoc : 0,0,1,1
16,wdKSaippj,wdKSaippj : 0,0,0,0
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 0,0,0,0
18,axaaaaaayaaaaaVa,axaaaaaayaaaaaVa : 1,1,0,0
19,Icutt,Icutt : 1,1,0,0
20,OLDYKoP,OLDYKoP : 0,0,0,0
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 1,1,2,2
22,wKQprGeSbjuG,wKQprGeSbjuG : 0,0,0,0
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw : 0,0,0,0
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 2,2,1,1
27,QeseYmgaRgk,QeseYmgaRgk : 0,0,0,0
28,ftmhCcg,ftmhCcg : 0,0,0,0
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 1,1,1,1
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 1,1,0,0
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 2,2,1,1
34,rHPrsNCFh,rHPrsNCFh : 2,2,1,1
35,pFbbbb,pFbbbb : 0,0,0,0
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 0,0,0,0
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 1,1,1,1
39,qoyzwcNt,qoyzwcNt : 1,1,1,1
40,ngmwliDdsP,ngmwliDdsP : 0,0,1,1
41,bzybbbgbbbb,bzybbbgbbbb : 0,0,0,0
42,yyEORr,yyEORr : 0,0,0,0
43,iklqZ,iklqZ : 0,0,0,0
44,bbbbbbbbbcbQ,bbbbbbbbbcbQ : 0,0,0,0
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,0,0
46,bbbbbbbWhbUbb,bbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi : 0,0,0,0
48,aqTBUcBP,aqTBUcBP : 0,0,0,0
49,BBNtNEJeORj,BBNtNEJeORj : 3,3,2,2
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,bbbbbbbWdbbb : 0,0,0,0
52,SVEjp,SVEjp : 0,0,0,0
53,ElGklwTlwu,ElGklwTlwu : 0,0,0,0
54,stMsByx,stMsByx : 0,0,0,0
55,nXfFaSoQDQ,nXfFaSoQDQ : 1,1,1,1
56,fNvsIexdvZSgWA,fNvsIexdvZSgWA : 2,2,1,1
57,bbbbSR,bbbbSR : 0,0,0,0
58,zoAKuEervGcTw,zoAKuEervGcTw : 0,0,0,0
59,bbbbbFJbbbbbw,bbbbbFJbbbbbw : 0,0,0,0
60,KaxMM,KaxMM : 0,0,0,0
61,QiXoFQvLVCuwiaS,QiXoFQvLVCuwiaS : 0,0,0,0
62,GzjhfXo,GzjhfXo : 0,0,0,0
