,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger: 1,1,1,1
1,situation,situation : 0,0,0,0
2,send,send : 1,1,1,1
3,went,went : 0,0,0,0
4,century,century : 0,0,0,0
5,contain,contain : 1,1,0,0
6,abrogate,abrogate : 0,0,0,0
7,important,important : 1,1,0,0
8,old,old : 1,1,1,1
9,interrupts,interrupts : 1,1,0,0
10,describe,describe : 1,1,1,1
11,There,"There : 0
word : 1
is : 0",0,0,0
12,too,"too : 0
word : 1
format : 0",0,0,0
13,particular,particular : 1,1,0,0
14,Middle,Middle : 1,1,2,2
15,alterations,alterations : 1,1,0,0
16,observed,observed : 1,1,1,1
17,contains,"contains : 1
following : 0
format : 0
example : 0
input : 0
output : 0
should : 0
answer : 0
word : 1",1,0,0
18,Minicules,Minicules : 0,0,0,0
19,cultures,cultures : 0,0,0,0
20,have,have : 0,0,0,0
21,summons,summons : 0,0,0,0
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 0,0,0,0
25,recently-deceased,recently-deceased : 1,1,2,2
26,army,army : 0,0,0,0
27,poems,poems : 0,0,0,0
28,I,"I : 0
the : 0",0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 1,1,0,0
33,Monomyth,Monomyth: 0,0,0,0
34,peculiar,peculiar : 0,0,0,0
35,Elsewhere,Elsewhere : 0,0,0,0
36,stylized,stylized : 0,0,1,1
37,says,says : 0,0,0,0
38,talk,talk : 0,0,0,0
39,"""retainer""",retainer : 1,1,0,0
40,lack,lack : 0,0,0,0
41,script,script : 0,0,0,0
42,island,island : 0,0,1,1
43,K,K : 0,0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 1,1,1,1
48,resembles,resembles : 1,1,0,0
49,explained,explained : 1,1,1,1
50,coincides,coincides : 0,0,1,1
51,was,was : 0,0,0,0
52,date,date : 1,1,1,1
53,Polish,Polish: 0,0,0,0
54,Ghost,Ghost : 1,1,0,0
55,became,became : 0,0,0,0
56,these,these : 0,0,0,0
57,commencement,commencement : 0,0,0,0
58,Although,Although : 0,0,0,0
59,would,would : 0,0,1,1
60,They,"They : 0
the : 0
word : 0",0,0,0
