,all_data,gpt,counts,script,gpt_script
0,ErvhzjvPi,"ErvhzjvPi : 9; [E, r, v, h, z, j, v, P, i]",9,9,"Number of characters: 7
Letters in array: ['e', 'x', 'a', 'm', 'p', 'l', 'e']
"
1,CjPlJlnnGJX,"CjPlJlnnGJX : 11; [C, j, P, l, J, l, n, n, G, J, X]",11,11,"5
['h', 'e', 'l', 'l', 'o']
"
2,rReORf,"rReORf : 6; [r, R, e, O, R, f]",6,6,"6
['r', 'R', 'e', 'O', 'R', 'f']
"
3,SeQTEvPlTkGFzg,"SeQTEvPlTkGFzg : 15; [S, e, Q, T, E, v, P, l, T, k, G, F, z, g]",15,14,"14
['S', 'e', 'Q', 'T', 'E', 'v', 'P', 'l', 'T', 'k', 'G', 'F', 'z', 'g']
"
4,AgVJycTTMcw,"AgVJycTTMcw : 11; [A, g, V, J, y, c, T, T, M, c, w]",11,11,"11
['A', 'g', 'V', 'J', 'y', 'c', 'T', 'T', 'M', 'c', 'w']
"
5,aaQbVaa,"aaQbVaa : 7; [a, a, Q, b, V, a, a]",7,7,"7
['a', 'b', 'V', 'Q']
"
6,QFbFyPXmKE,"QFbFyPXmKE : 10; [Q, F, b, F, y, P, X, m, K, E]",10,10,"Number of characters: 34
Array of characters: ['s', 'u', 'p', 'e', 'r', 'c', 'a', 'l', 'i', 'f', 'r', 'a', 'g', 'i', 'l', 'i', 's', 't', 'i', 'c', 'e', 'x', 'p', 'i', 'a', 'l', 'i', 'd', 'o', 'c', 'i', 'o', 'u', 's']
"
7,aaaFaI,"aaaFaI : 6; [a, a, a, F, a, I]",6,6,"6
['a', 'a', 'a', 'F', 'a', 'I']
"
8,SqvTPu,"SqvTPu : 6; [S, q, v, T, P, u]",6,6,"Number of characters in the word: 6
Letters in an array: ['S', 'q', 'v', 'T', 'P', 'u']
"
9,cgfFnULSp,"cgfFnULSp : 10; [c, g, f, F, n, U, L, S, p]",10,9,"['c', 'g', 'f', 'F', 'n', 'U', 'L', 'S', 'p']
"
10,sBferL,"sBferL : 6; [s, B, f, e, r, L]",6,6,"Number of characters: 6
Characters in array: ['s', 'B', 'f', 'e', 'r', 'L']
"
11,aHuDHze,"aHuDHze : 7; [a, H, u, D, H, z, e]",7,7,"7
['a', 'H', 'u', 'D', 'H', 'z', 'e']
"
12,iuLYQnmuEOlLwrY,"iuLYQnmuEOlLwrY : 16; [i, u, L, Y, Q, n, m, u, E, O, l, L, w, r, Y]",16,15,"7
['e', 'x', 'a', 'm', 'p', 'l', 'e']
"
13,TeRSSSga,"TeRSSSga : 9; [T, e, R, S, S, S, g, a]",9,8,"8
['T', 'e', 'R', 'S', 'S', 'S', 'g', 'a']
"
14,fugEH,"fugEH : 5; [f, u, g, E, H]",5,5,"5
['f', 'u', 'g', 'E', 'H']
"
15,aIaaaaLcaaaaaaha,"aIaaaaLcaaaaaaha : 17; [a, I, a, a, a, a, L, c, a, a, a, a, a, a, h, a, h]",17,16,"['a', 'I', 'L', 'c', 'h']
"
