,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger : 2,2,0,0
1,situation,situation : 2,2,1,1
2,send,send : 1,1,1,1
3,went,went : 0,0,1,1
4,century,century : 1,1,1,1
5,contain,contain : 1,1,2,2
6,abrogate,abrogate : 0,0,0,0
7,important,important : 1,1,1,1
8,old,old : 0,0,0,0
9,interrupts,interrupts : 2,2,1,1
10,describe,describe : 1,1,0,0
11,There,There : 1,1,0,0
12,too,too : 1,1,0,0
13,particular,particular : 2,2,0,0
14,Middle,Middle : 1,1,0,0
15,alterations,alterations : 2,2,1,1
16,observed,observed : 1,1,0,0
17,contains,contains : 2,2,2,2
18,Minicules,Minicules : 1,1,1,1
19,cultures,cultures : 1,1,0,0
20,have,have : 0,0,0,0
21,summons,summons: 2,2,1,1
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,1,1
24,theme,theme : 0,0,0,0
25,recently-deceased,recently-deceased : 2,2,1,1
26,army,army : 0,0,0,0
27,poems,poems : 0,0,0,0
28,I,I : 0,0,0,0
29,sent,sent : 1,1,1,1
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 2,2,0,0
33,Monomyth,Monomyth : 2,2,1,1
34,peculiar,peculiar : 1,1,0,0
35,Elsewhere,Elsewhere : 1,1,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 0,0,0,0
38,talk,talk : 1,1,0,0
39,"""retainer""",retainer : 2,2,1,1
40,lack,lack : 1,1,0,0
41,script,script : 1,1,0,0
42,island,island : 1,1,1,1
43,K,K : 0,0,0,0
44,swimming,swimming : 1,1,1,1
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate: 1,1,0,0
48,resembles,resembles : 1,1,0,0
49,explained,explained : 1,1,1,1
50,coincides,coincides : 1,1,1,1
51,was,was : 0,0,0,0
52,date,date : 0,0,0,0
53,Polish,Polish : 1,1,0,0
54,Ghost,Ghost : 1,1,0,0
55,became,became : 1,1,0,0
56,these,these : 0,0,0,0
57,commencement,commencement : 2,2,2,2
58,Although,Although : 1,1,0,0
59,would,would : 1,1,0,0
60,They,They : 0,0,0,0
61,one,one : 0,0,1,1
62,while,while : 0,0,0,0
63,and,and : 0,0,1,1
64,When,When : 1,1,1,1
65,attack,attack : 1,1,0,0
66,be,be : 0,0,0,0
67,plot,plot : 0,0,0,0
68,friends,friends : 0,0,1,1
69,lights,lights : 0,0,0,0
70,present,"1. Necessary : 1
2. Elephant : 1
3. Entertainment : 2
4. November : 2
5. Nutrition : 2
6. Mountain : 1
7. Universe : 1
8. Ignition : 2
9. National : 2
10. Invitation : 2",1,1,1
71,adopted,adopted : 1,1,0,0
72,Benson,Benson : 1,1,2,2
73,married,married : 2,2,0,0
74,already,already : 1,1,0,0
75,before,before : 1,1,0,0
76,way,way : 0,0,0,0
77,mourn,mourn : 1,1,1,1
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,1,1
80,protect,protect : 1,1,0,0
81,night,night : 1,1,1,1
82,or,"word : 0
Ninja : 1
banana : 1
New York : 2
November : 2",0,0,0
83,poetry,poetry : 1,1,0,0
84,even,even : 0,0,1,1
85,along,along : 1,1,1,1
86,more,more : 0,0,0,0
87,reasons,reasons : 2,2,1,1
88,harp,harp : 0,0,0,0
89,argues,argues : 1,1,0,0
90,"cliffs""",cliffs : 0,0,0,0
