,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger: 1,1,2,2
1,situation,situation : 1,1,0,0
2,send,send : 1,1,1,1
3,went,went : 1,1,1,1
4,century,century : 1,1,1,1
5,contain,contain : 1,1,0,0
6,abrogate,abrogate : 1,1,1,1
7,important,important : 1,1,0,0
8,old,old : 1,1,0,0
9,interrupts,interrupts: 1,1,1,1
10,describe,describe : 1,1,2,2
11,There,There : 1,1,2,2
12,too,too : 1,1,0,0
13,particular,particular : 1,1,0,0
14,Middle,Middle : 1,1,1,1
15,alterations,alterations : 2,2,1,1
16,observed,observed : 2,2,2,2
17,contains,contains : 1,1,0,0
18,Minicules,Minicules : 0,0,1,1
19,cultures,cultures: 1,1,1,1
20,have,have : 1,1,1,1
21,summons,summons : 1,1,0,0
22,well,well : 1,1,1,1
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 2,2,2,2
25,recently-deceased,recently-deceased : 4,4,5,5
26,army,army : 0,0,0,0
27,poems,poems : 1,1,1,1
28,I,I : 0,0,0,0
29,sent,sent : 1,1,1,1
30,just,just : 0,0,0,0
31,brother,brother : 1,1,1,1
32,characteristics,characteristics : 1,1,1,1
33,Monomyth,Monomyth : 0,0,0,0
34,peculiar,peculiar : 1,1,1,1
35,Elsewhere,Elsewhere : 3,3,4,4
36,stylized,stylized : 1,1,1,1
37,says,says : 1,1,0,0
38,talk,talk : 0,0,0,0
39,"""retainer""",retainer : 2,2,2,2
40,lack,lack : 0,0,0,0
41,script,script : 0,0,0,0
42,island,island : 0,0,0,0
43,K,K : 0,0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 1,1,2,2
48,resembles,resembles : 2,2,3,3
49,explained,explained : 1,1,2,2
50,coincides,coincides : 2,2,1,1
51,was,was : 1,1,0,0
52,date,date : 1,1,1,1
53,Polish,Polish: 0,0,0,0
54,Ghost,Ghost : 1,1,0,0
55,became,became : 2,2,2,2
56,these,these : 2,2,2,2
57,commencement,commencement : 2,2,3,3
58,Although,Although : 1,1,0,0
59,would,would : 1,1,0,0
60,They,They : 1,1,1,1
61,one,"one : 1
word : 1
is : 0",1,1,1
62,while,while : 1,1,1,1
63,and,and : 0,0,0,0
64,When,When : 1,1,1,1
65,attack,attack : 0,0,0,0
66,be,be : 1,1,1,1
67,plot,plot : 0,0,0,0
68,friends,friends : 1,1,1,1
69,lights,lights : 1,1,0,0
70,present,present : 2,2,2,2
71,adopted,adopted : 1,1,1,1
72,Benson,Benson : 1,1,1,1
73,married,married : 1,1,1,1
74,already,already : 1,1,1,1
75,before,before : 2,2,2,2
76,way,way : 0,0,0,0
77,mourn,mourn : 1,1,0,0
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,1,1
80,protect,protect : 1,1,1,1
81,night,night : 0,0,0,0
82,or,or : 1,1,0,0
83,poetry,poetry: 1,1,1,1
84,even,even : 2,2,2,2
85,along,along : 1,1,0,0
86,more,more : 1,1,1,1
87,reasons,reasons : 2,2,1,1
88,harp,harp : 0,0,0,0
89,argues,argues : 1,1,1,1
90,"cliffs""",cliffs : 0,0,0,0
91,abnegation,abnegation : 1,1,1,1
92,their,their : 1,1,1,1
93,royal,royal : 1,1,0,0
94,rather,rather : 1,1,1,1
95,themes,themes : 2,2,2,2
96,found,found : 1,1,0,0
97,literary,literary : 1,1,1,1
98,lines,lines : 1,1,1,1
99,A,"A : 0
the : 1
word : 0",0,0,0
100,calling,calling : 1,1,0,0
101,Most,Most : 0,0,0,0
102,were,were : 2,2,2,2
103,prosody,prosody : 1,1,0,0
104,He,"He : 1
the : 1
word : 1",1,1,1
105,reacts,reacts : 1,1,1,1
106,wily,wily : 0,0,0,0
107,"rigor""",rigor : 0,0,0,0
108,known,known : 1,1,0,0
109,arguing,arguing : 1,1,0,0
110,fearing,fearing : 1,1,1,1
111,been,been : 2,2,2,2
112,article,article : 1,1,1,1
113,strangely,strangely : 1,1,1,1
114,text,text : 1,1,1,1
115,One,"One : 1
word : 1",1,1,1
116,margins,margins : 1,1,0,0
117,new,new : 1,1,1,1
118,meets,meets : 2,2,2,2
119,winsome,winsome : 1,1,1,1
120,any,"the : 1
word : 1",1,0,0
121,pray,pray : 1,1,0,0
122,castle,castle : 1,1,1,1
123,graveyard,graveyard : 1,1,1,1
124,appearance,appearance : 2,2,2,2
125,but,but : 0,0,0,0
126,mother,mother : 1,1,1,1
127,used,used : 1,1,1,1
128,Germanic,Germanic : 1,1,1,1
129,point,point : 1,1,0,0
130,wants,wants : 1,1,0,0
131,monster,monster : 1,1,1,1
132,stock,stock : 0,0,0,0
133,thought,thought : 1,1,0,0
134,influenced,influenced : 2,2,2,2
135,may,may : 0,0,0,0
136,subject,subject : 0,0,1,1
137,arranged,arranged : 2,2,1,1
138,Lord's,Lord's : 0,0,0,0
139,heavy,heavy : 1,1,1,1
140,D,"the : 1
word : 1
is : 0",1,0,0
141,killed,killed : 1,1,1,1
142,Foley's,Foley's: 1,1,1,1
143,traditional,traditional : 1,1,0,0
144,Insular,Insular : 1,1,0,0
145,why,why : 0,0,0,0
146,human,human : 0,0,0,0
147,unusual,unusual : 1,1,0,0
148,contemporary,contemporary : 1,1,1,1
149,awry,awry : 0,0,0,0
