,all_data,gpt,counts,script,gpt_script
0,"['ErvhzjvPi', 'CjPlJlnnGJX']","Input: 
['CrvhzjvPi', 'EjPlJlnnGJX']
The words are: ['ErvhzjvPi', 'CjPlJlnnGJX']",nothing,"['CrvhzjvPi', 'EjPlJlnnGJX']","CrvhzjvPi EjPlJlnnGJX
"
1,"['CjPlJlnnGJX', 'rReORf']","Input: 
['rJPlJlnnGJX', 'CReORf']
the word is: ['CjPlJlnnGJX', 'rReORf']",nothing,"['rjPlJlnnGJX', 'CReORf']","['rjPlJlnnGJX', 'CReORf']
"
2,"['rReORf', 'SeQTEvPlTkGFzg']","Input: 'PeQTEvPlTkGFzg', 'rReORf'.
The words are: ['rReORf', 'SeQTEvPlTkGFzg']",nothing,"['SReORf', 'reQTEvPlTkGFzg']","['SReORf', 'reQTEvPlTkGFzg']
"
3,"['SeQTEvPlTkGFzg', 'AgVJycTTMcw']","Input: fzQTEvPlTkGSeg, TgVJycTTMcwA
the word is: ['SeQTEvPlTkGFzg', 'AgVJycTTMcw']",nothing,"['AeQTEvPlTkGFzg', 'SgVJycTTMcw']","['AeQTEvPlTkGFzg', 'SgVJycTTMcw']
"
4,"['AgVJycTTMcw', 'aaQbVaa']","Input: faQbVaa
the word is: ['AgVJycTTMcw', 'aaQbVaa']",nothing,"['agVJycTTMcw', 'AaQbVaa']","The new words are: ['agVJycTTMcw', 'AaQbVaa']
"
5,"['aaQbVaa', 'QFbFyPXmKE']","Input: aQbVaa, FybFyPXmKE
The word is: ['aaQbVaa', 'QFbFyPXmKE']",nothing,"['QaQbVaa', 'aFbFyPXmKE']","QaQbVaa aFbFyPXmKE
"
6,"['QFbFyPXmKE', 'aaaFaI']","Input: fQbFyPXmKE, AaaFaI
the word is: ['QFbFyPXmKE', 'aaaFaI']",nothing,"['aFbFyPXmKE', 'QaaFaI']","['aFbFyPXmKE', 'QaaFaI']
"
7,"['aaaFaI', 'SqvTPu']","Input: SaqaPu, TvvFaI.
The words are: ['aaaFaI', 'SqvTPu']",nothing,"['SaaFaI', 'aqvTPu']","['SaaFaI', 'aqvTPu']
"
8,"['SqvTPu', 'cgfFnULSp']","Input: ['cqvTPu', 'sgfFnULSp']
The word is: ['SqvTPu', 'cgfFnULSp']",nothing,"['cqvTPu', 'SgfFnULSp']","['cqvTPu', 'SgfFnULSp']
"
9,"['cgfFnULSp', 'sBferL']","Input: fsfFnULcp, CbgerL
the word is: ['cgfFnULSp', 'sBferL']",nothing,"['sgfFnULSp', 'cBferL']","['sgfFnULSp', 'cBferL']
"
