,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger : 0,0,0,0
1,situation,situation : 0,0,0,0
2,send,send: 0,0,0,0
3,went,went: 0,0,0,0
4,century,century : 0,0,0,0
5,contain,contain: 1,1,0,0
6,abrogate,abrogate : 0,0,0,0
7,important,important : 1,1,1,1
8,old,old : 0,0,0,0
9,interrupts,interrupts : 2,2,1,1
10,describe,describe : 0,0,0,0
11,There,There : 0,0,0,0
12,too,too : 1,1,0,0
13,particular,particular : 2,2,1,1
14,Middle,Middle : 0,0,0,0
15,alterations,alterations : 1,1,0,0
16,observed,observed : 1,1,0,0
17,contains,contains : 2,2,0,0
18,Minicules,Minicules: 0,0,0,0
19,cultures,cultures: 1,1,0,0
20,have,have : 0,0,0,0
21,summons,summons: 2,2,0,0
22,well,well : 0,0,0,0
23,"""fighting",fighting : 1,1,0,0
24,theme,theme : 0,0,0,0
25,recently-deceased,recently-deceased : 0,0,0,0
26,army,army : 0,0,0,0
27,poems,poems: 1,1,1,1
28,I,I : 0,0,0,0
29,sent,sent: 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 2,2,0,0
33,Monomyth,Monomyth : 0,0,0,0
34,peculiar,peculiar : 1,1,1,1
35,Elsewhere,Elsewhere : 1,1,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 0,0,0,0
38,talk,talk : 1,1,0,0
39,"""retainer""",retainer: 1,1,0,0
40,lack,lack : 0,0,0,0
41,script,script : 1,1,1,1
42,island,island : 0,0,0,0
43,K,K : 0,0,0,0
44,swimming,swimming : 0,0,0,0
45,act,act : 0,0,0,0
46,spy,spy : 0,0,1,1
47,desolate,desolate: 0,0,0,0
48,resembles,resembles : 2,2,0,0
49,explained,explained : 0,0,1,1
50,coincides,coincides : 1,1,0,0
51,was,was : 0,0,0,0
52,date,date : 0,0,0,0
53,Polish,Polish : 1,1,1,1
54,Ghost,Ghost : 1,1,0,0
55,became,became: 0,0,0,0
56,these,these : 0,0,0,0
57,commencement,commencement : 2,2,0,0
58,Although,Although : 0,0,0,0
59,would,would : 0,0,0,0
60,They,They : 0,0,0,0
61,one,one : 0,0,0,0
62,while,while : 0,0,0,0
63,and,and : 0,0,0,0
64,When,When : 0,0,0,0
65,attack,attack : 0,0,0,0
