,all_data,gpt,counts,script,gpt_script
0,"['ErvhzjvPi', 'CjPlJlnnGJX', 'rReORf']",rReORf,nothing,"['ErvhzjvPi', 'CjPlJlnnGJX', 'rReORf']","ErvhzjvPi
"
1,"['SeQTEvPlTkGFzg', 'AgVJycTTMcw', 'aaQbVaa']",AgVJycTTMcw,nothing,"['SeQTEvPlTkGFzg', 'AgVJycTTMcw']","SeQTEvPlTkGFzg
"
2,"['QFbFyPXmKE', 'aaaFaI', 'SqvTPu']","QFbFyPXmKE, SqvTPu",nothing,"['QFbFyPXmKE', 'aaaFaI', 'SqvTPu']","QFbFyPXmKE
aaaFaI
SqvTPu
"
3,"['cgfFnULSp', 'sBferL', 'aHuDHze']",sBferL,nothing,"['cgfFnULSp', 'sBferL', 'aHuDHze']","cgfFnULSp
sBferL
aHuDHze
"
4,"['iuLYQnmuEOlLwrY', 'TeRSSSga', 'fugEH']",iuLYQnmuEOlLwrY,nothing,"['iuLYQnmuEOlLwrY', 'fugEH']","iuLYQnmuEOlLwrY
fugEH
"
5,"['aIaaaaLcaaaaaaha', 'usJTsg', 'tqWFRuyAFNXoQj']",usJTsg,nothing,"['usJTsg', 'tqWFRuyAFNXoQj']","usJTsg
tqWFRuyAFNXoQj
"
6,"['bZZzPWcgCxr', 'tyRUt', 'HlQbEUw']",tyRUt,nothing,"['bZZzPWcgCxr', 'tyRUt', 'HlQbEUw']","bZZzPWcgCxr
tyRUt
HlQbEUw
"
7,"['kXRFxBSR', 'axSytSL', 'CqcPRTAePZ']",kXRFxBSR,nothing,"['kXRFxBSR', 'axSytSL', 'CqcPRTAePZ']","kXRFxBSR
axSytSL
CqcPRTAePZ
"
8,"['sppydLPMTXCoLNC', 'AFPIAEx', 'hnQlxldeHrYFOp']",sppydLPMTXCoLNC,nothing,"['sppydLPMTXCoLNC', 'AFPIAEx', 'hnQlxldeHrYFOp']","sppydLPMTXCoLNC
AFPIAEx
hnQlxldeHrYFOp
"
9,"['MQXGvKFOxZQS', 'tUlBdKjqD', 'HySgRmqjpP']","The word not finished with ""a"" or ""A"" is: MQXGvKFOxZQS",nothing,"['MQXGvKFOxZQS', 'tUlBdKjqD', 'HySgRmqjpP']","MQXGvKFOxZQS
"
10,"['cPlcrxaMisF', 'IwSZexYJ', 'bxdumvd']",bxdumvd,nothing,"['cPlcrxaMisF', 'IwSZexYJ', 'bxdumvd']","cPlcrxaMisF
"
11,"['WjJOHULtAHAdUz', 'LciAdsrxKbejy', 'zQojCvJrLf']",LciAdsrxKbejy,nothing,"['WjJOHULtAHAdUz', 'LciAdsrxKbejy', 'zQojCvJrLf']","WjJOHULtAHAdUz
"
12,"['zrZTJPEEhFy', 'vsBKViCyqSOHI', 'jWruBseYHdiztk']","zrZTJPEEhFy, vsBKViCyqSOHI, jWruBseYHdiztk",nothing,"['zrZTJPEEhFy', 'vsBKViCyqSOHI', 'jWruBseYHdiztk']","['zrZTJPEEhFy', 'vsBKViCyqSOHI', 'jWruBseYHdiztk']
"
13,"['aaaaaaamaaPaJk', 'PPlTYBqQD', 'xkHqOTUkAGOtPfk']",PPlTYBqQD,nothing,"['aaaaaaamaaPaJk', 'PPlTYBqQD', 'xkHqOTUkAGOtPfk']","aaaaaaamaaPaJk
PPlTYBqQD
xkHqOTUkAGOtPfk
"
14,"['FAvlIpLBP', 'HcfIao', 'lmyWlf']","FAvlIpLBP, HcfIao",nothing,"['FAvlIpLBP', 'HcfIao', 'lmyWlf']","FAvlIpLBP
HcfIao
lmyWlf
"
15,"['xkSwLvqhii', 'DIDEcb', 'SnzCoxYCTpiMsaw']",DIDEcb,nothing,"['xkSwLvqhii', 'DIDEcb', 'SnzCoxYCTpiMsaw']","xkSwLvqhii
"
16,"['fEnebWe', 'dNApLsNGWruM', 'HXkZKCHQZv']",HXkZKCHQZv,nothing,"['fEnebWe', 'dNApLsNGWruM', 'HXkZKCHQZv']","fEnebWe
"
17,"['horKOaKHYZpgb', 'FCCQi', 'BgJKmczZiNiT']",FCCQi,nothing,"['horKOaKHYZpgb', 'FCCQi', 'BgJKmczZiNiT']","horKOaKHYZpgb
"
18,"['ABlRcsIVq', 'VIgDiMAByqnI', 'bqbbbbbbyb']",ABlRcsIVq and VIgDiMAByqnI,nothing,"['ABlRcsIVq', 'VIgDiMAByqnI', 'bqbbbbbbyb']","ABlRcsIVq
VIgDiMAByqnI
bqbbbbbbyb
"
19,"['wGsrKvAc', 'jfAeUVyBAElhh', 'yhKjZGF']",yhKjZGF,nothing,"['wGsrKvAc', 'jfAeUVyBAElhh', 'yhKjZGF']","wGsrKvAc
"
20,"['bGXPUXmVSv', 'bcInKb', 'mbbbrbbbbbbb']",bGXPUXmVSv,nothing,"['bGXPUXmVSv', 'bcInKb', 'mbbbrbbbbbbb']","bGXPUXmVSv
"
21,"['QvqmyRCqooojXjE', 'XyZLMNReNBc', 'DxRbITcun']",DxRbITcun,nothing,"['QvqmyRCqooojXjE', 'XyZLMNReNBc', 'DxRbITcun']","QvqmyRCqooojXjE
"
22,"['bbbbbbbbmbBbb', 'HRBdIbG', 'hGPCbFgLeMyPl']",HRBdIbG,nothing,"['bbbbbbbbmbBbb', 'HRBdIbG', 'hGPCbFgLeMyPl']","bbbbbbbbmbBbb
HRBdIbG
hGPCbFgLeMyPl
"
23,"['krXPjBUNzOzhIH', 'nFBALdcBF', 'aPnycHoFeAQ']",krXPjBUNzOzhIH,nothing,"['krXPjBUNzOzhIH', 'nFBALdcBF', 'aPnycHoFeAQ']","krXPjBUNzOzhIH
"
24,"['tkcNTmEnQ', 'hlnDSyCXsPDaxdv', 'ZtqAgYH']",tkcNTmEnQ,nothing,"['tkcNTmEnQ', 'hlnDSyCXsPDaxdv', 'ZtqAgYH']","tkcNTmEnQ
"
25,"['DmsRYVKaPj', 'VAlURUez', 'tQcuLOcV']","DmsRYVKaPj, VAlURUez, tQcuLOcV",nothing,"['DmsRYVKaPj', 'VAlURUez', 'tQcuLOcV']","DmsRYVKaPj
VAlURUez
tQcuLOcV
"
26,"['oUXomfzwA', 'TyAcuEZcHcZ', 'VDTCxWNTJyM']",VDTCxWNTJyM,nothing,"['TyAcuEZcHcZ', 'VDTCxWNTJyM']","TyAcuEZcHcZ
"
27,"['jpkLkLfBLzPLb', 'bbbqFbtR', 'RJIDhM']",bbbqFbtR,nothing,"['jpkLkLfBLzPLb', 'bbbqFbtR', 'RJIDhM']","jpkLkLfBLzPLb
"
28,"['prcHlVY', 'OyWYfThopwZJk', 'hSCtCzQSNnuuvju']",OyWYfThopwZJk,nothing,"['prcHlVY', 'OyWYfThopwZJk', 'hSCtCzQSNnuuvju']","prcHlVY
OyWYfThopwZJk
hSCtCzQSNnuuvju
"
29,"['bbbbbbywbbbBb', 'GPruBCESFVEx', 'KbbbbbUb']",GPruBCESFVEx,nothing,"['bbbbbbywbbbBb', 'GPruBCESFVEx', 'KbbbbbUb']","The word that is not finished with 'a' or 'A' is: bbbbbbywbbbBb
"
30,"['bbUbbbbbbibb', 'GWeqMsfzheypKMy', 'fnbbbZZbbb']","The word not finished with ""a"" or ""A"" is 'bbUbbbbbbibb'.",nothing,"['bbUbbbbbbibb', 'GWeqMsfzheypKMy', 'fnbbbZZbbb']","bbUbbbbbbibb
"
