,all_data,gpt,counts,script,gpt_script
0,Xhxzttng,Xhxzttng: 0,0,0,0
1,WheEvvCJUOy,WheEvvCJUOy : 0,0,0,0
2,MxgWkNpVdJOVq,MxgWkNpVdJOVq : 1,1,1,1
3,PWyIJlNiWZAh,PWyIJlNiWZAh : 0,0,0,0
4,dMjmcRken,dMjmcRken : 0,0,1,1
5,nJmUdWVgWuER,nJmUdWVgWuER : 0,0,0,0
6,oHOsL,oHOsL : 0,0,0,0
7,uZEBlQuugVC,uZEBlQuugVC : 0,0,0,0
8,qMIvjvoZmOkt,qMIvjvoZmOkt : 0,0,1,1
9,yTFacDAsinC,yTFacDAsinC : 0,0,0,0
10,UxspslKELdlqdP,UxspslKELdlqdP : 2,2,1,1
11,atrHiOEkdpcIkVs,atrHiOEkdpcIkVs : 3,3,2,2
12,KGTbEcynixPW,KGTbEcynixPW : 1,1,1,1
13,aXkpFURdwsUpS,aXkpFURdwsUpS : 2,2,1,1
14,ttJhYGJyrIcx,ttJhYGJyrIcx : 0,0,0,0
15,wbnKjysoc,wbnKjysoc : 1,1,1,1
16,wdKSaippj,wdKSaippj : 0,0,1,1
17,flHWPBbKGrDHsx,flHWPBbKGrDHsx : 2,2,1,1
18,axaaaaaayaaaaaVa,axaaaaaayaaaaaVa : 0,0,0,0
19,Icutt,Icutt : 0,0,0,0
20,OLDYKoP,OLDYKoP : 2,2,1,1
21,CASNxPmgDVxHN,CASNxPmgDVxHN : 0,0,0,0
22,wKQprGeSbjuG,wKQprGeSbjuG : 1,1,1,1
23,yLUtytLJTulb,yLUtytLJTulb : 0,0,0,0
24,PiZvtAYL,PiZvtAYL : 0,0,0,0
25,CiAqWkWvmw,CiAqWkWvmw : 2,2,1,1
26,WMOHcFnaFwMb,WMOHcFnaFwMb : 0,0,0,0
27,QeseYmgaRgk,QeseYmgaRgk : 2,2,1,1
28,ftmhCcg,ftmhCcg : 0,0,0,0
29,QPRyYa,QPRyYa : 0,0,0,0
30,zYUHieyqXKpcN,zYUHieyqXKpcN : 1,1,1,1
31,GEyiWrGEgdCo,GEyiWrGEgdCo : 0,0,0,0
32,llEXQXAAhTOehax,llEXQXAAhTOehax : 0,0,0,0
33,MCXktmNK,MCXktmNK : 3,3,2,2
34,rHPrsNCFh,rHPrsNCFh : 0,0,0,0
35,pFbbbb,pFbbbb : 0,0,0,0
36,wQTuXAIxbJSlG,wQTuXAIxbJSlG : 0,0,0,0
37,bbWWbbjZ,bbWWbbjZ : 0,0,0,0
38,eDeoalNVM,eDeoalNVM : 0,0,0,0
39,qoyzwcNt,qoyzwcNt : 0,0,0,0
40,ngmwliDdsP,ngmwliDdsP : 0,0,0,0
41,bzybbbgbbbb,bzybbbgbbbb : 0,0,0,0
42,yyEORr,yyEORr : 0,0,0,0
43,iklqZ,iklqZ : 0,0,1,1
44,bbbbbbbbbcbQ,bbbbbbbbbcbQ : 0,0,0,0
45,tjkbQQBZqZabzPj,tjkbQQBZqZabzPj : 0,0,1,1
46,bbbbbbbWhbUbb,bbbbbbbWhbUbb : 0,0,0,0
47,XSifweSi,XSifweSi: 0,0,0,0
48,aqTBUcBP,aqTBUcBP : 0,0,0,0
49,BBNtNEJeORj,BBNtNEJeORj : 0,0,0,0
50,QXZAobovXhOV,QXZAobovXhOV : 0,0,0,0
51,bbbbbbbWdbbb,bbbbbbbWdbbb : 0,0,0,0
52,SVEjp,SVEjp: 0,0,0,0
53,ElGklwTlwu,ElGklwTlwu : 2,2,1,1
54,stMsByx,stMsByx : 0,0,0,0
55,nXfFaSoQDQ,nXfFaSoQDQ : 0,0,0,0
56,fNvsIexdvZSgWA,fNvsIexdvZSgWA : 0,0,0,0
57,bbbbSR,bbbbSR : 0,0,0,0
58,zoAKuEervGcTw,zoAKuEervGcTw : 1,1,1,1
59,bbbbbFJbbbbbw,bbbbbFJbbbbbw : 0,0,0,0
60,KaxMM,KaxMM : 1,1,1,1
61,QiXoFQvLVCuwiaS,QiXoFQvLVCuwiaS : 0,0,0,0
62,GzjhfXo,GzjhfXo : 0,0,0,0
63,cccTDc,cccTDc : 0,0,0,0
64,cccQcVVccscc,cccQcVVccscc : 0,0,0,0
65,lxKmsA,lxKmsA : 1,1,1,1
66,mcqhcM,mcqhcM : 0,0,0,0
67,ObihWboeCeL,ObihWboeCeL : 0,0,0,0
68,NOvngWsW,NOvngWsW : 0,0,0,0
69,jDcc,jDcc : 0,0,0,0
70,nFXMagtqNnrW,nFXMagtqNnrW : 0,0,0,0
71,AsKXrB,AsKXrB : 1,1,1,1
72,eccLUcccc,eccLUcccc : 4,4,0,0
73,XepsCtdPd,XepsCtdPd : 0,0,0,0
74,EpUKrz,EpUKrz : 1,1,1,1
75,YwnPDw,YwnPDw : 0,0,0,0
76,yoXvClNsJSq,yoXvClNsJSq : 0,0,0,0
77,GrDZGUVG,GrDZGUVG : 0,0,0,0
78,BoZPQVawqUvk,BoZPQVawqUvk : 1,1,1,1
79,cccrcccdcccc,cccrcccdcccc : 0,0,0,0
80,vVSGgCjqXMziyW,vVSGgCjqXMziyW : 0,0,0,0
81,KNgasCyL,KNgasCyL : 1,1,1,1
82,eyxmhv,eyxmhv: 0,0,0,0
83,ccccgcccccOc,ccccgcccccOc : 0,0,0,0
84,zEDAWEOEaR,zEDAWEOEaR : 0,0,0,0
85,czfccc,czfccc: 0,0,0,0
86,cccctcccZc,cccctcccZc : 0,0,0,0
87,WNrWJtwQgvP,WNrWJtwQgvP : 0,0,0,0
88,ccccccXccK,ccccccXccK : 1,1,1,1
89,XlvVWX,XlvVWX : 0,0,0,0
90,ibBepVXfLM,ibBepVXfLM : 0,0,0,0
91,PXDCGzYh,PXDCGzYh : 0,0,0,0
92,eCGivJBObS,eCGivJBObS : 0,0,0,0
93,ioFUDuSYpQNYU,ioFUDuSYpQNYU : 0,0,0,0
94,arCzc,arCzc : 0,0,0,0
95,tEjfwO,tEjfwO : 0,0,0,0
96,QHSrOQXHY,QHSrOQXHY : 0,0,0,0
97,Cdqdddmgdd,Cdqdddmgdd : 0,0,0,0
98,WmsLKQTDfURToK,WmsLKQTDfURToK : 2,2,2,2
99,dddqddMddddddd,dddqddMddddddd : 0,0,0,0
100,PpkBbASTcq,PpkBbASTcq : 2,2,1,1
101,CzPvxbo,CzPvxbo : 0,0,0,0
102,dodddLHdd,dodddLHdd : 0,0,0,0
103,UhroTJryT,UhroTJryT : 0,0,0,0
104,NDkrurgZNVbdoww,NDkrurgZNVbdoww : 0,0,1,1
105,lEjItTXUKfa,lEjItTXUKfa : 1,1,1,1
106,IwaxDVvUuS,IwaxDVvUuS : 0,0,0,0
107,MZxFXZVZXWPKF,MZxFXZVZXWPKF : 1,1,1,1
108,aYHgXJkEunLHyDT,aYHgXJkEunLHyDT : 1,1,1,1
109,urZqZQKRd,urZqZQKRd : 2,2,1,1
110,huhJQZ,huhJQZ: 0,0,0,0
111,UaFxzRJAUPqbsek,UaFxzRJAUPqbsek : 0,0,1,1
112,BZzNpJvc,BZzNpJvc : 0,0,0,0
113,sPacdwwyeYdPqV,sPacdwwyeYdPqV : 0,0,0,0
114,dSZddVdddddUdddd,dSZddVdddddUdddd : 0,0,0,0
115,muILOHGwNtQSog,muILOHGwNtQSog : 0,0,0,0
116,djdfddddRedd,djdfddddRedd : 0,0,0,0
117,KodQzFLVfs,KodQzFLVfs : 1,1,1,1
118,dAdddCR,dAdddCR : 0,0,0,0
