,all_data,gpt,counts,script,gpt_script
0,gravedigger,gravedigger : 2,2,3,3
1,situation,situation : 1,1,0,0
2,send,send : 0,0,0,0
3,went,went : 0,0,0,0
4,century,century : 0,0,0,0
5,contain,contain : 1,1,0,0
6,abrogate,abrogate : 1,1,1,1
7,important,important : 1,1,0,0
8,old,old : 1,1,0,0
9,interrupts,interrupts : 1,1,0,0
10,describe,describe : 1,1,0,0
11,There,There : 1,1,0,0
12,too,"too : 1
word : 1
following : 1
example : 1
format : 1",1,0,0
13,particular,particular : 1,1,0,0
14,Middle,Middle : 1,1,0,0
15,alterations,alterations : 2,2,0,0
16,observed,observed : 1,1,0,0
17,contains,"contains : 1
following : 1
example : 0
format : 0",1,0,0
18,Minicules,Minicules: 0,0,0,0
19,cultures,cultures : 1,1,0,0
20,have,have : 0,0,0,0
21,summons,summons : 0,0,0,0
22,well,well : 1,1,0,0
23,"""fighting",fighting : 1,1,2,2
24,theme,theme : 1,1,0,0
25,recently-deceased,recently-deceased : 1,1,0,0
26,army,army: 0,0,0,0
27,poems,poems: 0,0,0,0
28,I,"I : 0
the : 0",0,0,0
29,sent,sent : 0,0,0,0
30,just,just : 0,0,0,0
31,brother,brother : 1,1,0,0
32,characteristics,characteristics : 1,1,0,0
33,Monomyth,Monomyth : 0,0,0,0
34,peculiar,peculiar : 0,0,0,0
35,Elsewhere,Elsewhere : 1,1,0,0
36,stylized,stylized : 0,0,0,0
37,says,says : 0,0,0,0
38,talk,talk : 1,1,0,0
39,"""retainer""",retainer: 1,1,0,0
40,lack,lack : 0,0,0,0
41,script,script : 1,1,0,0
42,island,island : 0,0,0,0
43,K,K : 0,0,0,0
44,swimming,swimming: 1,1,1,1
45,act,act : 0,0,0,0
46,spy,spy : 0,0,0,0
47,desolate,desolate : 1,1,0,0
48,resembles,resembles : 1,1,0,0
49,explained,explained : 1,1,0,0
50,coincides,coincides : 0,0,0,0
51,was,was : 1,1,0,0
52,date,date : 0,0,0,0
53,Polish,Polish: 0,0,0,0
54,Ghost,Ghost : 1,1,1,1
55,became,became : 1,1,0,0
56,these,these : 0,0,0,0
57,commencement,commencement : 1,1,0,0
58,Although,Although : 1,1,1,1
59,would,would : 1,1,0,0
60,They,They : 0,0,0,0
61,one,"girl : 1
good : 1
great : 1
guitar : 1
globe : 1
game : 1
garden : 1
goat : 1
gift : 1
glass : 1",1,0,0
62,while,while : 1,1,0,0
63,and,and : 0,0,0,0
64,When,When : 0,0,0,0
65,attack,attack : 1,1,0,0
66,be,be : 0,0,0,0
67,plot,plot: 1,1,0,0
68,friends,friends : 1,1,0,0
69,lights,lights : 1,1,1,1
70,present,"present : 1
following : 1
example : 1
format : 1",1,0,0
71,adopted,adopted : 1,1,0,0
72,Benson,Benson: 1,1,0,0
73,married,married : 1,1,0,0
74,already,already : 1,1,0,0
75,before,before : 1,1,0,0
76,way,"way : 0
word : 1
following : 1
example : 0
answer : 0
format : 1
input : 0",0,0,0
77,mourn,mourn : 0,0,0,0
78,cup,cup : 0,0,0,0
79,begins,begins : 1,1,1,1
80,protect,protect : 1,1,0,0
81,night,night : 1,1,1,1
82,or,or : 0,0,0,0
83,poetry,poetry : 1,1,0,0
84,even,even : 0,0,0,0
85,along,along : 1,1,1,1
86,more,more : 1,1,0,0
87,reasons,reasons : 1,1,0,0
88,harp,"harp : 1
the word is : guitar",1,0,0
89,argues,argues : 1,1,1,1
90,"cliffs""",cliffs : 1,1,0,0
91,abnegation,abnegation : 1,1,1,1
92,their,their : 0,0,0,0
93,royal,royal : 1,1,0,0
94,rather,rather: 1,1,0,0
95,themes,themes: 1,1,0,0
96,found,"found : 1
word : 1
example : 0
format : 1",1,0,0
97,literary,literary : 1,1,0,0
98,lines,lines : 1,1,0,0
99,A,"A : 0
the word is : B
B : 0
the word is : C
C : 0
the word is : D
D : 0
the word is : E
E : 0
the word is : F
F : 0
the word is : G
G : 1
the word is : H
H : 0
the word is : I
I : 0
the word is : J
J : 0
the word is : K
K : 0
the word is : L
L : 0
the word is : M
M : 0
the word is : N
N : 0
the word is : O
O : 0
the word is : P
P : 0
the word is : Q
Q : 0
the word is : R
R : 0
the word is : S
S : 0
the word is : T
T : 0
the word is : U
U : 0
the word is : V
V : 0
the word is : W
W : 0
the word is : X
X : 0
the word is : Y
Y : 0
the word is : Z
Z : 0",0,0,0
100,calling,calling : 1,1,1,1
101,Most,Most : 0,0,0,0
102,were,were : 0,0,0,0
103,prosody,prosody: 0,0,0,0
104,He,He : 0,0,0,0
105,reacts,reacts : 1,1,0,0
106,wily,wily : 0,0,0,0
107,"rigor""",rigor: 1,1,1,1
108,known,known : 1,1,0,0
109,arguing,arguing: 2,2,2,2
110,fearing,fearing : 1,1,1,1
111,been,been : 0,0,0,0
112,article,article : 0,0,0,0
113,strangely,strangely: 1,1,1,1
114,text,text : 0,0,0,0
115,One,"One : 0
Two : 0
Three : 0
Four : 0
Five : 0
Six : 0
Seven : 0
Eight : 0
Nine : 0
Ten : 0
Eleven : 0
Twelve : 0
Thirteen : 0
Fourteen : 0
Fifteen : 0
Sixteen : 0
Seventeen : 0
Eighteen : 0
Nineteen : 0
Twenty : 0",0,0,0
116,margins,margins: 1,1,1,1
117,new,new : 0,0,0,0
118,meets,meets : 0,0,0,0
119,winsome,winsome : 0,0,0,0
120,any,"the : 0
word : 1
is : 0
any : 0",0,0,0
121,pray,pray : 0,0,0,0
122,castle,castle : 1,1,0,0
123,graveyard,graveyard : 1,1,1,1
124,appearance,appearance : 1,1,0,0
125,but,but : 0,0,0,0
126,mother,mother : 1,1,0,0
127,used,used : 1,1,0,0
128,Germanic,Germanic : 1,1,1,1
129,point,point : 1,1,0,0
130,wants,wants : 1,1,0,0
131,monster,monster : 1,1,0,0
132,stock,stock : 1,1,0,0
133,thought,thought : 1,1,1,1
134,influenced,influenced : 1,1,0,0
135,may,may : 0,0,0,0
136,subject,subject : 0,0,0,0
137,arranged,arranged : 1,1,1,1
138,Lord's,Lord's : 0,0,0,0
139,heavy,heavy : 1,1,0,0
140,D,"D : 0
word : 0",0,0,0
141,killed,killed : 1,1,0,0
142,Foley's,Foley's: 0,0,0,0
143,traditional,traditional : 1,1,0,0
144,Insular,Insular: 1,1,0,0
145,why,why : 0,0,0,0
146,human,human : 0,0,0,0
147,unusual,unusual : 1,1,0,0
148,contemporary,contemporary : 1,1,0,0
149,awry,awry : 0,0,0,0
150,seeks,seeks : 1,1,0,0
151,by,by : 0,0,0,0
152,unwittingly,unwittingly: 1,1,1,1
153,Poetry,Poetry: 1,1,0,0
154,hides,hides : 1,1,0,0
155,as,"as : 0
the : 0
word : 0",0,0,0
156,That,"That : 1
the : 0
word : 0",1,0,0
157,has,has : 0,0,0,0
158,Francis,Francis: 0,0,0,0
159,Accompany,"Accompany : 1
the word is : Aggravate : 2
the word is : Allegiance : 1
the word is : Ambiguous : 1
the word is : Apologize : 1
the word is : Appropriate : 1
the word is : Argument : 1
the word is : Beginning : 1
the word is : Belonging : 1
the word is : Brilliant : 1
the word is : Challenge : 1
the word is : Change : 1
the word is : College : 1
the word is : Congratulate : 1
the word is : Danger : 1
the word is : Different : 1
the word is : Disagree : 1
the word is : Eager : 1
the word is : Encourage : 1
the word is : Engage : 1
the word is : Exaggerate : 1
the word is : Flag : 1
the word is : Forget : 1
the word is : Fragile : 1
the word is : Gigantic : 1
the word is : Glorious : 1
the word is : Gorgeous : 1
the word is : Graceful : 1
the word is : Grateful : 1
the word is : Great : 1
the word is : Guarantee : 1
the word is : Guide : 1
the word is : Ignite : 1
the word is : Ignore : 1
the word is : Image : 1
the word is : Inaugurate : 1
the word is : Ingest : 1
the word is : Insignia : 1
the word is : Integrate : 1
the word is : Jargon : 1
the word is : Judge : 1
the word is : Language : 1
the word is : Laugh : 1
the word is : Legacy : 1
the word is : Legitimate : 1
the word is : Log : 1
the word is : Magic : 1
the word is : Magnificent : 1
the word is : Majority : 1
the word is : Manage : 1
the word is : Merge : 1
the word is : Message : 1
the word is : Misguide : 1
the word is : Negotiate : 1
the word is : Oblige : 1
the word is : Organize : 1
the word is : Package : 1
the word is : Pig : 1
the word is : Plague : 1
the word is : Plunge : 1
the word is : Pug : 1
the word is : Regret : 1
the word is :",1,0,0
160,met,met : 0,0,0,0
161,Rejected,Rejected: 1,1,0,0
162,sudden,sudden: 1,1,0,0
163,characterized,characterized : 1,1,0,0
164,theory,theory : 1,1,0,0
165,documented,documented : 1,1,0,0
166,wars,wars : 1,1,0,0
167,know,know : 1,1,0,0
168,with,with : 0,0,0,0
169,plans,plans : 0,0,0,0
170,proposed,proposed : 1,1,0,0
171,Fortinbras,Fortinbras: 1,1,0,0
172,"heroes""",heroes: 1,1,0,0
173,annotations,annotations : 2,2,0,0
174,writes,writes : 0,0,0,0
175,maintaining,maintaining : 1,1,1,1
176,uncle,uncle : 0,0,0,0
177,that,that : 1,1,0,0
178,killing,killing: 1,1,1,1
179,France,France: 0,0,0,0
180,travelling,travelling: 2,2,1,1
181,hell,"hell : 1
the word is : good",1,0,0
182,thinking,thinking : 1,1,1,1
183,Denmark,Denmark : 0,0,0,0
184,which,"which : 0
the : 0
word : 0",0,0,0
185,battle,battle : 1,1,0,0
186,reply,reply : 0,0,0,0
187,other,other : 0,0,0,0
188,insular,insular : 1,1,0,0
189,now,now : 0,0,0,0
190,also,also : 1,1,0,0
191,density,density : 1,1,0,0
192,recently-widowed,recently-widowed : 0,0,0,0
193,kill,kill : 0,0,0,0
194,Heroes',Heroes' : 1,1,0,0
195,ambassador,ambassador : 1,1,0,0
196,Queen,Queen : 1,1,0,0
197,goes,goes : 1,1,1,1
198,where,where : 1,1,0,0
199,story,story : 1,1,0,0
200,doing,doing : 1,1,1,1
201,Albert,Albert : 1,1,0,0
202,Rosencrantz,Rosencrantz : 0,0,0,0
203,much,much : 0,0,0,0
204,confronts,confronts : 1,1,0,0
205,preponderance,preponderance : 1,1,0,0
206,distressed,distressed: 1,1,0,0
207,it,"it : 0
word : 1
format : 0
example : 0
following : 1
answer : 0
per : 0
should : 0
be : 0
in : 0
the : 0
is : 0",0,0,0
208,individual,individual : 1,1,0,0
209,particularly,particularly : 1,1,0,0
210,into,into : 1,1,0,0
